Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,22.25,20.74,19.57,19.87,19.80,19.14,17.97,17.64
Aaron Johnson,D,4/30/1983,,12.18,13.28,,13.82,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,15.64,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,13.56,14.83,13.49,,,,,,,,,,
Aaron Ward,D,1/17/1973,16.38,16.88,16.08,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,17.16,15.72,16.57
Adam Clendening,D,10/26/1992,,,,,,,,,,14.77,,,,,
Adam Foote,D,7/10/1971,18.76,17.16,18.45,17.69,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,18.09,18.91,18.61
Adam Larsson,D,11/12/1992,,,,,21.51,18.91,,18.18,18.98,18.42,19.28,19.07,17.45,16.69,18.80
Adam McQuaid,D,10/12/1986,,,,13.87,14.00,13.67,,16.05,15.15,15.47,13.52,14.11,,,
Adam Pardy,D,3/29/1984,,14.12,14.59,,15.27,,13.30,12.37,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,17.15,17.22,16.90,17.78,18.02,17.72
Adrian Aucoin,D,7/3/1973,15.00,15.47,17.37,19.10,19.44,17.62,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,14.08,13.02,,13.04,15.56,15.97,16.38,17.67,17.77,18.10,18.38,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,15.18,12.18,13.98,16.65,14.65,,
Alex Goligoski,D,7/30/1985,,14.46,15.60,16.04,17.34,17.14,17.19,17.55,18.37,17.88,18.77,17.21,18.77,19.37,17.14
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,16.38,15.64,16.88,14.50,14.88,,,
Alex Pietrangelo,D,1/18/1990,,,,19.01,19.43,19.46,18.84,19.18,19.63,18.94,19.19,18.02,18.07,18.53,18.76
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,17.03,16.45,17.24,17.74,17.10,17.25,16.94,17.40,17.61,18.89,17.91,17.97,17.72,17.35,16.94
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,18.11,19.34
Alexander Sulzer,D,5/30/1984,,,,14.92,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,16.44
