Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,5.38,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,21.16,19.84,18.85,19.29,19.34,18.79,17.71,17.46
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,12.00,13.17,,13.83,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,15.96,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,8.54,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,13.45,14.78,13.50,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,8.20,7.30,,,,,,,,
Aaron Voros,F,7/2/1981,7.73,9.45,6.09,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,16.65,17.18,16.40,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,16.27,14.99,15.98
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,8.88,7.34,,11.83,10.59,9.18,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,14.51,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,11.45,10.14,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,10.40,11.09,12.13,12.12
Adam Foote,D,7/10/1971,19.09,17.50,18.80,18.05,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,17.50,18.45,18.25
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,10.57,11.20,10.33,10.24
