Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,17.35,16.90,16.64,17.69,18.24,18.07,17.29,17.25
Aaron Johnson,,11.79,13.10,,13.82,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,13.97,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,13.38,14.78,13.49,,,,,,,,,,
Aaron Ward,15.46,15.62,14.41,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,13.33,12.78,14.38
Adam Clendening,,,,,,,,,,14.09,,,,,
Adam Foote,17.09,15.03,15.79,14.43,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,15.90,17.35,17.54
Adam Larsson,,,,,17.67,15.97,,16.62,17.91,17.75,18.89,18.89,17.39,16.68,18.79
Adam McQuaid,,,,13.19,13.61,13.49,,16.05,15.14,15.38,13.30,13.71,,,
Adam Pardy,,13.44,14.20,,15.22,,13.29,12.29,,,,,,,
Adam Pelech,,,,,,,,,,15.58,16.16,16.23,17.39,17.84,17.66
Adrian Aucoin,14.07,14.20,15.70,16.97,16.77,14.35,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,13.01,12.34,,12.86,15.50,15.96,16.37,17.58,17.56,17.70,17.75,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,15.12,12.17,13.97,16.57,14.44,,
Alex Goligoski,,13.39,14.92,15.65,17.16,17.08,17.19,17.54,18.28,17.66,18.37,16.57,17.85,18.10,15.47
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,14.82,14.57,16.20,14.11,14.70,,,
Alex Pietrangelo,,,,16.08,17.24,17.90,17.77,18.50,19.24,18.76,19.14,18.01,18.05,18.44,18.55
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,14.85,14.88,16.17,17.06,16.71,17.07,16.89,17.39,17.60,18.81,17.69,17.57,17.08,16.42,15.68
Alexander Romanov,,,,,,,,,,,,,,15.17,17.16
Alexander Sulzer,,,,14.74,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,16.05
Alexandre Picard,,14.07,14.58,14.36,,,,,,,,,,,
Alexei Emelin,,,,,15.07,16.42,16.10,16.58,17.29,18.11,14.90,,,,
Alexei Semenov,,11.77,,,,,,,,,,,,,
Alexei Zhitnik,15.96,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,14.34,14.85,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,15.32,,,,,,,,,,,,,,
Andre Benoit,,,,,,13.71,15.28,14.95,,,,,,,
Andreas Borgman,,,,,,,,,,,13.28,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,14.79,13.42,,13.71,12.47,,,,,,,,,,
Andrei Markov,15.46,15.02,16.97,,,15.81,17.00,17.66,16.97,16.70,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,11.12,,,,,,,,,,,,,,
Andrej Meszaros,15.19,16.63,15.09,15.77,15.78,,15.11,14.97,,,,,,,
Andrej Sekera,15.68,15.69,14.73,16.11,16.07,16.90,17.30,17.32,17.02,16.45,13.76,,15.19,12.74,12.71
Andrej Sustr,,,,,,,13.96,15.70,14.54,15.14,12.26,,,,13.50
Andrew Alberts,16.93,12.96,13.17,13.30,12.97,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,11.94,,,,,,
Andrew Campbell,,,,,,,,14.21,,,,,,,
Andrew Ference,16.27,16.03,16.21,15.37,15.66,16.35,16.95,16.45,,,,,,,
Andrew Hutchinson,,12.84,,,,,,,,,,,,,
Andrew MacDonald,,,16.14,16.75,18.66,18.19,18.08,16.18,,16.40,17.11,14.02,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,17.65
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,15.06,13.92,18.15,17.94,16.28,17.06,17.49,17.86,17.82,16.40,16.90,16.10,15.59,15.35,15.14
Andy Sutton,13.66,,16.50,12.19,14.52,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,11.10,,,,,,,,,,,,,,
Anssi Salmela,,,12.60,15.97,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,12.82,11.55,12.79,,
Anthony DeAngelo,,,,,,,,,,13.99,,,,,
Anton Babchuk,,13.51,,12.88,11.57,,,,,,,,,,
Anton Belov,,,,,,,14.09,,,,,,,,
Anton Lindholm,,,,,,,,,,,11.30,,,,
Anton Stralman,10.72,11.57,15.28,15.48,14.64,15.48,16.71,15.61,15.89,17.35,17.28,16.93,17.70,15.72,17.59
Anton Volchenkov,15.14,15.67,16.19,15.59,14.37,12.78,12.73,11.98,,,,,,,
Artem Zub,,,,,,,,,,,,,,15.85,18.05
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,16.34,17.17,17.39,17.16,16.17,15.79,14.84,14.14,12.89,,,,,,
Ben Chiarot,,,,,,,,15.43,13.45,13.06,13.70,16.43,19.10,17.73,18.03
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,13.03,14.82,,14.46,
Ben Hutton,,,,,,,,,15.67,17.14,15.30,17.37,16.31,15.65,14.48
Ben Lovejoy,,,,13.53,12.26,15.76,16.23,16.50,15.64,16.68,13.30,13.35,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,12.55,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,13.93,,,
Boris Valabik,,12.98,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,13.93,12.15,12.39,,14.01
Brad Lukowich,13.65,14.19,,,,,,,,,,,,,
Brad Stuart,14.59,16.03,17.64,16.55,16.72,16.71,16.22,16.47,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,14.67
Brady Austin,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,14.99,17.31,17.60,17.33,17.30,17.52
Brandon Carlo,,,,,,,,,,17.23,15.89,17.45,16.38,,16.12
Brandon Davidson,,,,,,,,,15.55,14.61,14.82,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,14.85,15.87,16.08,12.87,,,
Brandon Montour,,,,,,,,,,,15.95,17.97,17.03,17.62,15.28
Branislav Mezei,12.58,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,13.83,16.51,14.30,16.91,16.23,16.26,16.34,16.51
Brayden Pachal,,,,,,,,,,,,,,,
