Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.008,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,-0.007,-0.007,-0.009,,,,,,,,
Aaron Voros,F,7/2/1981,-0.012,-0.009,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,-0.023,0.006,0.001,0.002,-0.018,-0.017,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,,0.015,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,0.015,0.014,-0.038,0.000,0.000
Adam Gaudette,F,10/3/1996,,,,,,,,,,,-0.012,-0.013,-0.011,-0.032,-0.022
Adam Hall,F,8/14/1980,-0.005,-0.013,-0.012,-0.010,0.004,0.006,-0.025,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,-0.008,-0.008,-0.002,-0.004,,-0.015,-0.002,-0.002,0.000,-0.007,-0.003
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,0.000,,-0.003,0.003,0.003,-0.010,0.007,0.005
Adam Mair,F,2/15/1979,-0.001,0.007,-0.026,-0.024,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,-0.005,-0.005,-0.016,-0.025,-0.016
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.000,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,-0.003,0.000,,0.017,0.005,0.005,0.003,0.019,0.015
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,-0.002,0.005,0.003,0.003,-0.011,-0.010,-0.008,-0.003,,,,,,,
Ales Kotalik,F,12/23/1978,0.001,-0.001,,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,-0.020,-0.007,,-0.007,0.000,0.001,0.005,-0.011,-0.005
