Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.007,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,0.011,,-0.017,0.002,0.002,0.009,0.008,0.004
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,0.039,,,,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.010,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.001,0.002,,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,-0.007,-0.007,-0.009,,,,,,,,
Aaron Voros,F,7/2/1981,-0.011,-0.009,,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.019,0.022,,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,-0.003,-0.013,-0.007
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,-0.023,0.006,0.002,0.002,-0.018,-0.017,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,0.009,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,,0.015,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,0.014,0.014,-0.038,0.000,0.000
Adam Foote,D,7/10/1971,0.011,-0.005,-0.001,0.000,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.020,0.013,0.009
Adam Gaudette,F,10/3/1996,,,,,,,,,,,-0.013,-0.013,-0.011,-0.032,-0.022
Adam Hall,F,8/14/1980,-0.004,-0.013,-0.011,-0.010,0.004,0.006,-0.026,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,-0.008,-0.008,-0.002,-0.004,,-0.015,-0.002,-0.001,0.000,-0.007,-0.003
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,0.001,0.000,,0.000,,0.014,-0.019,-0.019,-0.002,0.003,0.003
Adam Lowry,F,3/29/1993,,,,,,,,-0.001,,-0.003,0.003,0.003,-0.010,0.007,0.005
Adam Mair,F,2/15/1979,0.000,0.007,-0.025,-0.024,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,0.028,0.028,-0.002,-0.002,,-0.002,,0.003,0.004,0.006,,,
Adam Pardy,D,3/29/1984,,0.005,,,,,0.007,0.012,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,-0.007,0.016,0.016,0.002,0.013,0.010
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,0.025,0.010,0.025,0.026,0.000,0.001,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,-0.006,-0.006,-0.016,-0.025,-0.016
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.000,,,,,
Alec Martinez,D,7/26/1987,,,0.014,0.014,,,0.023,0.009,,-0.011,0.002,0.003,-0.001,0.030,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,-0.004,0.000,,0.017,0.005,0.004,0.003,0.019,0.016
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
