Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.000,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.011,0.014,-0.017,0.002,0.002,0.009,0.008,0.031
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.039,,,,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,-0.002,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Rome,,,0.001,0.001,,,,,,,,,,,
Aaron Volpatti,,,,,-0.007,-0.007,-0.010,,,,,,,,
Aaron Voros,-0.012,-0.010,,,,,,,,,,,,,
Aaron Ward,0.010,0.011,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,-0.004,-0.013,-0.014
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,-0.023,0.006,0.001,0.001,-0.019,-0.019,,,,,,,,,
Adam Clendening,,,,,,,,,,0.009,,,,,
Adam Cracknell,,,,,,,,,-0.002,0.010,,,,,
Adam Erne,,,,,,,,,,,0.014,0.014,-0.038,0.000,-0.020
Adam Foote,-0.001,-0.018,-0.016,-0.016,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.020,0.013,0.011
Adam Gaudette,,,,,,,,,,,-0.013,-0.013,-0.011,-0.032,-0.012
Adam Hall,-0.005,-0.014,-0.013,-0.013,0.000,0.000,-0.033,,,,,,,,
Adam Henrique,,,,,-0.009,-0.009,-0.002,-0.004,0.009,-0.015,-0.003,-0.003,-0.002,-0.010,-0.002
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.000,0.000,,0.000,0.007,0.014,-0.019,-0.019,-0.002,0.002,-0.016
Adam Lowry,,,,,,,,-0.001,-0.012,-0.003,0.003,0.003,-0.010,0.006,-0.006
Adam Mair,-0.002,0.005,-0.029,-0.029,,,,,,,,,,,
Adam McQuaid,,,0.028,0.028,-0.002,-0.002,,-0.003,0.001,0.000,0.000,0.000,,,
Adam Pardy,,0.005,,,,,0.005,0.009,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,-0.007,0.016,0.016,0.001,0.012,0.010
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.016,0.000,0.013,0.013,-0.015,-0.015,,,,,,,,,
Adrian Kempe,,,,,,,,,,,-0.006,-0.006,-0.016,-0.025,-0.001
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.000,,,,,
Alec Martinez,,,0.014,0.014,,,0.022,0.009,0.011,-0.013,-0.001,-0.001,-0.006,0.023,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,-0.004,-0.001,0.017,0.016,0.004,0.004,0.003,0.019,0.036
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,-0.002,0.005,0.003,0.003,-0.012,-0.012,-0.011,-0.007,0.009,,,,,,
Ales Kotalik,-0.001,-0.004,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,-0.014,-0.009,0.000,0.000,-0.014,,
Alex Chiasson,,,,,,,-0.020,-0.007,0.000,-0.007,0.000,0.000,0.003,-0.014,0.006
Alex DeBrincat,,,,,,,,,,,0.006,0.006,-0.004,0.007,-0.007
Alex Formenton,,,,,,,,,,,,,,,-0.019
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.005,-0.007,0.010,0.010,,,,,,,,,,,
Alex Galchenyuk,,,,,0.026,0.026,-0.014,0.008,-0.002,-0.002,-0.017,-0.017,-0.005,-0.015,-0.014
Alex Goligoski,,0.011,0.014,0.014,0.005,0.005,0.006,-0.001,0.015,-0.008,-0.005,-0.005,0.005,0.002,0.035
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,-0.009,-0.009,0.002,-0.007,0.005
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,-0.010,-0.010,0.008,0.009,0.015,-0.007,0.020,0.020,0.028,0.000,0.005
Alex Kovalev,0.016,-0.001,-0.006,-0.006,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.015
Alex Nylander,,,,,,,,,,,,,-0.001,,
Alex Ovechkin,0.024,0.014,0.020,0.020,0.006,0.006,-0.022,0.009,0.021,0.008,0.009,0.009,-0.003,0.000,0.012
Alex Petrovic,,,,,,,,-0.008,0.015,-0.004,-0.028,-0.028,,,
Alex Pietrangelo,,,0.010,0.010,0.001,0.001,0.014,0.000,0.007,0.001,0.003,0.003,0.010,0.025,0.002
Alex Plante,,,,,,,,,,,,,,,
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.013,0.025,0.005,0.005,-0.022,-0.022,,-0.001,0.011,,,,,,
Alex Tuch,,,,,,,,,,,0.014,0.014,-0.017,0.022,-0.003
Alex Turcotte,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.008,-0.019
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Barabanov,,,,,,,,,,,,,,,-0.002
Alexander Burmistrov,,,-0.013,-0.013,0.000,0.000,,,-0.011,-0.014,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Edler,0.007,0.010,0.014,0.014,-0.004,-0.004,-0.031,0.007,-0.006,-0.014,0.004,0.004,0.011,-0.012,0.021
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,-0.007,-0.007,0.000,0.000,0.015
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.011,,,,,,,,,0.012,0.021,0.021,0.012,,-0.021
Alexander Romanov,,,,,,,,,,,,,,-0.001,-0.008
Alexander Semin,-0.015,0.032,0.027,0.027,0.021,0.021,0.005,-0.011,,,,,,,
Alexander Steen,0.003,-0.012,-0.005,-0.005,0.012,0.012,0.015,0.011,0.003,0.000,0.002,0.002,0.010,,
Alexander Sulzer,,,-0.012,-0.012,,,,,,,,,,,
Alexander True,,,,,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.003,
Alexander Wennberg,,,,,,,,-0.021,0.002,0.009,-0.004,-0.004,-0.005,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.007,0.016,0.022,0.022,0.026,0.026,-0.015,-0.001,-0.014,0.002,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.020
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,,0.002,0.002,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.009,-0.021,-0.009
Alexei Emelin,,,,,0.003,0.003,0.001,0.003,-0.007,0.001,,,,,
Alexei Ponikarovsky,0.007,0.008,0.002,0.002,0.000,0.000,,,,,,,,,
Alexei Semenov,,0.005,,,,,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexei Zhitnik,-0.010,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,-0.006,0.010,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,-0.007,0.003
Aliaksei Protas,,,,,,,,,,,,,,,0.014
Allan Rourke,,,,,,,,,,,,,,,
ANA,,,,,,,,,,,,,,,
Anders Bjork,,,,,,,,,,,,,0.007,-0.026,-0.021
Anders Eriksson,-0.004,,,,,,,,,,,,,,
Anders Lee,,,,,,,,0.011,0.000,0.011,0.017,0.017,0.010,,-0.007
Andre Benoit,,,,,-0.004,-0.004,0.002,-0.021,,,,,,,
Andre Burakovsky,,,,,,,,0.021,0.003,0.017,0.002,0.002,0.018,0.006,0.012
Andre Deveaux,,,,,,,,,,,,,,,
Andre Roy,-0.003,-0.004,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.000,-0.005,-0.008,-0.008,-0.053,-0.008,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Engqvist,,,,,,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,0.019,0.019,0.003,0.000,0.006
Andreas Karlsson,-0.014,,,,,,,,,,,,,,
Andreas Lilja,-0.003,0.012,-0.022,-0.022,,,,,,,,,,,
Andreas Martinsen,,,,,,,,,-0.007,-0.026,,,,,
Andreas Nodl,,-0.038,0.016,0.016,,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,0.017,0.000,0.004,0.004,,,,,,,,,,,
Andrei Loktionov,,,,,,,-0.003,,,,,,,,
Andrei Markov,0.000,0.002,,,-0.010,-0.010,0.009,0.015,-0.001,0.015,,,,,
Andrei Svechnikov,,,,,,,,,,,0.004,0.004,0.013,0.005,0.019
Andrei Zyuzin,-0.027,,,,,,,,,,,,,,
Andrej Meszaros,0.002,-0.002,0.020,0.020,,,0.005,-0.014,,,,,,,
Andrej Nestrasil,,,,,,,,0.000,0.007,,,,,,
Andrej Sekera,0.007,-0.010,0.009,0.009,-0.006,-0.006,0.003,-0.003,-0.011,0.009,,,0.008,0.019,-0.007
Andrej Sustr,,,,,,,0.000,0.007,-0.002,-0.008,,,,,-0.008
Andrew Agozzino,,,,,,,,,,,,,,,
