Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.000,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,-0.007,-0.007,-0.010,,,,,,,,
Aaron Voros,-0.012,-0.010,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,-0.023,0.006,0.001,0.001,-0.019,-0.019,,,,,,,,,
Adam Cracknell,,,,,,,,,-0.002,0.010,,,,,
Adam Erne,,,,,,,,,,,0.014,0.014,-0.038,0.000,-0.020
Adam Gaudette,,,,,,,,,,,-0.013,-0.013,-0.011,-0.032,-0.012
Adam Hall,-0.005,-0.014,-0.013,-0.013,0.000,0.000,-0.033,,,,,,,,
Adam Henrique,,,,,-0.009,-0.009,-0.002,-0.004,0.009,-0.015,-0.003,-0.003,-0.002,-0.010,-0.002
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,-0.001,-0.012,-0.003,0.003,0.003,-0.010,0.006,-0.006
Adam Mair,-0.002,0.005,-0.029,-0.029,,,,,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,-0.006,-0.006,-0.016,-0.025,-0.001
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.000,,,,,
Aleksander Barkov,,,,,,,-0.004,-0.001,0.017,0.016,0.004,0.004,0.003,0.019,0.036
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,-0.002,0.005,0.003,0.003,-0.012,-0.012,-0.011,-0.007,0.009,,,,,,
Ales Kotalik,-0.001,-0.004,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,-0.020,-0.007,0.000,-0.007,0.000,0.000,0.003,-0.014,0.006
Alex DeBrincat,,,,,,,,,,,0.006,0.006,-0.004,0.007,-0.007
Alex Formenton,,,,,,,,,,,,,,,-0.019
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.005,-0.007,0.010,0.010,,,,,,,,,,,
Alex Galchenyuk,,,,,0.026,0.026,-0.014,0.008,-0.002,-0.002,-0.017,-0.017,-0.005,-0.015,-0.014
Alex Iafallo,,,,,,,,,,,-0.009,-0.009,0.002,-0.007,0.005
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,-0.010,-0.010,0.008,0.009,0.015,-0.007,0.020,0.020,0.028,0.000,0.005
Alex Kovalev,0.016,-0.001,-0.006,-0.006,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.015
Alex Nylander,,,,,,,,,,,,,-0.001,,
Alex Ovechkin,0.024,0.014,0.020,0.020,0.006,0.006,-0.022,0.009,0.021,0.008,0.009,0.009,-0.003,0.000,0.012
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.013,0.025,0.005,0.005,-0.022,-0.022,,-0.001,0.011,,,,,,
Alex Tuch,,,,,,,,,,,0.014,0.014,-0.017,0.022,-0.003
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.008,-0.019
Alexander Barabanov,,,,,,,,,,,,,,,-0.002
Alexander Burmistrov,,,-0.013,-0.013,0.000,0.000,,,-0.011,-0.014,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,-0.007,-0.007,0.000,0.000,0.015
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.011,,,,,,,,,0.012,0.021,0.021,0.012,,-0.021
Alexander Semin,-0.015,0.032,0.027,0.027,0.021,0.021,0.005,-0.011,,,,,,,
Alexander Steen,0.003,-0.012,-0.005,-0.005,0.012,0.012,0.015,0.011,0.003,0.000,0.002,0.002,0.010,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.003,
Alexander Wennberg,,,,,,,,-0.021,0.002,0.009,-0.004,-0.004,-0.005,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.007,0.016,0.022,0.022,0.026,0.026,-0.015,-0.001,-0.014,0.002,,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,,0.002,0.002,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.009,-0.021,-0.009
Alexei Ponikarovsky,0.007,0.008,0.002,0.002,0.000,0.000,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,-0.007,0.003
Aliaksei Protas,,,,,,,,,,,,,,,0.014
ANA,,,,,,,,,,,,,,,
Anders Bjork,,,,,,,,,,,,,0.007,-0.026,-0.021
Anders Lee,,,,,,,,0.011,0.000,0.011,0.017,0.017,0.010,,-0.007
Andre Burakovsky,,,,,,,,0.021,0.003,0.017,0.002,0.002,0.018,0.006,0.012
Andre Deveaux,,,,,,,,,,,,,,,
Andre Roy,-0.003,-0.004,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.000,-0.005,-0.008,-0.008,-0.053,-0.008,
Andreas Engqvist,,,,,,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,0.019,0.019,0.003,0.000,0.006
Andreas Karlsson,-0.014,,,,,,,,,,,,,,
Andreas Martinsen,,,,,,,,,-0.007,-0.026,,,,,
Andreas Nodl,,-0.038,0.016,0.016,,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,0.017,0.000,0.004,0.004,,,,,,,,,,,
Andrei Loktionov,,,,,,,-0.003,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,0.004,0.004,0.013,0.005,0.019
Andrej Nestrasil,,,,,,,,0.000,0.007,,,,,,
Andrew Agozzino,,,,,,,,,,,,,,,
Andrew Brunette,0.009,-0.003,-0.004,-0.004,,,,,,,,,,,
Andrew Cogliano,0.000,-0.002,-0.013,-0.013,0.020,0.020,0.007,0.000,-0.002,0.006,0.001,0.001,0.001,-0.014,-0.025
Andrew Copp,,,,,,,,,0.015,0.010,0.026,0.026,-0.007,0.003,0.012
Andrew Desjardins,,,,,-0.016,-0.016,-0.010,-0.003,-0.010,-0.015,,,,,
Andrew Ebbett,,0.016,-0.007,-0.007,,,,,,,,,,,
Andrew Gordon,,,,,,,,,,,,,,,
Andrew Ladd,0.017,0.023,-0.004,-0.004,0.015,0.015,0.007,0.009,-0.011,-0.010,,,,,-0.030
Andrew Mangiapane,,,,,,,,,,,0.025,0.025,0.007,0.007,0.016
Andrew Miller,,,,,,,,,,,,,,,
Andrew Murray,0.000,-0.009,,,,,,,,,,,,,
Andrew Peters,-0.029,,,,,,,,,,,,,,
Andrew Poturalski,,,,,,,,,,,,,,,
Andrew Shaw,,,,,0.016,0.016,0.016,-0.006,0.012,0.005,0.021,0.021,,,
Andy Andreoff,,,,,,,,,0.002,-0.005,,,,,
Andy Hilbert,0.000,-0.007,,,,,,,,,,,,,
Andy McDonald,-0.007,-0.015,0.020,0.020,0.002,0.002,,,,,,,,,
Andy Miele,,,,,,,,,,,,,,,
Anthony Angello,,,,,,,,,,,,,,,
Anthony Beauvillier,,,,,,,,,,0.001,0.002,0.002,-0.011,0.023,-0.008
Anthony Cirelli,,,,,,,,,,,0.019,0.019,0.027,-0.001,0.012
Anthony Duclair,,,,,,,,,0.017,-0.009,0.001,0.001,-0.006,0.042,0.024
Anthony Greco,,,,,,,,,,,,,,,
Anthony Mantha,,,,,,,,,,0.014,-0.005,-0.005,-0.004,-0.013,0.014
Anthony Peluso,,,,,,,-0.016,-0.011,0.018,,,,,,
Anthony Richard,,,,,,,,,,,,,,,
Anthony Stewart,,-0.016,-0.009,-0.009,,,,,,,,,,,
Antoine Roussel,,,,,0.009,0.009,-0.004,-0.020,0.009,0.004,0.005,0.005,0.000,0.006,-0.029
Antoine Vermette,-0.002,-0.006,0.002,0.002,-0.001,-0.001,0.000,-0.020,-0.007,-0.004,,,,,
Anton Blidh,,,,,,,,,,,,,,,-0.010
Anton Lander,,,,,,,,-0.024,-0.016,,,,,,
Anton Lundell,,,,,,,,,,,,,,,0.038
Anton Rodin,,,,,,,,,,,,,,,
Anton Slepyshev,,,,,,,,,,0.011,,,,,
Anton Wedin,,,,,,,,,,,,,,,
Antti Miettinen,0.010,-0.002,0.000,0.000,,,,,,,,,,,
Antti Pihlstrom,,-0.002,,,,,,,,,,,,,
Antti Suomela,,,,,,,,,,,,,,,
Anze Kopitar,-0.014,-0.009,0.024,0.024,0.018,0.018,0.030,-0.001,0.025,-0.007,-0.010,-0.010,0.005,-0.007,-0.001
Arron Asham,-0.010,0.000,0.000,0.000,,,,,,,,,,,
Artem Anisimov,,,0.004,0.004,-0.011,-0.011,-0.001,-0.012,0.005,0.012,0.000,0.000,-0.022,,
Artemi Panarin,,,,,,,,,0.009,0.018,0.013,0.013,0.034,0.023,0.018
Arthur Kaliyev,,,,,,,,,,,,,,,0.002
Arttu Ruotsalainen,,,,,,,,,,,,,,,
Artturi Lehkonen,,,,,,,,,,-0.002,0.010,0.010,0.000,-0.008,-0.001
Austin Czarnik,,,,,,,,,,-0.016,0.002,0.002,,,
Austin Poganski,,,,,,,,,,,,,,,
Austin Wagner,,,,,,,,,,,0.004,0.004,-0.008,-0.031,
