Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,23.90,22.24,20.99,21.32,21.27,20.40,19.41,18.99
Aaron Johnson,D,4/30/1983,,12.53,13.76,,14.30,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,16.76,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,14.01,15.25,13.96,,,,,,,,,,
Aaron Ward,D,1/17/1973,17.77,18.14,17.08,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,18.06,16.49,17.35
Adam Clendening,D,10/26/1992,,,,,,,,,,14.97,,,,,
Adam Foote,D,7/10/1971,20.59,18.65,19.88,19.07,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,19.00,20.00,19.91
Adam Larsson,D,11/12/1992,,,,,22.64,19.88,,19.11,20.09,19.05,19.78,19.68,17.94,17.24,19.55
Adam McQuaid,D,10/12/1986,,,,13.99,14.23,13.78,,16.48,15.60,15.98,13.87,14.62,,,
Adam Pardy,D,3/29/1984,,14.44,14.79,,15.59,,13.42,12.64,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,17.44,17.79,17.55,18.62,18.80,18.76
Adrian Aucoin,D,7/3/1973,16.15,16.81,18.85,20.57,21.02,18.98,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,14.54,13.48,,13.42,16.40,16.92,17.31,18.69,18.59,18.95,19.54,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,15.50,12.31,14.23,17.06,14.96,,
Alex Goligoski,D,7/30/1985,,15.33,16.77,17.22,18.51,18.05,18.50,18.81,19.70,18.99,19.96,18.27,19.99,20.78,18.77
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,16.93,16.10,17.39,14.58,15.27,,,
Alex Pietrangelo,D,1/18/1990,,,,20.14,20.93,20.87,20.26,20.57,21.18,19.95,20.39,19.26,19.24,19.80,20.30
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,18.53,17.65,18.48,18.92,18.46,18.44,18.24,18.46,18.68,19.82,19.09,19.38,19.05,18.38,17.90
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,18.68,19.97
Alexander Sulzer,D,5/30/1984,,,,15.35,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,17.44
Alexandre Picard,D,7/5/1985,,15.98,15.83,15.17,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,16.17,17.47,16.94,17.39,18.09,18.84,15.56,,,,
Alexei Semenov,D,4/10/1981,,12.11,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,18.49,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,15.80,15.77,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,16.82,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,14.17,16.06,15.79,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,15.11,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,15.78,14.50,,15.58,14.96,,,,,,,,,,
Andrei Markov,D,12/20/1978,16.67,16.39,18.45,,,18.37,20.05,21.38,20.88,20.96,,,,,
Andrei Mironov,D,7/29/1994,,,,,,,,,,,,,,,
Andrei Zyuzin,D,1/21/1978,11.57,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,17.81,18.88,16.80,17.00,16.95,,15.86,15.56,,,,,,,
Andrej Sekera,D,6/8/1986,18.93,18.36,16.54,17.82,17.44,18.41,18.40,18.39,17.90,17.42,14.42,,16.49,14.10,14.51
Andrej Sustr,D,11/29/1990,,,,,,,15.59,16.81,15.29,15.61,12.37,,,,13.92
Andrew Alberts,D,6/30/1981,17.95,13.18,13.47,13.51,13.22,,,,,,,,,,
Andrew Bodnarchuk,D,7/11/1988,,,,,,,,,12.06,,,,,,
Andrew Campbell,D,2/4/1988,,,,,,,,14.75,,,,,,,
Andrew Ference,D,3/17/1979,17.34,16.87,17.09,16.10,16.90,17.96,19.07,18.64,,,,,,,
Andrew Hutchinson,D,3/24/1980,,13.22,,,,,,,,,,,,,
Andrew MacDonald,D,9/7/1986,,,18.20,18.63,20.17,19.32,19.39,16.99,,17.33,18.23,15.01,,,
Andrew MacWilliam,D,3/25/1990,,,,,,,,,,,,,,,
Andrew Peeke,D,3/17/1998,,,,,,,,,,,,,,,19.22
Andrey Pedan,D,7/3/1993,,,,,,,,,,,,,,,
Andrey Zubarev,D,3/3/1987,,,,,,,,,,,,,,,
Andy Greene,D,10/30/1982,15.90,14.48,19.16,18.73,17.29,18.67,18.97,19.62,20.02,18.77,19.52,18.85,18.90,19.00,19.76
Andy Sutton,D,3/10/1975,14.75,,18.94,13.99,17.10,,,,,,,,,,
Andy Welinski,D,4/27/1993,,,,,,,,,,,,,,,
Andy Wozniewski,D,5/25/1980,11.53,,,,,,,,,,,,,,
Anssi Salmela,D,8/13/1984,,,13.23,16.96,,,,,,,,,,,
Anthony Bitetto,D,7/15/1990,,,,,,,,,,,13.22,11.73,12.91,,
Anthony DeAngelo,D,10/24/1995,,,,,,,,,,16.87,,,,,
Anton Babchuk,D,5/6/1984,,14.91,,13.28,11.99,,,,,,,,,,
Anton Belov,D,7/29/1986,,,,,,,14.92,,,,,,,,
Anton Lindholm,D,11/29/1994,,,,,,,,,,,12.65,,,,
Anton Stralman,D,8/1/1986,13.50,13.82,17.27,17.09,15.64,16.15,17.51,16.89,17.14,18.76,18.69,18.12,19.21,17.86,19.95
Anton Volchenkov,D,2/25/1982,16.46,16.66,17.04,15.95,14.89,13.21,13.34,12.64,,,,,,,
Artem Zub,D,10/3/1995,,,,,,,,,,,,,,16.49,19.05
Artemi Kniazev,D,1/4/2001,,,,,,,,,,,,,,,
Arturs Kulda,D,7/25/1988,,,,,,,,,,,,,,,
Ashton Sautner,D,5/27/1994,,,,,,,,,,,,,,,
Austin Strand,D,2/17/1997,,,,,,,,,,,,,,,
Barret Jackman,D,3/5/1981,17.56,18.52,18.65,17.93,17.30,16.85,16.17,15.44,14.25,,,,,,
Ben Chiarot,D,5/9/1991,,,,,,,,17.21,14.31,13.67,14.05,16.86,19.81,18.68,18.91
Ben Gleason,D,3/25/1998,,,,,,,,,,,,,,,
Ben Harpur,D,1/12/1995,,,,,,,,,,,14.79,16.21,,15.22,
Ben Hutton,D,4/20/1993,,,,,,,,,18.32,18.99,16.49,18.58,16.78,16.09,14.69
Ben Lovejoy,D,2/20/1984,,,,14.16,12.71,16.50,17.19,17.45,16.65,17.97,14.45,14.92,,,
Ben Thomas,D,5/28/1996,,,,,,,,,,,,,,,
Blake Hillman,D,1/26/1996,,,,,,,,,,,,,,,
Bobby Allen,D,11/14/1978,,,,,,,,,,,,,,,
Bobby Sanguinetti,D,2/29/1988,,,,,,13.62,,,,,,,,,
Bogdan Kiselevich,D,2/14/1990,,,,,,,,,,,,14.02,,,
Boris Valabik,D,2/14/1986,,14.72,,,,,,,,,,,,,
Bowen Byram,D,6/13/2001,,,,,,,,,,,,,,,
Brad Hunt,D,8/24/1988,,,,,,,,,,,14.21,12.63,13.04,,15.00
Brad Lukowich,D,8/12/1976,14.48,15.16,,,,,,,,,,,,,
Brad Stuart,D,11/6/1979,15.30,17.07,18.80,17.73,18.17,18.56,18.28,19.15,,,,,,,
Braden Schneider,D,9/20/2001,,,,,,,,,,,,,,,18.03
Brady Austin,D,6/16/1993,,,,,,,,,,,,,,,
Brady Keeper,D,6/5/1996,,,,,,,,,,,,,,,
Brady Skjei,D,3/26/1994,,,,,,,,,,17.42,19.40,19.43,18.29,18.06,18.56
Brandon Carlo,D,11/26/1996,,,,,,,,,,21.24,18.71,19.74,18.22,,17.15
Brandon Davidson,D,8/21/1991,,,,,,,,,16.77,15.17,15.16,,,,
Brandon Gormley,D,2/18/1992,,,,,,,,,,,,,,,
