Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,5.72,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,8.59,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,8.22,7.36,,,,,,,,
Aaron Voros,F,7/2/1981,7.77,9.56,6.13,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,9.00,7.40,,12.19,10.84,9.37,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,11.78,10.39,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,10.41,11.22,12.50,12.36
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,10.65,11.41,10.43,10.31
Adam Hall,F,8/14/1980,8.38,8.56,,12.19,9.50,9.30,8.00,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,16.30,14.92,14.40,14.50,14.72,13.49,13.69,13.07,13.97,13.62,15.69
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,14.15,12.80,12.75,12.42,12.41,12.48,12.18,12.24
Adam Mair,F,2/15/1979,8.49,10.49,9.42,9.16,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,13.75,13.68,13.22,13.05,14.29
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,11.72,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,18.29,17.85,17.06,16.83,18.00,17.45,15.75,15.65,14.70
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,14.90,14.47,,14.25,15.45,13.14,13.73,12.21,12.33,,,,,,
Ales Kotalik,F,12/23/1978,12.17,12.87,11.56,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,11.87,10.99,11.18,11.85,9.48,13.77,10.93,9.77,10.28
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,14.88,15.92,15.02,16.85,16.90
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,13.79
Alex Foster,F,8/26/1984,,,,,,,,,,,,,,,
Alex Friesen,F,1/30/1991,,,,,,,,,,,,,,,
Alex Frolov,F,6/19/1982,15.14,14.12,14.73,12.16,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,15.22,15.40,16.40,15.25,14.71,13.95,12.89,10.75,11.70,12.29
Alex Iafallo,F,12/21/1993,,,,,,,,,,,14.56,14.96,14.94,15.05,14.12
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,14.45,15.08,14.22,14.06,14.16,11.98,11.71,13.33,13.57,14.53
Alex Kovalev,F,2/24/1973,15.63,15.71,17.34,16.83,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,14.35
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,12.53,,
Alex Ovechkin,F,9/17/1985,18.31,17.35,17.04,16.88,16.16,16.21,15.48,16.62,16.33,15.18,16.74,17.68,17.26,17.39,18.40
Alex Steeves,F,12/10/1999,,,,,,,,,,,,,,,
Alex Tanguay,F,11/21/1979,14.06,12.08,13.83,15.38,15.32,16.25,,16.37,15.60,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,14.47,15.33,13.34,14.36,14.19
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,13.73,14.88
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,15.17
Alexander Burmistrov,F,10/21/1991,,,,14.80,15.89,14.84,,,13.59,11.47,,,,,
Alexander Chmelevski,F,6/9/1999,,,,,,,,,,,,,,,
Alexander Holtz,F,1/23/2002,,,,,,,,,,,,,,,
Alexander Kerfoot,F,8/11/1994,,,,,,,,,,,11.63,13.11,13.32,12.32,13.36
Alexander Nikulin,F,8/25/1985,,,,,,,,,,,,,,,
Alexander Nylander,F,3/2/1998,,,,,,,,,,,,,,,
Alexander Radulov,F,7/5/1986,14.84,,,,,,,,,15.75,17.32,17.50,15.28,,14.00
Alexander Semin,F,3/3/1984,13.07,14.05,14.89,13.86,14.24,16.58,16.06,14.72,,,,,,,
Alexander Steen,F,3/1/1984,14.01,12.95,12.57,15.49,14.90,14.84,15.17,15.25,16.17,15.38,15.73,14.21,13.48,,
