Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,5.60,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,23.03,21.51,20.39,20.84,20.89,20.11,19.19,18.85
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,12.39,13.68,,14.32,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,16.98,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,8.76,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,13.93,15.22,13.97,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,8.22,7.34,,,,,,,,
Aaron Voros,F,7/2/1981,7.80,9.56,6.10,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,17.95,18.34,17.30,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,17.33,15.89,16.87
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,9.09,7.46,,12.19,10.81,9.33,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,14.75,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,11.71,10.30,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,10.54,11.31,12.56,12.39
Adam Foote,D,7/10/1971,20.81,18.88,20.13,19.34,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,18.52,19.62,19.62
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,10.82,11.54,10.52,10.37
Adam Hall,F,8/14/1980,8.38,8.54,,12.13,9.41,9.19,7.87,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,16.52,15.09,14.52,14.59,14.78,13.53,13.69,13.05,13.92,13.55,15.60
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,21.92,19.28,,18.72,19.80,18.84,19.64,19.60,17.91,17.25,19.61
Adam Lowry,F,3/29/1993,,,,,,,,14.38,12.97,12.88,12.51,12.47,12.51,12.18,12.22
Adam Mair,F,2/15/1979,8.47,10.45,9.35,9.07,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,13.78,14.08,13.70,,16.49,15.65,16.07,13.99,14.77,,,
Adam Pardy,D,3/29/1984,,14.22,14.65,,15.56,,13.48,12.73,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,17.06,17.50,17.33,18.48,18.72,18.73
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,16.34,17.01,19.07,20.81,21.27,19.24,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,13.97,13.85,13.35,13.15,14.35
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,11.84,,,,,
Alec Martinez,D,7/26/1987,,,,14.24,13.26,,13.33,16.37,16.93,17.37,18.78,18.71,19.09,19.70,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,18.75,18.21,17.34,17.05,18.17,17.57,15.84,15.71,14.73
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,14.99,14.53,,14.25,15.43,13.10,13.67,12.12,12.22,,,,,,
Ales Kotalik,F,12/23/1978,12.13,12.81,11.47,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,15.47,12.32,14.29,17.15,15.08,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,12.00,11.08,11.24,11.88,9.48,13.75,10.89,9.70,10.19
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,15.17,16.15,15.19,16.97,16.99
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,13.96
Alex Foster,F,8/26/1984,,,,,,,,,,,,,,,
Alex Friesen,F,1/30/1991,,,,,,,,,,,,,,,
Alex Frolov,F,6/19/1982,15.20,14.15,14.73,12.14,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,15.68,15.76,16.69,15.47,14.88,14.08,12.98,10.80,11.73,12.29
Alex Goligoski,D,7/30/1985,,15.03,16.56,17.08,18.43,18.02,18.52,18.86,19.79,19.11,20.10,18.44,20.17,20.98,18.99
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Iafallo,F,12/21/1993,,,,,,,,,,,14.65,15.02,14.97,15.06,14.10
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,14.58,15.17,14.28,14.09,14.16,11.96,11.67,13.26,13.48,14.42
Alex Kovalev,F,2/24/1973,15.48,15.56,17.18,16.67,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,14.63
