Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,4.53,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,18.58,18.09,17.84,19.00,19.63,19.31,18.73,18.63
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,12.17,13.61,,14.30,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,14.55,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,7.50,,,,,,,,,,
Aaron Rome,,,13.86,15.22,13.96,,,,,,,,,,
Aaron Volpatti,,,,,,8.22,7.32,,,,,,,,
Aaron Voros,7.73,9.56,6.09,,,,,,,,,,,,
Aaron Ward,16.49,16.42,14.86,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,13.91,13.34,15.03
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,8.64,7.24,,12.19,10.80,9.23,,,,,,,,,
Adam Clendening,,,,,,,,,,14.29,,,,,
Adam Cracknell,,,,,,,,,11.46,9.84,,,,,
Adam Erne,,,,,,,,,,,,9.73,10.85,12.34,12.32
Adam Foote,18.37,15.86,16.44,14.91,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,16.68,18.36,18.82
Adam Gaudette,,,,,,,,,,,,9.57,10.74,10.06,10.15
Adam Hall,8.38,8.52,,11.88,8.95,8.45,6.80,,,,,,,,
Adam Henrique,,,,,14.69,13.83,13.72,14.14,14.56,13.46,13.69,13.03,13.82,13.30,15.14
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,18.50,16.73,,17.47,18.99,18.38,19.42,19.53,17.90,17.23,19.51
Adam Lowry,,,,,,,,12.54,11.72,12.08,12.05,12.25,12.44,12.18,12.20
Adam Mair,8.45,10.35,9.10,8.61,,,,,,,,,,,
Adam McQuaid,,,,13.32,13.86,13.63,,16.48,15.55,15.82,13.53,14.03,,,
Adam Pardy,,13.77,14.43,,15.55,,13.38,12.48,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,15.80,16.69,16.87,18.26,18.65,18.72
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,14.87,15.09,16.63,17.78,17.59,14.82,,,,,,,,,
Adrian Kempe,,,,,,,,,,,12.13,12.59,12.54,12.69,14.14
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,11.04,,,,,
Alec Martinez,,,,13.44,12.81,,13.26,16.36,16.92,17.27,18.53,18.25,18.36,18.63,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,14.30,14.80,14.79,15.21,16.91,16.77,15.38,15.49,14.66
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,14.53,14.31,,14.25,15.42,13.00,13.42,11.65,11.48,,,,,,
Ales Kotalik,12.03,12.56,11.00,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,15.47,12.31,14.19,16.90,14.62,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,11.20,10.62,11.02,11.81,9.48,13.74,10.79,9.45,9.73
Alex DeBrincat,,,,,,,,,,,12.62,14.31,13.94,16.17,16.54
Alex Formenton,,,,,,,,,,,,,,,12.71
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,14.98,14.08,14.73,12.12,,,,,,,,,,,
Alex Galchenyuk,,,,,,11.23,12.34,14.14,13.64,13.62,13.28,12.52,10.59,11.66,12.29
Alex Goligoski,,14.23,16.10,16.86,18.36,18.02,18.50,18.76,19.54,18.65,19.37,17.37,18.71,19.07,16.55
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,14.19,14.80,14.91,15.05,14.09
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,13.78,14.71,14.06,14.02,14.16,11.94,11.57,13.01,13.02,13.68
Alex Kovalev,14.02,13.64,14.74,13.65,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,12.08
Alex Nylander,,,,,,,,,,,,,10.92,,
