Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,18.58,18.09,17.84,19.00,19.63,19.31,18.73,18.63
Aaron Johnson,,12.17,13.61,,14.30,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,14.55,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,13.86,15.22,13.96,,,,,,,,,,
Aaron Ward,16.49,16.42,14.86,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,13.91,13.34,15.03
Adam Clendening,,,,,,,,,,14.29,,,,,
Adam Foote,18.37,15.86,16.44,14.91,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,16.68,18.36,18.82
Adam Larsson,,,,,18.50,16.73,,17.47,18.99,18.38,19.42,19.53,17.90,17.23,19.51
Adam McQuaid,,,,13.32,13.86,13.63,,16.48,15.55,15.82,13.53,14.03,,,
Adam Pardy,,13.77,14.43,,15.55,,13.38,12.48,,,,,,,
Adam Pelech,,,,,,,,,,15.80,16.69,16.87,18.26,18.65,18.72
Adrian Aucoin,14.87,15.09,16.63,17.78,17.59,14.82,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,13.44,12.81,,13.26,16.36,16.92,17.27,18.53,18.25,18.36,18.63,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,15.47,12.31,14.19,16.90,14.62,,
Alex Goligoski,,14.23,16.10,16.86,18.36,18.02,18.50,18.76,19.54,18.65,19.37,17.37,18.71,19.07,16.55
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,15.29,15.00,16.72,14.22,15.12,,,
Alex Pietrangelo,,,,16.98,18.61,19.23,19.17,19.89,20.82,19.80,20.36,19.26,19.20,19.64,19.96
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,16.21,16.01,17.38,18.25,18.10,18.28,18.21,18.46,18.63,19.66,18.75,18.79,18.14,17.10,16.19
Alexander Romanov,,,,,,,,,,,,,,15.53,17.65
Alexander Sulzer,,,,15.19,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,17.08
Alexandre Picard,,14.88,15.15,14.81,,,,,,,,,,,
Alexei Emelin,,,,,15.81,17.32,16.90,17.39,18.05,18.68,15.22,,,,
