Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,4.53,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,7.50,,,,,,,,,,
Aaron Volpatti,,,,,,8.22,7.32,,,,,,,,
Aaron Voros,7.73,9.56,6.09,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,8.64,7.24,,12.19,10.80,9.23,,,,,,,,,
Adam Cracknell,,,,,,,,,11.46,9.84,,,,,
Adam Erne,,,,,,,,,,,,9.73,10.85,12.34,12.32
Adam Gaudette,,,,,,,,,,,,9.57,10.74,10.06,10.15
Adam Hall,8.38,8.52,,11.88,8.95,8.45,6.80,,,,,,,,
Adam Henrique,,,,,14.69,13.83,13.72,14.14,14.56,13.46,13.69,13.03,13.82,13.30,15.14
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,12.54,11.72,12.08,12.05,12.25,12.44,12.18,12.20
Adam Mair,8.45,10.35,9.10,8.61,,,,,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,12.13,12.59,12.54,12.69,14.14
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,11.04,,,,,
Aleksander Barkov,,,,,,,14.30,14.80,14.79,15.21,16.91,16.77,15.38,15.49,14.66
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,14.53,14.31,,14.25,15.42,13.00,13.42,11.65,11.48,,,,,,
Ales Kotalik,12.03,12.56,11.00,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,11.20,10.62,11.02,11.81,9.48,13.74,10.79,9.45,9.73
Alex DeBrincat,,,,,,,,,,,12.62,14.31,13.94,16.17,16.54
Alex Formenton,,,,,,,,,,,,,,,12.71
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,14.98,14.08,14.73,12.12,,,,,,,,,,,
Alex Galchenyuk,,,,,,11.23,12.34,14.14,13.64,13.62,13.28,12.52,10.59,11.66,12.29
Alex Iafallo,,,,,,,,,,,14.19,14.80,14.91,15.05,14.09
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,13.78,14.71,14.06,14.02,14.16,11.94,11.57,13.01,13.02,13.68
Alex Kovalev,14.02,13.64,14.74,13.65,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,12.08
Alex Nylander,,,,,,,,,,,,,10.92,,
Alex Ovechkin,17.23,16.67,16.67,16.72,16.12,16.21,15.44,16.48,16.01,14.62,15.90,16.48,15.65,15.31,15.80
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,14.02,11.94,13.51,14.82,14.47,15.05,,14.30,13.00,,,,,,
Alex Tuch,,,,,,,,,,,12.86,14.24,12.66,14.00,14.03
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,13.69,14.88
Alexander Barabanov,,,,,,,,,,,,,,,15.17
Alexander Burmistrov,,,,11.75,13.62,13.22,,,13.22,11.31,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,10.96,12.75,13.16,12.28,13.36
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,13.22,,,,,,,,,15.43,16.77,16.66,14.08,,11.92
Alexander Semin,12.39,13.68,14.73,13.82,14.24,16.55,15.92,14.40,,,,,,,
Alexander Steen,13.33,12.58,12.41,15.45,14.90,14.81,15.03,14.93,15.62,14.53,14.53,12.60,11.41,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,10.57,
Alexander Wennberg,,,,,,,,12.38,12.99,15.08,14.52,11.91,13.08,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,11.80,13.36,14.01,13.75,14.43,14.09,13.58,12.21,11.51,12.75,9.50,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
