Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,0.069,0.057,0.066,0.081,0.065,0.075,0.049,0.061
Aaron Johnson,D,4/30/1983,,0.069,0.080,,0.087,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.076,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.080,0.076,0.106,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.086,0.102,0.107,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.090,0.073,0.074
Adam Clendening,D,10/26/1992,,,,,,,,,,0.074,,,,,
Adam Foote,D,7/10/1971,0.077,0.078,0.076,0.080,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.090,0.091,0.090
Adam Larsson,D,11/12/1992,,,,,0.072,0.081,,0.098,0.088,0.108,0.109,0.083,0.090,0.125,0.078
Adam McQuaid,D,10/12/1986,,,,0.138,0.105,0.106,,0.086,0.103,0.094,0.085,0.111,,,
Adam Pardy,D,3/29/1984,,0.062,0.077,,0.092,,0.069,0.067,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.096,0.104,0.095,0.106,0.069,0.085
Adrian Aucoin,D,7/3/1973,0.043,0.038,0.045,0.042,0.054,0.024,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,0.104,0.086,,0.097,0.117,0.120,0.100,0.121,0.115,0.114,0.135,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.060,0.064,0.085,0.067,0.065,,
Alex Goligoski,D,7/30/1985,,0.085,0.088,0.082,0.077,0.071,0.087,0.090,0.092,0.081,0.091,0.104,0.091,0.080,0.070
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,0.080,0.082,0.078,0.090,0.094,,,
Alex Pietrangelo,D,1/18/1990,,,,0.087,0.077,0.099,0.088,0.091,0.085,0.092,0.098,0.096,0.067,0.089,0.090
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,0.072,0.074,0.087,0.097,0.098,0.094,0.114,0.086,0.095,0.085,0.131,0.128,0.118,0.114,0.091
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.077,0.086
Alexander Sulzer,D,5/30/1984,,,,0.090,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,0.080
Alexandre Picard,D,7/5/1985,,0.085,0.091,0.100,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,0.086,0.069,0.119,0.095,0.085,0.077,0.091,,,,
Alexei Semenov,D,4/10/1981,,0.059,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,0.046,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,0.086,0.090,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,0.069,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,0.122,0.091,0.107,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,0.072,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,0.071,0.062,,0.099,0.111,,,,,,,,,,
Andrei Markov,D,12/20/1978,0.086,0.071,0.070,,,0.065,0.098,0.097,0.086,0.060,,,,,
Andrei Mironov,D,7/29/1994,,,,,,,,,,,,,,,
Andrei Zyuzin,D,1/21/1978,0.090,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,0.082,0.085,0.079,0.101,0.088,,0.086,0.106,,,,,,,
Andrej Sekera,D,6/8/1986,0.082,0.082,0.074,0.065,0.078,0.110,0.094,0.088,0.106,0.108,0.071,,0.065,0.071,0.061
Andrej Sustr,D,11/29/1990,,,,,,,0.068,0.073,0.064,0.072,0.070,,,,0.070
Andrew Alberts,D,6/30/1981,0.080,0.109,0.085,0.082,0.073,,,,,,,,,,
Andrew Bodnarchuk,D,7/11/1988,,,,,,,,,0.072,,,,,,
Andrew Campbell,D,2/4/1988,,,,,,,,0.114,,,,,,,
Andrew Ference,D,3/17/1979,0.062,0.080,0.078,0.070,0.068,0.068,0.074,0.071,,,,,,,
Andrew Hutchinson,D,3/24/1980,,0.073,,,,,,,,,,,,,
Andrew MacDonald,D,9/7/1986,,,0.115,0.137,0.120,0.128,0.143,0.083,,0.109,0.098,0.126,,,
Andrew MacWilliam,D,3/25/1990,,,,,,,,,,,,,,,
Andrew Peeke,D,3/17/1998,,,,,,,,,,,,,,,0.104
Andrey Pedan,D,7/3/1993,,,,,,,,,,,,,,,
Andrey Zubarev,D,3/3/1987,,,,,,,,,,,,,,,
Andy Greene,D,10/30/1982,0.081,0.097,0.102,0.092,0.099,0.071,0.067,0.088,0.081,0.077,0.105,0.113,0.112,0.104,0.107
Andy Sutton,D,3/10/1975,0.085,,0.138,0.149,0.107,,,,,,,,,,
Andy Welinski,D,4/27/1993,,,,,,,,,,,,,,,
Andy Wozniewski,D,5/25/1980,0.093,,,,,,,,,,,,,,
Anssi Salmela,D,8/13/1984,,,0.070,0.056,,,,,,,,,,,
Anthony Bitetto,D,7/15/1990,,,,,,,,,,,0.087,0.095,0.065,,
Anthony DeAngelo,D,10/24/1995,,,,,,,,,,0.100,,,,,
Anton Babchuk,D,5/6/1984,,0.112,,0.142,0.128,,,,,,,,,,
Anton Belov,D,7/29/1986,,,,,,,0.098,,,,,,,,
Anton Lindholm,D,11/29/1994,,,,,,,,,,,0.079,,,,
Anton Stralman,D,8/1/1986,0.053,0.082,0.057,0.066,0.096,0.064,0.051,0.054,0.060,0.068,0.065,0.072,0.063,0.044,0.062
Anton Volchenkov,D,2/25/1982,0.141,0.134,0.118,0.113,0.100,0.079,0.069,0.088,,,,,,,
Artem Zub,D,10/3/1995,,,,,,,,,,,,,,0.094,0.084
Artemi Kniazev,D,1/4/2001,,,,,,,,,,,,,,,
Arturs Kulda,D,7/25/1988,,,,,,,,,,,,,,,
Ashton Sautner,D,5/27/1994,,,,,,,,,,,,,,,
Austin Strand,D,2/17/1997,,,,,,,,,,,,,,,
Barret Jackman,D,3/5/1981,0.077,0.078,0.069,0.094,0.087,0.102,0.091,0.091,0.087,,,,,,
Ben Chiarot,D,5/9/1991,,,,,,,,0.088,0.107,0.109,0.082,0.104,0.084,0.069,0.090
Ben Gleason,D,3/25/1998,,,,,,,,,,,,,,,
Ben Harpur,D,1/12/1995,,,,,,,,,,,0.074,0.095,,0.068,
Ben Hutton,D,4/20/1993,,,,,,,,,0.089,0.097,0.072,0.083,0.076,0.066,0.090
Ben Lovejoy,D,2/20/1984,,,,0.099,0.092,0.085,0.101,0.093,0.082,0.088,0.084,0.091,,,
Ben Thomas,D,5/28/1996,,,,,,,,,,,,,,,
Blake Hillman,D,1/26/1996,,,,,,,,,,,,,,,
Bobby Allen,D,11/14/1978,,,,,,,,,,,,,,,
Bobby Sanguinetti,D,2/29/1988,,,,,,0.084,,,,,,,,,
Bogdan Kiselevich,D,2/14/1990,,,,,,,,,,,,0.059,,,
Boris Valabik,D,2/14/1986,,0.095,,,,,,,,,,,,,
Bowen Byram,D,6/13/2001,,,,,,,,,,,,,,,
Brad Hunt,D,8/24/1988,,,,,,,,,,,0.068,0.062,0.062,,0.071
Brad Lukowich,D,8/12/1976,0.113,0.096,,,,,,,,,,,,,
Brad Stuart,D,11/6/1979,0.080,0.080,0.080,0.088,0.065,0.093,0.099,0.102,,,,,,,
Braden Schneider,D,9/20/2001,,,,,,,,,,,,,,,0.096
Brady Austin,D,6/16/1993,,,,,,,,,,,,,,,
Brady Keeper,D,6/5/1996,,,,,,,,,,,,,,,
Brady Skjei,D,3/26/1994,,,,,,,,,,0.067,0.084,0.085,0.081,0.066,0.054
Brandon Carlo,D,11/26/1996,,,,,,,,,,0.074,0.066,0.071,0.067,,0.078
Brandon Davidson,D,8/21/1991,,,,,,,,,0.097,0.116,0.119,,,,
Brandon Gormley,D,2/18/1992,,,,,,,,,,,,,,,
Brandon Manning,D,6/4/1990,,,,,,,,,0.072,0.081,0.077,0.078,,,
Brandon Montour,D,4/11/1994,,,,,,,,,,,0.068,0.084,0.066,0.076,0.062
Branislav Mezei,D,10/8/1980,0.070,,,,,,,,,,,,,,
Brayden McNabb,D,1/21/1991,,,,,,,,0.061,0.069,0.084,0.120,0.091,0.090,0.090,0.122
Brayden Pachal,D,8/23/1999,,,,,,,,,,,,,,,
Braydon Coburn,D,2/27/1985,0.066,0.073,0.077,0.080,0.067,0.090,0.061,0.075,0.064,0.056,0.062,0.058,0.048,,
Brendan Bell,D,3/31/1983,,0.060,,,,,,,,,,,,,
Brendan Guhle,D,7/29/1997,,,,,,,,,,,,,,,
Brendan Mikkelson,D,6/22/1987,,0.060,,,0.099,,,,,,,,,,
Brendan Smith,D,2/8/1989,,,,,,0.075,0.066,0.061,0.048,0.079,0.065,0.056,0.066,0.063,0.069
Brendan Witt,D,2/20/1975,0.104,0.105,0.116,,,,,,,,,,,,
Brenden Dillon,D,11/13/1990,,,,,,0.079,0.102,0.103,0.083,0.074,0.088,0.064,0.062,0.062,0.078
Brendon Nash,D,3/31/1987,,,,,,,,,,,,,,,
Brennan Menell,D,5/24/1997,,,,,,,,,,,,,,,
Brent Burns,D,3/9/1985,0.058,0.071,0.063,0.073,0.079,,0.034,0.082,0.082,0.086,0.082,0.064,0.075,0.070,0.076
Brent Regner,D,5/17/1989,,,,,,,,,,,,,,,
Brent Seabrook,D,4/20/1985,0.076,0.068,0.097,0.086,0.103,0.110,0.095,0.086,0.104,0.093,0.113,0.135,0.118,,
Brent Sopel,D,1/7/1977,0.099,,0.101,0.117,,,,,,,,,,,
Bret Hedican,D,8/10/1970,0.083,0.040,,,,,,,,,,,,,
Brett Bellemore,D,6/25/1988,,,,,,,0.097,0.078,,,,,,,
Brett Carson,D,11/29/1985,,,0.110,,,,,,,,,,,,
Brett Clark,D,12/23/1976,0.117,0.148,0.144,0.123,0.138,,,,,,,,,,
Brett Festerling,D,3/3/1986,,0.059,0.062,,,,,,,,,,,,
Brett Kulak,D,1/6/1994,,,,,,,,,,,0.069,0.077,0.067,0.088,0.061
Brett Lebda,D,1/15/1982,0.047,0.033,0.058,0.078,,,,,,,,,,,
Brett Lernout,D,9/24/1995,,,,,,,,,,,,,,,
Brett Pesce,D,11/15/1994,,,,,,,,,0.076,0.100,0.082,0.098,0.079,0.079,0.079
Brett Skinner,D,6/28/1983,,,,,,,,,,,,,,,
Brian Campbell,D,5/23/1979,0.058,0.057,0.066,0.074,0.069,0.059,0.061,0.053,0.050,0.064,,,,,
Brian Dumoulin,D,9/6/1991,,,,,,,,,0.058,0.082,0.083,0.085,,0.059,0.090
Brian Fahey,D,3/2/1981,,,,,,,,,,,,,,,
Brian Lashoff,D,7/16/1990,,,,,,0.072,0.077,,,,,,,,
Brian Lee,D,3/26/1987,,0.082,,0.093,0.082,,,,,,,,,,
Brian Pothier,D,4/15/1977,0.058,,0.101,,,,,,,,,,,,
Brian Rafalski,D,9/28/1973,0.050,0.041,0.064,0.052,,,,,,,,,,,
Brian Salcido,D,4/14/1985,,,,,,,,,,,,,,,
Brian Strait,D,1/4/1988,,,,,,,0.116,0.101,0.093,,,,,,
Brinson Pasichnuk,D,11/24/1997,,,,,,,,,,,,,,,
Brogan Rafferty,D,5/28/1995,,,,,,,,,,,,,,,
Brooks Orpik,D,9/26/1980,0.108,0.105,0.083,0.074,0.093,0.127,0.092,0.114,0.132,0.099,0.092,0.083,,,
Bruno Gervais,D,10/3/1984,0.077,0.099,0.084,0.110,0.098,0.077,,,,,,,,,
Bryan Allen,D,8/21/1980,0.082,,0.099,0.086,0.118,0.083,0.089,,,,,,,,
Bryan Berard,D,3/5/1977,0.089,,,,,,,,,,,,,,
Bryan Helmer,D,7/15/1972,,,,,,,,,,,,,,,
Bryan McCabe,D,6/8/1975,0.087,0.074,0.069,0.060,,,,,,,,,,,
Bryan Rodney,D,4/22/1984,,,,,,,,,,,,,,,
Bryan Young,D,8/6/1986,,,,,,,,,,,,,,,
Bryce Salvador,D,2/11/1976,0.086,0.094,0.078,,0.056,0.081,0.049,,,,,,,,
Cade Fairchild,D,1/15/1989,,,,,,,,,,,,,,,
Cal Foote,D,12/13/1998,,,,,,,,,,,,,,0.082,0.091
Cale Fleury,D,11/19/1998,,,,,,,,,,,,,0.095,,
Cale Makar,D,10/30/1998,,,,,,,,,,,,,0.065,0.058,0.079
Caleb Jones,D,6/6/1997,,,,,,,,,,,,,0.094,0.086,0.086
Calen Addison,D,4/11/2000,,,,,,,,,,,,,,,
Calle Rosen,D,2/2/1994,,,,,,,,,,,,,,,
Calvin de Haan,D,5/9/1991,,,,,,,0.114,0.113,0.134,0.123,0.116,0.085,,0.102,0.136
Cam Barker,D,4/4/1986,0.063,0.054,0.064,0.089,,,,,,,,,,,
Cam Dineen,D,6/19/1998,,,,,,,,,,,,,,,0.097
Cam Fowler,D,12/5/1991,,,,0.083,0.071,0.073,0.088,0.080,0.092,0.080,0.083,0.083,0.060,0.041,0.068
Cam York,D,1/5/2001,,,,,,,,,,,,,,,
Cameron Gaunce,D,3/19/1990,,,,,,,,,,,,,,,
Cameron Schilling,D,10/7/1988,,,,,,,,,,,,,,,
Carl Dahlstrom,D,1/28/1995,,,,,,,,,,,,0.062,,,
Carl Gunnarsson,D,11/9/1986,,,0.102,0.114,0.105,0.103,0.122,0.114,0.099,0.097,0.107,,0.086,,
Carl Sneep,D,11/5/1987,,,,,,,,,,,,,,,
Carlo Colaiacovo,D,1/27/1983,,0.082,0.064,0.088,0.083,,,0.073,0.089,,,,,,
Carson Soucy,D,7/27/1994,,,,,,,,,,,,,0.071,0.076,0.079
Casey Borer,D,7/28/1985,,,,,,,,,,,,,,,
Casey Fitzgerald,D,2/25/1997,,,,,,,,,,,,,,,0.060
Casey Nelson,D,7/18/1992,,,,,,,,,,,0.069,0.073,,,
Chad Billins,D,5/26/1989,,,,,,,,,,,,,,,
Chad Ruhwedel,D,5/7/1990,,,,,,,,,,0.060,0.074,,0.052,,0.075
Charlie McAvoy,D,12/21/1997,,,,,,,,,,,0.076,0.098,0.102,0.081,0.087
Chase Priskie,D,3/19/1996,,,,,,,,,,,,,,,
Chay Genoway,D,12/20/1986,,,,,,,,,,,,,,,
Chris Bigras,D,2/22/1995,,,,,,,,,0.058,,,,,,
Chris Breen,D,6/29/1989,,,,,,,,,,,,,,,
Chris Butler,D,10/27/1986,,0.094,0.074,0.077,0.092,0.114,0.145,0.082,,,,,,,
Chris Campoli,D,7/9/1984,0.082,0.074,0.086,0.075,0.100,,,,,,,,,,
Chris Chelios,D,1/25/1962,0.038,,,,,,,,,,,,,,
Chris Phillips,D,3/9/1978,0.086,0.073,0.079,0.082,0.087,0.086,0.071,0.070,,,,,,,
Chris Pronger,D,10/10/1974,0.062,0.059,0.098,0.111,,,,,,,,,,,
Chris Summers,D,2/5/1988,,,,,,,,,,,,,,,
Chris Wideman,D,1/7/1990,,,,,,,,,0.098,0.083,,,,,0.062
Christian Backman,D,4/28/1980,0.059,0.073,,,,,,,,,,,,,
Christian Djoos,D,8/6/1994,,,,,,,,,,,0.080,0.060,,0.072,
Christian Ehrhoff,D,7/6/1982,0.070,0.073,0.065,0.076,0.071,0.085,0.077,0.055,0.062,,,,,,
Christian Folin,D,2/9/1991,,,,,,,,0.080,,0.094,0.117,0.114,,,
Christian Jaros,D,4/2/1996,,,,,,,,,,,,0.109,,,
Christian Wolanin,D,3/17/1995,,,,,,,,,,,,,,,
Christoph Schubert,D,2/5/1982,0.034,0.071,0.080,,,,,,,,,,,,
Christopher Tanev,D,12/20/1989,,,,,,0.110,0.111,0.120,0.120,0.084,0.096,0.106,0.112,0.086,0.088
Clay Wilson,D,4/5/1983,,,,,,,,,,,,,,,
Clayton Stoner,D,2/19/1985,,,,0.096,0.100,0.076,0.088,0.072,0.077,,,,,,
Cody Ceci,D,12/21/1993,,,,,,,0.076,0.092,0.106,0.100,0.105,0.094,0.081,0.084,0.077
Cody Franson,D,8/8/1987,,,0.087,0.065,0.079,0.084,0.086,0.104,0.073,0.072,,,,,
Cody Goloubef,D,11/30/1989,,,,,,,,0.076,0.089,0.069,,,,,
Colby Cohen,D,4/25/1989,,,,,,,,,,,,,,,
Colby Robak,D,4/24/1990,,,,,,,,,,,,,,,
Colin Miller,D,10/29/1992,,,,,,,,,0.072,0.058,0.058,0.069,0.062,0.071,0.069
Colin White,D,12/12/1977,0.077,0.084,0.085,0.073,0.110,,,,,,,0.035,0.037,0.031,
Colten Teubert,D,3/8/1990,,,,,,,,,,,,,,,
Colton Parayko,D,5/12/1993,,,,,,,,,0.101,0.082,0.096,0.103,0.089,0.097,0.099
Colton White,D,5/3/1997,,,,,,,,,,,,,,,
Connor Carrick,D,4/13/1994,,,,,,,0.117,,,0.091,0.092,0.076,,,
Connor Clifton,D,4/28/1995,,,,,,,,,,,,,0.091,0.076,0.078
Connor Mackey,D,9/12/1996,,,,,,,,,,,,,,,
Connor Murphy,D,3/26/1993,,,,,,,,0.118,0.101,0.086,0.094,0.095,0.115,0.114,0.130
Conor Allen,D,1/31/1990,,,,,,,,,,,,,,,
Conor Timmins,D,9/18/1998,,,,,,,,,,,,,,0.062,
Corey Potter,D,1/5/1984,,,,,0.080,0.079,,,,,,,,,
Corey Schueneman,D,9/2/1995,,,,,,,,,,,,,,,
Cory Murphy,D,2/13/1978,0.075,0.072,,,,,,,,,,,,,
Cory Sarich,D,8/16/1978,0.046,0.059,0.069,0.084,0.068,,0.068,,,,,,,,
Craig Rivet,D,9/13/1974,0.064,0.061,0.045,0.071,,,,,,,,,,,
Dakota Mermis,D,1/5/1994,,,,,,,,,,,,,,,
Dalton Prout,D,3/13/1990,,,,,,,0.091,0.083,0.078,,,,,,
Damon Severson,D,8/7/1994,,,,,,,,0.051,0.051,0.066,0.062,0.064,0.085,0.053,0.064
Dan Boyle,D,7/12/1976,0.079,0.065,0.077,0.083,0.076,0.090,0.065,0.069,0.081,,,,,,
Dan Girardi,D,4/29/1984,0.087,0.062,0.106,0.133,0.093,0.123,0.100,0.113,0.132,0.143,0.111,0.096,,,
Dan Hamhuis,D,12/13/1982,0.050,0.073,0.068,0.068,0.056,0.066,0.079,0.066,0.056,0.073,0.072,0.068,0.056,,
Dan Jancevski,D,6/15/1981,,,,,,,,,,,,,,,
Dan Renouf,D,6/1/1994,,,,,,,,,,,,,,,
Daniel Brickley,D,3/30/1995,,,,,,,,,,,,,,,
Daniel Tjarnqvist,D,10/14/1976,,0.057,,,,,,,,,,,,,
Daniil Miromanov,D,7/11/1997,,,,,,,,,,,,,,,
Danny Biega,D,9/29/1991,,,,,,,,,,,,,,,
Danny DeKeyser,D,3/7/1990,,,,,,,0.097,0.060,0.067,0.099,0.102,0.094,,0.092,0.090
Danny Richmond,D,8/1/1984,,,,,,,,,,,,,,,
Danny Syvret,D,6/13/1985,,,,,,,,,,,,,,,
Dante Fabbro,D,6/20/1998,,,,,,,,,,,,,0.088,0.087,0.093
Darnell Nurse,D,2/4/1995,,,,,,,,,0.089,0.079,0.091,0.090,0.092,0.081,0.082
Darren Dietz,D,7/17/1993,,,,,,,,,,,,,,,
Darren Raddysh,D,2/28/1996,,,,,,,,,,,,,,,
Darryl Sydor,D,5/13/1972,0.087,0.100,0.111,,,,,,,,,,,,
David Farrance,D,6/23/1999,,,,,,,,,,,,,,,
David Hale,D,6/18/1981,0.045,0.057,0.054,,,,,,,,,,,,
David Liffiton,D,10/18/1984,,,,,,,,,,,,,,,
David Musil,D,4/9/1993,,,,,,,,,,,,,,,
David Rundblad,D,10/8/1990,,,,,,,,0.079,,,,,,,
David Savard,D,10/22/1990,,,,,0.052,,0.076,0.075,0.086,0.088,0.094,0.091,0.124,0.114,0.101
David Schlemko,D,5/7/1987,,,,0.102,0.111,,0.101,0.132,0.080,0.128,0.118,,,,
David Tanabe,D,7/19/1980,,,,,,,,,,,,,,,
David Warsofsky,D,5/30/1990,,,,,,,,,,,,,,,
Davis Drewiske,D,11/22/1984,,,0.108,0.123,,,,,,,,,,,
Dean Kukan,D,7/8/1993,,,,,,,,,,,,,0.069,0.091,0.072
Declan Chisholm,D,1/12/2000,,,,,,,,,,,,,,,
Denis Gauthier,D,10/1/1976,,0.095,,,,,,,,,,,,,
Denis Grebeshkov,D,10/11/1983,0.065,0.074,0.059,,,,,,,,,,,,
Dennis Cholowski,D,2/15/1998,,,,,,,,,,,,0.077,0.077,,
Dennis Gilbert,D,10/30/1996,,,,,,,,,,,,,,,
Dennis Seidenberg,D,7/18/1981,0.116,0.114,0.129,0.107,0.088,0.102,0.089,0.075,0.093,0.105,,,,,
Dennis Wideman,D,3/20/1983,0.066,0.088,0.081,0.087,0.080,0.107,0.089,0.117,0.091,0.067,,,,,
Derek Forbort,D,3/4/1992,,,,,,,,,,0.103,0.090,0.084,,0.101,0.065
Derek Joslin,D,3/17/1987,,,,0.075,0.073,,,,,,,,,,
Derek Meech,D,4/21/1984,0.066,0.061,0.063,,,,,,,,,,,,
Derek Morris,D,8/24/1978,0.082,0.102,0.083,0.091,0.071,0.079,0.092,,,,,,,,
Derek Peltier,D,3/14/1985,,,,,,,,,,,,,,,
Derek Smith,D,10/13/1984,,,,,0.088,,,,,,,,,,
Derian Hatcher,D,6/4/1972,0.075,,,,,,,,,,,,,,
Derrick Pouliot,D,1/16/1994,,,,,,,,0.057,,,0.118,0.085,,,
