Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.024,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.050,0.038,0.048,0.064,0.048,0.059,0.034,0.046
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.054,0.066,,0.075,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.072,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.039,,,,,,,,,,
Aaron Rome,,,0.066,0.062,0.093,,,,,,,,,,
Aaron Volpatti,,,,,,0.041,0.033,,,,,,,,
Aaron Voros,0.012,0.014,0.044,,,,,,,,,,,,
Aaron Ward,0.079,0.096,0.103,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.072,0.055,0.056
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.041,0.033,,0.068,0.026,0.061,,,,,,,,,
Adam Clendening,,,,,,,,,,0.059,,,,,
Adam Cracknell,,,,,,,,,0.042,0.053,,,,,
Adam Erne,,,,,,,,,,,,0.038,0.041,0.029,0.043
Adam Foote,0.073,0.075,0.074,0.078,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.073,0.074,0.074
Adam Gaudette,,,,,,,,,,,,0.028,0.032,0.055,0.017
Adam Hall,0.044,0.030,,0.042,0.029,0.054,0.046,,,,,,,,
Adam Henrique,,,,,0.039,0.021,0.039,0.034,0.034,0.045,0.046,0.060,0.032,0.048,0.054
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.054,0.063,,0.081,0.072,0.092,0.094,0.069,0.076,0.113,0.066
Adam Lowry,,,,,,,,0.029,0.042,0.038,0.044,0.037,0.026,0.039,0.035
Adam Mair,0.026,0.026,0.021,0.027,,,,,,,,,,,
