Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.050,0.038,0.048,0.064,0.048,0.059,0.034,0.046
Aaron Johnson,,0.054,0.066,,0.075,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.072,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.066,0.062,0.093,,,,,,,,,,
Aaron Ward,0.079,0.096,0.103,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.072,0.055,0.056
Adam Clendening,,,,,,,,,,0.059,,,,,
Adam Foote,0.073,0.075,0.074,0.078,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.073,0.074,0.074
Adam Larsson,,,,,0.054,0.063,,0.081,0.072,0.092,0.094,0.069,0.076,0.113,0.066
Adam McQuaid,,,,0.122,0.090,0.092,,0.073,0.091,0.084,0.076,0.103,,,
Adam Pardy,,0.046,0.062,,0.079,,0.057,0.057,,,,,,,
Adam Pelech,,,,,,,,,,0.079,0.088,0.079,0.091,0.055,0.072
Adrian Aucoin,0.037,0.033,0.041,0.039,0.052,0.022,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.088,0.070,,0.083,0.104,0.108,0.088,0.110,0.106,0.106,0.128,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.047,0.052,0.074,0.056,0.056,,
Alex Goligoski,,0.069,0.072,0.067,0.063,0.058,0.075,0.078,0.081,0.072,0.083,0.097,0.085,0.075,0.066
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.063,0.066,0.062,0.076,0.079,,,
Alex Pietrangelo,,,,0.069,0.060,0.082,0.072,0.075,0.070,0.078,0.084,0.083,0.056,0.078,0.080
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.055,0.058,0.071,0.082,0.083,0.080,0.101,0.073,0.084,0.075,0.122,0.120,0.111,0.108,0.086
Alexander Romanov,,,,,,,,,,,,,,0.060,0.069
Alexander Sulzer,,,,0.076,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.065
Alexandre Picard,,0.069,0.076,0.085,,,,,,,,,,,
Alexei Emelin,,,,,0.071,0.055,0.105,0.083,0.074,0.067,0.081,,,,
Alexei Semenov,,0.046,,,,,,,,,,,,,
Alexei Zhitnik,0.041,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.070,0.074,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.061,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.109,0.080,0.097,,,,,,,
Andreas Borgman,,,,,,,,,,,0.056,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.062,0.055,,0.094,0.107,,,,,,,,,,
Andrei Markov,0.075,0.060,0.060,,,0.059,0.093,0.093,0.083,0.058,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.079,,,,,,,,,,,,,,
Andrej Meszaros,0.065,0.069,0.064,0.086,0.074,,0.074,0.095,,,,,,,
Andrej Sekera,0.065,0.065,0.058,0.049,0.063,0.096,0.080,0.075,0.094,0.098,0.061,,0.057,0.064,0.056
Andrej Sustr,,,,,,,0.051,0.058,0.050,0.058,0.057,,,,0.060
Andrew Alberts,0.066,0.095,0.072,0.071,0.063,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.058,,,,,,
Andrew Campbell,,,,,,,,0.100,,,,,,,
Andrew Ference,0.050,0.068,0.067,0.061,0.060,0.061,0.068,0.066,,,,,,,
Andrew Hutchinson,,0.061,,,,,,,,,,,,,
Andrew MacDonald,,,0.099,0.122,0.105,0.114,0.130,0.070,,0.098,0.088,0.118,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.087
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.067,0.083,0.088,0.079,0.087,0.061,0.058,0.079,0.073,0.071,0.100,0.109,0.109,0.102,0.106
Andy Sutton,0.077,,0.131,0.144,0.103,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.080,,,,,,,,,,,,,,
Anssi Salmela,,,0.055,0.042,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,0.073,0.083,0.053,,
Anthony DeAngelo,,,,,,,,,,0.083,,,,,
Anton Babchuk,,0.097,,0.128,0.115,,,,,,,,,,
Anton Belov,,,,,,,0.085,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.063,,,,
Anton Stralman,0.036,0.065,0.041,0.050,0.081,0.049,0.037,0.042,0.048,0.057,0.055,0.063,0.055,0.038,0.057
Anton Volchenkov,0.126,0.119,0.105,0.100,0.089,0.068,0.059,0.079,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.079,0.070
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.063,0.065,0.057,0.082,0.076,0.092,0.083,0.083,0.081,,,,,,
Ben Chiarot,,,,,,,,0.071,0.091,0.094,0.068,0.091,0.072,0.058,0.079
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,0.058,0.079,,0.053,
Ben Hutton,,,,,,,,,0.072,0.081,0.056,0.068,0.062,0.052,0.077
Ben Lovejoy,,,,0.085,0.079,0.073,0.089,0.083,0.072,0.080,0.076,0.085,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.069,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,0.047,,,
Boris Valabik,,0.078,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.056,0.052,0.052,,0.064
Brad Lukowich,0.103,0.088,,,,,,,,,,,,,
Brad Stuart,0.067,0.068,0.069,0.078,0.056,0.086,0.093,0.097,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,0.078
Brady Austin,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.050,0.068,0.070,0.066,0.052,0.040
Brandon Carlo,,,,,,,,,,0.056,0.049,0.054,0.051,,0.063
Brandon Davidson,,,,,,,,,0.082,0.101,0.105,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,0.057,0.067,0.064,0.065,,,
Brandon Montour,,,,,,,,,,,0.052,0.068,0.051,0.062,0.048
Branislav Mezei,0.056,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.045,0.054,0.069,0.105,0.078,0.077,0.079,0.112
Brayden Pachal,,,,,,,,,,,,,,,
Braydon Coburn,0.050,0.057,0.061,0.065,0.052,0.076,0.048,0.063,0.054,0.047,0.054,0.050,0.042,,
Brendan Bell,,0.046,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,0.043,,,0.083,,,,,,,,,,
Brendan Smith,,,,,,0.059,0.050,0.046,0.034,0.066,0.052,0.044,0.056,0.053,0.061
Brendan Witt,0.096,0.098,0.110,,,,,,,,,,,,
Brenden Dillon,,,,,,0.062,0.086,0.088,0.068,0.060,0.075,0.051,0.050,0.051,0.069
Brendon Nash,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.042,0.055,0.047,0.058,0.064,,0.022,0.070,0.072,0.077,0.074,0.057,0.069,0.065,0.072
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.059,0.052,0.082,0.071,0.089,0.097,0.083,0.075,0.093,0.083,0.104,0.128,0.112,,
Brent Sopel,0.088,,0.093,0.110,,,,,,,,,,,
Bret Hedican,0.080,0.038,,,,,,,,,,,,,
Brett Bellemore,,,,,,,0.082,0.064,,,,,,,
Brett Carson,,,0.094,,,,,,,,,,,,
Brett Clark,0.108,0.140,0.136,0.117,0.133,,,,,,,,,,
Brett Festerling,,0.042,0.046,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,0.053,0.062,0.052,0.074,0.047
Brett Lebda,0.032,0.018,0.044,0.065,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.059,0.084,0.066,0.082,0.065,0.065,0.066
Brett Skinner,,,,,,,,,,,,,,,
Brian Campbell,0.046,0.045,0.056,0.065,0.060,0.052,0.054,0.048,0.046,0.061,,,,,
Brian Dumoulin,,,,,,,,,0.043,0.067,0.069,0.072,,0.048,0.080
Brian Fahey,,,,,,,,,,,,,,,
Brian Lashoff,,,,,,0.055,0.061,,,,,,,,
Brian Lee,,0.065,,0.077,0.066,,,,,,,,,,
Brian Pothier,0.047,,0.092,,,,,,,,,,,,
Brian Rafalski,0.044,0.036,0.060,0.049,,,,,,,,,,,
Brian Salcido,,,,,,,,,,,,,,,
Brian Strait,,,,,,,0.101,0.087,0.079,,,,,,
Brinson Pasichnuk,,,,,,,,,,,,,,,
Brogan Rafferty,,,,,,,,,,,,,,,
Brooks Orpik,0.094,0.092,0.071,0.063,0.083,0.118,0.085,0.108,0.127,0.095,0.089,0.081,,,
Bruno Gervais,0.061,0.083,0.069,0.096,0.085,0.065,,,,,,,,,
Bryan Allen,0.069,,0.087,0.076,0.109,0.074,0.081,,,,,,,,
Bryan Berard,0.079,,,,,,,,,,,,,,
Bryan Helmer,,,,,,,,,,,,,,,
