Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,-0.003,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,-0.005,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,-0.002,0.000,,,,,,,,
Aaron Voros,F,7/2/1981,0.007,-0.002,0.003,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,-0.002,-0.001,,0.002,0.000,-0.007,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.000,0.004,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,-0.001,-0.004,0.003,-0.003
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.001,0.002,-0.004,-0.005
Adam Hall,F,8/14/1980,-0.002,-0.003,,-0.006,-0.005,-0.006,-0.003,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.002,-0.002,0.004,0.001,0.007,0.001,0.003,-0.001,0.006,0.010,-0.001
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,-0.001,-0.001,-0.001,0.004,-0.001,-0.005,0.004,-0.004
Adam Mair,F,2/15/1979,0.000,0.002,0.002,-0.006,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.006,0.004,-0.003,0.003,0.006
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,-0.004,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,-0.002,0.004,0.006,0.009,-0.001,0.005,0.002,0.007,0.007
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.001,0.008,,0.006,-0.002,-0.001,0.001,0.003,0.002,,,,,,
