Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,-0.005,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.000,0.004,-0.001,0.002,0.001,-0.001,0.003,0.004
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.004,0.003,,0.000,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.000,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,-0.005,,,,,,,,,,
Aaron Rome,,,-0.002,-0.002,0.002,,,,,,,,,,
Aaron Volpatti,,,,,,-0.003,0.000,,,,,,,,
Aaron Voros,0.007,-0.002,0.002,,,,,,,,,,,,
Aaron Ward,0.003,0.000,0.000,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.003,-0.001,0.005
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,-0.002,-0.001,,0.001,-0.001,-0.008,,,,,,,,,
Adam Clendening,,,,,,,,,,0.000,,,,,
Adam Cracknell,,,,,,,,,-0.001,0.002,,,,,
Adam Erne,,,,,,,,,,,,-0.001,-0.004,0.003,-0.004
Adam Foote,-0.001,0.000,-0.001,-0.001,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.001,-0.002,0.003
Adam Gaudette,,,,,,,,,,,,0.001,0.002,-0.004,-0.005
Adam Hall,-0.002,-0.004,,-0.007,-0.006,-0.007,-0.005,,,,,,,,
Adam Henrique,,,,,0.002,-0.002,0.004,0.001,0.007,0.001,0.002,-0.001,0.005,0.008,-0.002
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.000,-0.001,,0.000,0.000,0.000,0.000,-0.001,-0.002,0.002,0.002
Adam Lowry,,,,,,,,-0.001,-0.001,-0.001,0.003,-0.001,-0.005,0.004,-0.005
Adam Mair,0.000,0.001,0.001,-0.007,,,,,,,,,,,
Adam McQuaid,,,,0.001,0.000,0.000,,-0.001,0.000,0.000,0.000,0.002,,,
Adam Pardy,,0.000,0.001,,-0.002,,-0.003,-0.002,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,0.003,-0.001,0.000,-0.002,-0.001,-0.001
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
