Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.000,0.004,-0.001,0.002,0.001,-0.001,0.003,0.004
Aaron Johnson,,0.004,0.003,,0.000,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.000,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,-0.002,-0.002,0.002,,,,,,,,,,
Aaron Ward,0.003,0.000,0.000,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.003,-0.001,0.005
Adam Clendening,,,,,,,,,,0.000,,,,,
Adam Foote,-0.001,0.000,-0.001,-0.001,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.001,-0.002,0.003
Adam Larsson,,,,,0.000,-0.001,,0.000,0.000,0.000,0.000,-0.001,-0.002,0.002,0.002
Adam McQuaid,,,,0.001,0.000,0.000,,-0.001,0.000,0.000,0.000,0.002,,,
Adam Pardy,,0.000,0.001,,-0.002,,-0.003,-0.002,,,,,,,
Adam Pelech,,,,,,,,,,0.003,-0.001,0.000,-0.002,-0.001,-0.001
Adrian Aucoin,0.002,0.003,0.002,0.000,-0.002,-0.001,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.002,0.000,,0.005,0.001,0.001,0.000,0.003,0.001,0.001,0.002,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,-0.002,-0.003,-0.004,-0.001,-0.003,,
Alex Goligoski,,0.001,0.002,0.002,0.002,-0.001,-0.001,-0.001,0.000,0.000,0.003,-0.001,-0.001,0.000,-0.001
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,-0.002,0.000,-0.002,0.000,-0.004,,,
Alex Pietrangelo,,,,0.001,-0.002,0.000,0.000,-0.001,-0.001,0.001,0.003,0.003,0.001,0.003,0.000
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.001,0.001,-0.001,-0.001,0.000,0.000,-0.001,-0.001,0.000,0.000,0.000,0.003,0.002,-0.003,0.001
Alexander Romanov,,,,,,,,,,,,,,-0.002,0.000
Alexander Sulzer,,,,-0.001,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
