Player,Model I,Model II,Model III,Model IV,2021-22 Actual Score
Connor McDavid,0.0227,0.0229,0.0228,0.0228,0.0235
Patrick Kane,0.0156,0.0141,0.0154,0.0187,0.0121
Leon Draisaitl,0.0189,0.0179,0.0188,0.0187,0.0214
Johnny Gaudreau,0.0143,0.0141,0.0141,0.0153,0.0267
Mitchell Marner,0.0170,0.0171,0.0172,0.0169,0.0230
Sidney Crosby,0.0159,0.0152,0.0161,0.0212,0.0202
John Tavares,0.0179,0.0167,0.0176,0.0194,0.0143
Artemi Panarin,0.0177,0.0167,0.0179,0.0194,0.0140
Jake Guentzel,0.0201,0.0191,0.0200,0.0202,0.0264
Aleksander Barkov,0.0179,0.0181,0.0181,0.0178,0.0234
Nathan MacKinnon,0.0179,0.0175,0.0180,0.0181,0.0222
Alex Ovechkin,0.0232,0.0208,0.0234,0.0313,0.0271
Claude Giroux,0.0136,0.0133,0.0138,0.0178,0.0142
Max Domi,0.0141,0.0130,0.0138,0.0137,0.0129
Brad Marchand,0.0220,0.0215,0.0223,0.0273,0.0223
Sean Monahan,0.0122,0.0114,0.0137,0.0120,0.0040
Jonathan Huberdeau,0.0170,0.0170,0.0172,0.0183,0.0198
Mark Scheifele,0.0161,0.0157,0.0161,0.0167,0.0187
Sean Couturier,0.0188,0.0187,0.0190,0.0198,0.0089
Tomas Hertl,0.0183,0.0177,0.0182,0.0188,0.0185
Brayden Point,0.0185,0.0187,0.0187,0.0186,0.0172
Steven Stamkos,0.0169,0.0154,0.0169,0.0188,0.0224
Matt Duchene,0.0118,0.0113,0.0119,0.0129,0.0219
Blake Wheeler,0.0116,0.0114,0.0118,0.0177,0.0134
Dylan Larkin,0.0127,0.0123,0.0130,0.0124,0.0217
Timo Meier,0.0176,0.0173,0.0175,0.0177,0.0183
Mikko Rantanen,0.0195,0.0198,0.0199,0.0194,0.0157
Sebastian Aho,0.0203,0.0199,0.0204,0.0205,0.0207
Matthew Tkachuk,0.0173,0.0169,0.0172,0.0172,0.0245
Auston Matthews,0.0294,0.0300,0.0299,0.0301,0.0347
Evgenii Dadonov,0.0148,0.0145,0.0149,0.0182,0.0143
Ryan O'Reilly,0.0139,0.0139,0.0139,0.0155,0.0106
Mark Stone,0.0163,0.0158,0.0162,0.0178,0.0108
Alex DeBrincat,0.0203,0.0209,0.0202,0.0210,0.0199
Pierre-Luc Dubois,0.0167,0.0161,0.0166,0.0166,0.0102
Morgan Rielly,0.0052,0.0044,0.0044,0.0043,0.0051
Brent Burns,0.0044,0.0042,0.0048,0.0054,0.0036
Cam Atkinson,0.0139,0.0127,0.0148,0.0161,0.0179
Tomas Tatar,0.0133,0.0125,0.0132,0.0152,0.0132
Sam Reinhart,0.0157,0.0159,0.0158,0.0158,0.0158
Nicklas Backstrom,0.0093,0.0093,0.0094,0.0142,0.0078
Logan Couture,0.0170,0.0162,0.0173,0.0205,0.0143
Evgeny Kuznetsov,0.0125,0.0125,0.0127,0.0139,0.0107
Mika Zibanejad,0.0179,0.0167,0.0181,0.0182,0.0108
Jakub Voracek,0.0093,0.0092,0.0093,0.0117,0.0036
Gabriel Landeskog,0.0152,0.0147,0.0151,0.0160,0.0277
Elias Lindholm,0.0169,0.0166,0.0171,0.0172,0.0254
David Pastrnak,0.0224,0.0224,0.0225,0.0226,0.0232
Mark Giordano,0.0046,0.0042,0.0044,0.0055,0.0048
Jeff Skinner,0.0147,0.0134,0.0151,0.0150,0.0246
Phillip Danault,0.0085,0.0081,0.0102,0.0091,0.0220
Evgeni Malkin,0.0106,0.0095,0.0107,0.0161,0.0185
Phil Kessel,0.0108,0.0110,0.0109,0.0157,0.0053
Ryan Johansen,0.0081,0.0077,0.0091,0.0089,0.0143
Alex Tuch,0.0160,0.0162,0.0162,0.0160,0.0128
Kyle Connor,0.0203,0.0198,0.0204,0.0203,0.0269
Patrice Bergeron,0.0179,0.0167,0.0180,0.0257,0.0174
Brendan Gallagher,0.0236,0.0229,0.0236,0.0246,0.0028
Ryan Dzingel,0.0110,0.0108,0.0108,0.0119,0.0123
Brock Nelson,0.0161,0.0150,0.0162,0.0176,0.0236
Mathew Barzal,0.0154,0.0155,0.0156,0.0155,0.0126
Zach Parise,0.0106,0.0101,0.0134,0.0191,0.0111
Mikael Backlund,0.0097,0.0096,0.0138,0.0118,0.0107
Roman Josi,0.0076,0.0074,0.0076,0.0079,0.0070
Evander Kane,0.0154,0.0150,0.0163,0.0164,0.0238
Jakub Vrana,0.0271,0.0272,0.0274,0.0276,0.0245
Joe Pavelski,0.0109,0.0104,0.0123,0.0191,0.0120
Jamie Benn,0.0105,0.0103,0.0119,0.0130,0.0123
Brayden Schenn,0.0110,0.0110,0.0111,0.0128,0.0184
Jonathan Marchessault,0.0150,0.0147,0.0151,0.0169,0.0213
Josh Bailey,0.0092,0.0090,0.0093,0.0123,0.0114
Kevin Hayes,0.0127,0.0124,0.0135,0.0136,0.0117
Andreas Athanasiou,0.0156,0.0151,0.0154,0.0154,0.0291
Viktor Arvidsson,0.0169,0.0163,0.0163,0.0164,0.0170
Travis Konecny,0.0163,0.0158,0.0163,0.0165,0.0112
Dylan Strome,0.0125,0.0124,0.0126,0.0125,0.0168
Brock Boeser,0.0164,0.0161,0.0163,0.0163,0.0109
Ryan McDonagh,0.0034,0.0032,0.0038,0.0036,0.0030
Chris Kreider,0.0148,0.0139,0.0147,0.0162,0.0199
Zach Hyman,0.0182,0.0183,0.0182,0.0193,0.0181
Ryan Nugent-Hopkins,0.0123,0.0118,0.0123,0.0126,0.0080
Bo Horvat,0.0118,0.0116,0.0125,0.0119,0.0162
Anze Kopitar,0.0095,0.0097,0.0096,0.0142,0.0102
T.J. Oshie,0.0120,0.0118,0.0120,0.0181,0.0117
William Karlsson,0.0133,0.0132,0.0134,0.0142,0.0091
Kasperi Kapanen,0.0157,0.0158,0.0158,0.0161,0.0108
Tyler Johnson,0.0138,0.0124,0.0135,0.0151,0.0109
Nino Niederreiter,0.0139,0.0138,0.0155,0.0145,0.0200
Brandon Saad,0.0199,0.0197,0.0202,0.0214,0.0141
Filip Forsberg,0.0164,0.0161,0.0163,0.0164,0.0311
Chris Tierney,0.0073,0.0073,0.0078,0.0079,0.0040
Thomas Chabot,0.0054,0.0049,0.0050,0.0048,0.0045
Dustin Brown,0.0092,0.0087,0.0113,0.0174,0.0099
Ryan Getzlaf,0.0044,0.0044,0.0076,0.0097,0.0011
John Carlson,0.0078,0.0077,0.0077,0.0082,0.0071
Yanni Gourde,0.0137,0.0136,0.0139,0.0152,0.0154
Josh Anderson,0.0193,0.0192,0.0194,0.0196,0.0164
Andreas Johnsson,0.0096,0.0089,0.0108,0.0091,0.0128
Joe Thornton,0.0033,0.0053,0.0052,0.0194,0.0060
Duncan Keith,0.0024,0.0022,0.0028,0.0032,0.0009
Paul Stastny,0.0105,0.0103,0.0141,0.0179,0.0163
Jonathan Drouin,0.0067,0.0061,0.0094,0.0061,0.0123
Kevin Labanc,0.0141,0.0143,0.0142,0.0144,0.0042
Kris Letang,0.0068,0.0063,0.0065,0.0069,0.0049
James van Riemsdyk,0.0135,0.0124,0.0133,0.0157,0.0136
Mike Hoffman,0.0151,0.0142,0.0152,0.0181,0.0115
Ryan Ellis,0.0047,0.0048,0.0051,0.0051,0.0135
Reilly Smith,0.0141,0.0132,0.0142,0.0156,0.0138
Mattias Ekholm,0.0054,0.0056,0.0058,0.0062,0.0042
Anthony Mantha,0.0147,0.0143,0.0146,0.0149,0.0183
Brady Tkachuk,0.0175,0.0175,0.0214,0.0178,0.0171
Jeff Petry,0.0064,0.0063,0.0065,0.0075,0.0049
Tyson Barrie,0.0046,0.0043,0.0049,0.0043,0.0035
Cody Eakin,0.0085,0.0076,0.0087,0.0092,0.0035
Joonas Donskoi,0.0156,0.0155,0.0159,0.0167,0.0023
Boone Jenner,0.0098,0.0096,0.0121,0.0102,0.0161
Alex Killorn,0.0147,0.0145,0.0149,0.0183,0.0169
Tom Wilson,0.0148,0.0141,0.0147,0.0149,0.0160
Oliver Bjorkstrand,0.0213,0.0204,0.0212,0.0212,0.0161
Seth Jones,0.0036,0.0035,0.0043,0.0032,0.0031
Colin White,0.0111,0.0108,0.0128,0.0131,0.0033
David Perron,0.0138,0.0133,0.0138,0.0176,0.0167
