Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.30,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.10,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.29,0.25,,,,,,,,
Aaron Voros,F,7/2/1981,0.22,0.21,0.22,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.12,0.09,,0.10,0.09,0.15,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.20,0.13,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.25,0.23,0.14,0.16
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.09,0.05,0.04,0.12
Adam Hall,F,8/14/1980,0.11,0.12,,0.15,0.17,0.18,0.12,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.08,0.05,0.07,0.05,0.05,0.07,0.05,0.07,0.07,0.06,0.02
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,0.25,0.20,0.20,0.21,0.22,0.21,0.23,0.22
Adam Mair,F,2/15/1979,0.18,0.13,0.15,0.11,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.09,0.08,0.07,0.06,0.09
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.11,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.03,0.03,0.04,0.04,0.02,0.02,0.02,0.03,0.05
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.02,0.01,,0.03,0.02,0.02,0.03,0.02,0.02,,,,,,
Ales Kotalik,F,12/23/1978,0.13,0.11,0.13,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,0.08,0.11,0.12,0.07,0.09,0.08,0.07,0.09,0.10
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,0.04,0.03,0.06,0.07,0.07
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,0.10
Alex Foster,F,8/26/1984,,,,,,,,,,,,,,,
Alex Friesen,F,1/30/1991,,,,,,,,,,,,,,,
Alex Frolov,F,6/19/1982,0.02,0.04,0.04,0.06,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,0.05,0.06,0.08,0.06,0.04,0.03,0.07,0.08,0.11,0.09
Alex Iafallo,F,12/21/1993,,,,,,,,,,,0.05,0.07,0.04,0.03,0.04
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,0.07,0.06,0.06,0.06,0.08,0.08,0.09,0.05,0.07,0.06
Alex Kovalev,F,2/24/1973,0.04,0.03,0.01,-0.01,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,0.05
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,0.04,,
Alex Ovechkin,F,9/17/1985,0.14,0.17,0.14,0.17,0.16,0.15,0.16,0.19,0.17,0.17,0.09,0.15,0.15,0.13,0.11
Alex Steeves,F,12/10/1999,,,,,,,,,,,,,,,
Alex Tanguay,F,11/21/1979,0.03,0.07,0.03,0.02,0.01,0.03,,0.02,0.00,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,0.10,0.08,0.10,0.06,0.04
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,0.03,0.04
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,0.05
Alexander Burmistrov,F,10/21/1991,,,,0.07,0.10,0.16,,,0.11,0.10,,,,,
Alexander Chmelevski,F,6/9/1999,,,,,,,,,,,,,,,
Alexander Holtz,F,1/23/2002,,,,,,,,,,,,,,,
Alexander Kerfoot,F,8/11/1994,,,,,,,,,,,0.05,0.02,0.05,0.05,0.06
Alexander Nikulin,F,8/25/1985,,,,,,,,,,,,,,,
Alexander Nylander,F,3/2/1998,,,,,,,,,,,,,,,
Alexander Radulov,F,7/5/1986,0.02,,,,,,,,,0.05,0.05,0.04,0.05,,0.04
Alexander Semin,F,3/3/1984,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.03,,,,,,,
Alexander Steen,F,3/1/1984,0.05,0.04,0.05,0.03,0.03,0.04,0.04,0.02,0.04,0.02,0.03,0.05,0.03,,
Alexander True,F,7/17/1997,,,,,,,,,,,,,,,
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,0.09,
Alexander Wennberg,F,9/22/1994,,,,,,,,0.07,0.04,0.05,0.03,0.03,0.02,,
Alexandre Bolduc,F,6/26/1985,,,,,,,,,,,,,,,
Alexandre Burrows,F,4/11/1981,0.08,0.06,0.08,0.08,0.07,0.06,0.11,0.07,0.07,0.05,0.07,,,,
Alexandre Fortin,F,2/25/1997,,,,,,,,,,,,,,,
Alexandre Giroux,F,6/16/1981,,,,,,,,,,,,,,,
Alexandre Grenier,F,9/5/1991,,,,,,,,,,,,,,,
Alexandre Picard,D,7/5/1985,,0.07,0.08,0.08,,,,,,,,,,,
Alexandre Texier,F,9/13/1999,,,,,,,,,,,,,0.05,0.07,0.03
