Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.004,0.009,0.004,0.007,0.005,0.004,0.008,0.011
Aaron Johnson,,0.006,0.005,,0.002,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.001,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.000,0.001,0.005,,,,,,,,,,
Aaron Ward,0.005,0.002,0.001,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.007,0.002,0.010
Adam Clendening,,,,,,,,,,0.002,,,,,
Adam Foote,0.000,0.002,0.000,0.000,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.006,0.002,0.007
Adam Larsson,,,,,0.002,0.000,,0.003,0.002,0.003,0.003,0.002,0.001,0.004,0.005
Adam McQuaid,,,,0.003,0.002,0.002,,0.001,0.001,0.002,0.002,0.004,,,
Adam Pardy,,0.001,0.002,,0.000,,0.000,0.000,,,,,,,
Adam Pelech,,,,,,,,,,0.004,0.002,0.004,0.001,0.003,0.002
Adrian Aucoin,0.004,0.006,0.005,0.002,0.001,0.000,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.005,0.005,,0.010,0.005,0.005,0.004,0.005,0.004,0.003,0.006,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.000,0.000,0.002,0.003,0.000,,
Alex Goligoski,,0.003,0.005,0.005,0.005,0.004,0.002,0.003,0.002,0.003,0.006,0.002,0.002,0.003,0.002
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.000,0.002,0.001,0.002,0.000,,,
Alex Pietrangelo,,,,0.005,0.004,0.003,0.004,0.004,0.004,0.005,0.008,0.007,0.007,0.009,0.006
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.003,0.004,0.002,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.004,0.006,0.004,0.000,0.005
Alexander Romanov,,,,,,,,,,,,,,0.001,0.002
Alexander Sulzer,,,,0.002,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.002
Alexandre Picard,,0.000,0.004,0.002,,,,,,,,,,,
Alexei Emelin,,,,,0.002,0.005,0.002,0.003,0.000,0.001,0.001,,,,
Alexei Semenov,,0.002,,,,,,,,,,,,,
Alexei Zhitnik,0.003,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.002,0.002,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.000,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.004,0.005,0.000,,,,,,,
Andreas Borgman,,,,,,,,,,,0.005,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.002,0.002,,0.001,0.000,,,,,,,,,,
Andrei Markov,0.004,0.004,0.002,,,0.002,0.003,0.004,0.001,0.005,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.003,,,,,,,,,,,,,,
Andrej Meszaros,0.002,0.001,0.003,0.004,0.005,,0.007,0.006,,,,,,,
Andrej Sekera,0.003,0.002,0.005,0.002,0.002,0.003,0.004,0.001,0.003,0.004,0.000,,0.001,0.005,0.002
Andrej Sustr,,,,,,,0.002,0.000,0.003,0.002,0.004,,,,0.002
Andrew Alberts,0.000,0.001,0.003,0.002,0.003,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.000,,,,,,
Andrew Campbell,,,,,,,,0.000,,,,,,,
Andrew Ference,0.001,0.000,0.000,0.003,0.005,0.005,0.002,0.003,,,,,,,
Andrew Hutchinson,,0.004,,,,,,,,,,,,,
Andrew MacDonald,,,0.001,0.003,0.003,0.002,0.001,0.001,,0.002,0.005,0.000,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.001
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.000,0.003,0.001,0.002,0.001,0.001,0.003,0.002,0.002,0.001,0.002,0.004,0.002,0.001,0.002
Andy Sutton,0.001,,0.004,0.000,0.004,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.004,,,,,,,,,,,,,,
Anssi Salmela,,,0.002,0.001,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,0.002,0.000,0.000,,
Anthony DeAngelo,,,,,,,,,,0.005,,,,,
Anton Babchuk,,0.007,,0.004,0.003,,,,,,,,,,
Anton Belov,,,,,,,0.001,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.000,,,,
Anton Stralman,0.005,0.002,0.002,0.000,0.002,0.005,0.001,0.005,0.006,0.003,0.003,0.002,0.004,0.005,0.006
Anton Volchenkov,0.001,0.002,0.004,0.000,0.002,0.002,0.000,0.000,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.004,0.004
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.001,0.001,0.001,0.000,0.001,0.004,0.002,0.002,0.001,,,,,,
Ben Chiarot,,,,,,,,0.003,0.001,0.003,0.003,0.004,0.007,0.000,0.005
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,0.000,0.001,,0.000,
Ben Hutton,,,,,,,,,0.001,0.002,0.000,0.003,0.004,0.002,0.004
Ben Lovejoy,,,,0.005,0.002,0.000,0.004,0.002,0.004,0.001,0.003,0.002,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.004,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,0.000,,,
Boris Valabik,,0.000,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.002,0.002,0.007,,0.004
Brad Lukowich,0.001,0.000,,,,,,,,,,,,,
Brad Stuart,0.004,0.001,0.002,0.002,0.003,0.000,0.003,0.003,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,0.003
Brady Austin,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
