Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.000,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.004,,,,,,,,,,
Aaron Volpatti,,,,,,0.004,0.007,,,,,,,,
Aaron Voros,0.016,0.010,0.008,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.004,0.013,,0.010,0.009,0.000,,,,,,,,,
Adam Cracknell,,,,,,,,,0.008,0.013,,,,,
Adam Erne,,,,,,,,,,,,0.008,0.003,0.014,0.006
Adam Gaudette,,,,,,,,,,,,0.009,0.013,0.012,0.005
Adam Hall,0.005,0.006,,0.007,0.004,0.000,0.004,,,,,,,,
Adam Henrique,,,,,0.011,0.010,0.014,0.010,0.018,0.011,0.015,0.009,0.020,0.018,0.015
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.010,0.008,0.010,0.013,0.012,0.005,0.014,0.010
Adam Mair,0.008,0.010,0.010,0.002,,,,,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.015,0.012,0.008,0.013,0.024
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.004,,,,,
Aleksander Barkov,,,,,,,0.006,0.012,0.018,0.019,0.013,0.016,0.013,0.023,0.023
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.011,0.018,,0.018,0.008,0.008,0.011,0.011,0.014,,,,,,
Ales Kotalik,0.012,0.012,0.008,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.008,0.010,0.006,0.012,0.012,0.013,0.007,0.009,0.011
Alex DeBrincat,,,,,,,,,,,0.021,0.024,0.008,0.027,0.020
Alex Formenton,,,,,,,,,,,,,,,0.013
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.017,0.017,0.012,0.013,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.017,0.012,0.015,0.019,0.013,0.009,0.011,0.010,0.010,0.008
Alex Iafallo,,,,,,,,,,,0.008,0.011,0.011,0.011,0.012
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.011,0.012,0.013,0.010,0.012,0.013,0.016,0.020,0.014,0.017
Alex Kovalev,0.016,0.013,0.012,0.010,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.012
Alex Nylander,,,,,,,,,,,,,0.014,,
Alex Ovechkin,0.030,0.027,0.030,0.018,0.020,0.021,0.022,0.021,0.025,0.013,0.025,0.025,0.033,0.022,0.027
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.012,0.018,0.006,0.016,0.011,0.013,,0.017,0.008,,,,,,
Alex Tuch,,,,,,,,,,,0.011,0.016,0.009,0.021,0.013
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.017,0.008
Alexander Barabanov,,,,,,,,,,,,,,,0.008
Alexander Burmistrov,,,,0.007,0.011,0.007,,,0.007,0.002,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.016,0.011,0.009,0.010,0.012
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.021,,,,,,,,,0.010,0.015,0.019,0.009,,0.004
Alexander Semin,0.020,0.031,0.028,0.023,0.016,0.012,0.014,0.007,,,,,,,
Alexander Steen,0.012,0.004,0.018,0.015,0.019,0.008,0.023,0.014,0.013,0.012,0.009,0.009,0.011,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.018,
Alexander Wennberg,,,,,,,,0.004,0.007,0.009,0.005,0.000,0.005,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.008,0.022,0.023,0.024,0.020,0.018,0.005,0.015,0.007,0.015,0.006,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,0.000,0.004,0.002,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.014,0.006,0.022
Alexei Ponikarovsky,0.020,0.017,0.016,0.006,0.009,0.008,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,0.017,0.019
Aliaksei Protas,,,,,,,,,,,,,,,0.008
Anders Bjork,,,,,,,,,,,,,0.011,0.009,0.008
Anders Lee,,,,,,,,0.022,0.007,0.024,0.022,0.015,0.017,,0.018
Andre Burakovsky,,,,,,,,0.011,0.018,0.012,0.014,0.013,0.024,0.022,0.016
Andre Deveaux,,,,,,,,,,,,,,,
Andre Petersson,,,,,,,,,,,,,,,
Andre Roy,0.012,0.012,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.025,0.023,0.016,0.022,0.011,0.016,
Andreas Engqvist,,,,,,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,,0.019,0.007,0.007,0.013
Andreas Karlsson,0.005,,,,,,,,,,,,,,
Andreas Martinsen,,,,,,,,,0.007,0.005,,,,,
Andreas Nodl,,0.003,,0.011,0.005,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,0.014,0.019,0.011,0.014,0.011,,,,,,,,,,
Andrei Loktionov,,,,,0.004,,0.006,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,,0.019,0.019,0.014,0.019
Andrej Nestrasil,,,,,,,,0.008,0.010,,,,,,
Andrew Agozzino,,,,,,,,,,,,,,,
Andrew Brunette,0.012,0.012,0.012,0.009,0.009,,,,,,,,,,
Andrew Cogliano,0.017,0.014,0.009,0.009,0.011,0.017,0.017,0.010,0.007,0.012,0.008,0.006,0.004,0.006,0.004
Andrew Copp,,,,,,,,,0.013,0.012,0.007,0.013,0.010,0.012,0.015
Andrew Crescenzi,,,,,,,,,,,,,,,
Andrew Desjardins,,,,,0.006,0.005,0.004,0.008,0.009,0.000,,,,,
Andrew Ebbett,,0.003,0.010,0.003,,,,,,,,,,,
Andrew Gordon,,,,,0.006,,,,,,,,,,
Andrew Joudrey,,,,,,,,,,,,,,,
Andrew Ladd,0.019,0.014,0.016,0.015,0.019,0.020,0.016,0.012,0.013,0.018,0.012,,,,0.007
Andrew Mangiapane,,,,,,,,,,,,0.018,0.019,0.020,0.024
Andrew Miller,,,,,,,,,,,,,,,
Andrew Murray,0.015,0.011,0.012,,0.004,,,,,,,,,,
Andrew Peters,0.007,,,,,,,,,,,,,,
Andrew Poturalski,,,,,,,,,,,,,,,
Andrew Shaw,,,,,0.024,0.011,0.015,0.010,0.009,0.012,0.007,0.019,,,
Andy Andreoff,,,,,,,,,0.015,0.000,0.007,,,,
Andy Hilbert,0.011,0.011,,,,,,,,,,,,,
Andy McDonald,0.013,0.012,0.016,0.015,,0.011,,,,,,,,,
Andy Miele,,,,,,,,,,,,,,,
Anthony Angello,,,,,,,,,,,,,,,
Anthony Beauvillier,,,,,,,,,,0.011,0.020,0.016,0.014,0.018,0.006
Anthony Cirelli,,,,,,,,,,,,0.014,0.014,0.009,0.012
Anthony Duclair,,,,,,,,,0.013,0.007,0.012,0.015,0.019,0.014,0.024
Anthony Greco,,,,,,,,,,,,,,,
Anthony Mantha,,,,,,,,,,0.019,0.012,0.017,0.015,0.014,0.018
Anthony Peluso,,,,,,,0.007,0.004,0.005,,,,,,
Anthony Richard,,,,,,,,,,,,,,,
Anthony Stewart,,0.004,,0.009,0.015,,,,,,,,,,
Antoine Roussel,,,,,,0.021,0.014,0.013,0.013,0.016,0.006,0.010,0.014,0.003,0.007
Antoine Vermette,0.017,0.012,0.016,0.013,0.005,0.015,0.012,0.006,0.010,0.004,0.008,,,,
Anton Blidh,,,,,,,,,,,,,,,0.006
Anton Lander,,,,,0.002,,,0.004,0.002,,,,,,
Anton Lundell,,,,,,,,,,,,,,,0.019
Anton Rodin,,,,,,,,,,,,,,,
Anton Slepyshev,,,,,,,,,,0.009,0.010,,,,
Anton Wedin,,,,,,,,,,,,,,,
Antti Miettinen,0.013,0.008,0.014,0.008,0.009,,,,,,,,,,
Antti Pihlstrom,,0.002,,,,,,,,,,,,,
Antti Suomela,,,,,,,,,,,,,,,
Anze Kopitar,0.014,0.015,0.014,0.015,0.012,0.013,0.015,0.008,0.015,0.006,0.020,0.013,0.011,0.011,0.010
Arron Asham,0.010,0.012,0.014,0.012,0.009,,,,,,,,,,
Artem Anisimov,,,0.012,0.014,0.011,0.022,0.017,0.011,0.011,0.019,0.009,0.012,0.017,,
Artemi Panarin,,,,,,,,,0.018,0.016,0.014,0.016,0.022,0.018,0.014
Arthur Kaliyev,,,,,,,,,,,,,,,0.009
Arttu Ruotsalainen,,,,,,,,,,,,,,,
Artturi Lehkonen,,,,,,,,,,0.016,0.009,0.011,0.013,0.009,0.017
Austin Czarnik,,,,,,,,,,0.010,,0.011,,,
Austin Poganski,,,,,,,,,,,,,,,
Austin Wagner,,,,,,,,,,,,0.022,0.007,0.009,
Austin Watson,,,,,,,,,0.006,0.006,0.013,0.013,0.011,0.009,0.013
Auston Matthews,,,,,,,,,,0.026,0.028,0.023,0.028,0.033,0.035
Axel Jonsson-Fjallby,,,,,,,,,,,,,,,
B.J. Crombeen,,0.012,0.007,0.007,0.003,0.002,0.006,0.006,,,,,,,
