Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,0.009,0.006,0.004,0.004,0.005,0.015,0.005,0.006
Aaron Johnson,D,4/30/1983,,0.002,0.006,,0.006,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.002,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.002,0.002,0.003,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.002,0.003,0.002,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.009,0.002,0.005
Adam Clendening,D,10/26/1992,,,,,,,,,,0.005,,,,,
Adam Foote,D,7/10/1971,0.003,0.003,0.005,0.006,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.012,0.012,0.010
Adam Larsson,D,11/12/1992,,,,,0.006,0.006,,0.008,0.005,0.003,0.002,0.005,0.002,0.002,0.006
Adam McQuaid,D,10/12/1986,,,,0.007,0.002,0.002,,0.002,0.003,0.002,0.000,0.002,,,
Adam Pardy,D,3/29/1984,,0.004,0.005,,0.000,,0.002,0.006,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.002,0.004,0.006,0.003,0.004,0.007
Adrian Aucoin,D,7/3/1973,0.004,0.005,0.001,0.009,0.001,0.006,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,0.003,0.004,,0.003,0.007,0.005,0.004,0.003,0.004,0.002,0.008,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.004,0.002,0.006,0.009,0.003,,
Alex Goligoski,D,7/30/1985,,0.008,0.007,0.004,0.006,0.005,0.009,0.007,0.008,0.007,0.007,0.006,0.004,0.005,0.008
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,0.001,0.009,0.007,0.006,0.000,,,
Alex Pietrangelo,D,1/18/1990,,,,0.008,0.008,0.008,0.010,0.007,0.011,0.008,0.009,0.004,0.006,0.006,0.007
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,0.003,0.006,0.007,0.008,0.006,0.003,0.001,0.003,0.002,0.004,0.005,0.005,0.009,0.006,0.011
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.004,0.003
Alexander Sulzer,D,5/30/1984,,,,0.003,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,0.008
Alexandre Picard,D,7/5/1985,,0.002,0.003,0.007,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,0.002,0.006,0.002,0.003,0.002,0.002,0.004,,,,
Alexei Semenov,D,4/10/1981,,0.002,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,0.001,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,0.005,0.002,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,0.003,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,0.004,0.006,0.002,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,0.006,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,0.005,0.008,,0.002,0.006,,,,,,,,,,
Andrei Markov,D,12/20/1978,0.007,0.009,0.009,,,0.002,0.009,0.007,0.013,0.012,,,,,
Andrei Mironov,D,7/29/1994,,,,,,,,,,,,,,,
Andrei Zyuzin,D,1/21/1978,0.000,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,0.008,0.004,0.003,0.009,0.010,,0.009,0.003,,,,,,,
Andrej Sekera,D,6/8/1986,0.005,0.008,0.005,0.006,0.004,0.006,0.006,0.004,0.004,0.008,0.006,,0.006,0.002,0.003
Andrej Sustr,D,11/29/1990,,,,,,,0.001,0.005,0.005,0.004,0.009,,,,0.004
Andrew Alberts,D,6/30/1981,0.002,0.004,0.005,0.007,0.000,,,,,,,,,,
Andrew Bodnarchuk,D,7/11/1988,,,,,,,,,0.007,,,,,,
Andrew Campbell,D,2/4/1988,,,,,,,,0.000,,,,,,,
Andrew Ference,D,3/17/1979,0.006,0.004,0.003,0.001,0.005,0.005,0.004,0.001,,,,,,,
Andrew Hutchinson,D,3/24/1980,,0.002,,,,,,,,,,,,,
Andrew MacDonald,D,9/7/1986,,,0.004,0.003,0.002,0.002,0.003,0.002,,0.009,0.002,0.005,,,
Andrew MacWilliam,D,3/25/1990,,,,,,,,,,,,,,,
Andrew Peeke,D,3/17/1998,,,,,,,,,,,,,,,0.003
Andrey Pedan,D,7/3/1993,,,,,,,,,,,,,,,
Andrey Zubarev,D,3/3/1987,,,,,,,,,,,,,,,
Andy Greene,D,10/30/1982,0.004,0.002,0.007,0.003,0.007,0.002,0.002,0.004,0.003,0.003,0.004,0.007,0.006,0.004,0.007
Andy Sutton,D,3/10/1975,0.004,,0.003,0.003,0.005,,,,,,,,,,
Andy Welinski,D,4/27/1993,,,,,,,,,,,,,,,
Andy Wozniewski,D,5/25/1980,0.004,,,,,,,,,,,,,,
Anssi Salmela,D,8/13/1984,,,0.004,0.003,,,,,,,,,,,
Anthony Bitetto,D,7/15/1990,,,,,,,,,,,0.000,0.002,0.003,,
Anthony DeAngelo,D,10/24/1995,,,,,,,,,,0.005,,,,,
Anton Babchuk,D,5/6/1984,,0.005,,0.004,0.008,,,,,,,,,,
Anton Belov,D,7/29/1986,,,,,,,0.001,,,,,,,,
Anton Lindholm,D,11/29/1994,,,,,,,,,,,0.004,,,,
Anton Stralman,D,8/1/1986,0.005,0.003,0.003,0.005,0.006,0.003,0.003,0.007,0.004,0.004,0.005,0.006,0.005,0.004,0.006
Anton Volchenkov,D,2/25/1982,0.004,0.005,0.003,0.006,0.004,0.002,0.008,0.002,,,,,,,
Artem Zub,D,10/3/1995,,,,,,,,,,,,,,0.008,0.004
Artemi Kniazev,D,1/4/2001,,,,,,,,,,,,,,,
Arturs Kulda,D,7/25/1988,,,,,,,,,,,,,,,
Ashton Sautner,D,5/27/1994,,,,,,,,,,,,,,,
Austin Strand,D,2/17/1997,,,,,,,,,,,,,,,
Barret Jackman,D,3/5/1981,0.004,0.005,0.006,0.003,0.004,0.008,0.004,0.005,0.001,,,,,,
Ben Chiarot,D,5/9/1991,,,,,,,,0.007,0.003,0.005,0.009,0.007,0.005,0.005,0.007
Ben Gleason,D,3/25/1998,,,,,,,,,,,,,,,
Ben Harpur,D,1/12/1995,,,,,,,,,,,0.003,0.005,,0.006,
Ben Hutton,D,4/20/1993,,,,,,,,,0.010,0.003,0.001,0.000,0.005,0.002,0.007
Ben Lovejoy,D,2/20/1984,,,,0.011,0.005,0.005,0.006,0.003,0.001,0.003,0.003,0.003,,,
Ben Thomas,D,5/28/1996,,,,,,,,,,,,,,,
Blake Hillman,D,1/26/1996,,,,,,,,,,,,,,,
Bobby Allen,D,11/14/1978,,,,,,,,,,,,,,,
Bobby Sanguinetti,D,2/29/1988,,,,,,0.005,,,,,,,,,
Bogdan Kiselevich,D,2/14/1990,,,,,,,,,,,,0.013,,,
Boris Valabik,D,2/14/1986,,0.007,,,,,,,,,,,,,
Bowen Byram,D,6/13/2001,,,,,,,,,,,,,,,
Brad Hunt,D,8/24/1988,,,,,,,,,,,0.003,0.006,0.004,,0.009
Brad Lukowich,D,8/12/1976,0.002,0.006,,,,,,,,,,,,,
Brad Stuart,D,11/6/1979,0.005,0.005,0.003,0.005,0.004,0.001,0.004,0.004,,,,,,,
Braden Schneider,D,9/20/2001,,,,,,,,,,,,,,,0.006
Brady Austin,D,6/16/1993,,,,,,,,,,,,,,,
Brady Keeper,D,6/5/1996,,,,,,,,,,,,,,,
Brady Skjei,D,3/26/1994,,,,,,,,,,0.010,0.005,0.007,0.002,0.002,0.011
Brandon Carlo,D,11/26/1996,,,,,,,,,,0.004,0.003,0.004,0.005,,0.003
Brandon Davidson,D,8/21/1991,,,,,,,,,0.003,0.004,0.003,,,,
Brandon Gormley,D,2/18/1992,,,,,,,,,,,,,,,
Brandon Manning,D,6/4/1990,,,,,,,,,0.003,0.004,0.006,0.002,,,
Brandon Montour,D,4/11/1994,,,,,,,,,,,0.007,0.006,0.006,0.007,0.006
Branislav Mezei,D,10/8/1980,0.000,,,,,,,,,,,,,,
Brayden McNabb,D,1/21/1991,,,,,,,,0.007,0.004,0.000,0.002,0.005,0.003,0.001,0.003
Brayden Pachal,D,8/23/1999,,,,,,,,,,,,,,,
Braydon Coburn,D,2/27/1985,0.004,0.004,0.006,0.006,0.006,0.005,0.003,0.005,0.003,0.003,0.009,0.007,0.000,,
Brendan Bell,D,3/31/1983,,0.003,,,,,,,,,,,,,
Brendan Guhle,D,7/29/1997,,,,,,,,,,,,,,,
Brendan Mikkelson,D,6/22/1987,,0.006,,,0.002,,,,,,,,,,
Brendan Smith,D,2/8/1989,,,,,,0.003,0.006,0.002,0.006,0.005,0.006,0.006,0.005,0.004,0.004
Brendan Witt,D,2/20/1975,0.002,0.001,0.004,,,,,,,,,,,,
Brenden Dillon,D,11/13/1990,,,,,,0.002,0.004,0.002,0.005,0.001,0.006,0.008,0.004,0.006,0.004
Brendon Nash,D,3/31/1987,,,,,,,,,,,,,,,
Brennan Menell,D,5/24/1997,,,,,,,,,,,,,,,
Brent Burns,D,3/9/1985,0.005,0.004,0.004,0.007,0.006,,0.008,0.010,0.009,0.010,0.011,0.016,0.007,0.011,0.009
Brent Regner,D,5/17/1989,,,,,,,,,,,,,,,
Brent Seabrook,D,4/20/1985,0.005,0.005,0.007,0.007,0.005,0.004,0.009,0.004,0.005,0.005,0.006,0.005,0.000,,
Brent Sopel,D,1/7/1977,0.006,,0.003,0.005,,,,,,,,,,,
