Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.012,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.006,0.004,0.002,0.003,0.004,0.014,0.005,0.005
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.002,0.005,,0.006,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.001,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.004,,,,,,,,,,
Aaron Rome,,,0.001,0.002,0.003,,,,,,,,,,
Aaron Volpatti,,,,,,0.004,0.000,,,,,,,,
Aaron Voros,0.012,0.012,0.016,,,,,,,,,,,,
Aaron Ward,0.002,0.003,0.001,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.007,0.000,0.004
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.004,0.004,,0.004,0.009,0.002,,,,,,,,,
Adam Clendening,,,,,,,,,,0.005,,,,,
Adam Cracknell,,,,,,,,,0.007,0.004,,,,,
Adam Erne,,,,,,,,,,,,0.009,0.005,0.002,0.009
Adam Foote,0.002,0.002,0.004,0.004,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.011,0.011,0.010
Adam Gaudette,,,,,,,,,,,,0.006,0.009,0.005,0.008
Adam Hall,0.003,0.005,,0.007,0.008,0.010,0.006,,,,,,,,
Adam Henrique,,,,,0.011,0.005,0.005,0.008,0.003,0.008,0.011,0.011,0.009,0.008,0.011
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.004,0.005,,0.007,0.004,0.002,0.002,0.004,0.002,0.002,0.006
Adam Lowry,,,,,,,,0.008,0.007,0.005,0.015,0.004,0.003,0.009,0.003
Adam Mair,0.010,0.008,0.006,0.004,,,,,,,,,,,
Adam McQuaid,,,,0.007,0.002,0.002,,0.002,0.003,0.002,0.000,0.001,,,
Adam Pardy,,0.004,0.005,,0.000,,0.002,0.006,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,0.001,0.003,0.005,0.003,0.004,0.007
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.004,0.005,0.000,0.008,0.000,0.004,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.008,0.006,0.008,0.007,0.003
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.009,,,,,
Alec Martinez,,,,0.002,0.003,,0.002,0.007,0.005,0.004,0.003,0.004,0.002,0.008,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.013,0.008,0.013,0.017,0.016,0.020,0.015,0.021,0.019
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.021,0.011,,0.021,0.011,0.008,0.010,0.005,0.017,,,,,,
Ales Kotalik,0.002,0.005,0.001,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.004,0.002,0.006,0.009,0.003,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.008,0.006,0.006,0.005,0.009,0.007,0.003,0.005,0.006
Alex DeBrincat,,,,,,,,,,,0.011,0.008,0.015,0.013,0.008
Alex Formenton,,,,,,,,,,,,,,,0.007
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.022,0.005,0.013,0.010,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.024,0.010,0.011,0.010,0.014,0.010,0.006,0.013,0.013,0.009
Alex Goligoski,,0.008,0.006,0.004,0.006,0.005,0.009,0.007,0.007,0.007,0.007,0.005,0.004,0.005,0.008
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.008,0.007,0.012,0.008,0.006
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.013,0.006,0.012,0.014,0.007,0.015,0.014,0.010,0.012,0.013
Alex Kovalev,0.010,0.009,0.013,0.010,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.010
Alex Nylander,,,,,,,,,,,,,0.011,,
Alex Ovechkin,0.017,0.013,0.021,0.019,0.007,0.013,0.007,0.011,0.002,0.013,0.009,0.015,0.009,0.010,0.014
Alex Petrovic,,,,,,,,0.000,0.008,0.006,0.005,0.000,,,
Alex Pietrangelo,,,,0.007,0.007,0.007,0.010,0.006,0.011,0.008,0.009,0.004,0.006,0.006,0.007
Alex Plante,,,,,,,,,,,,,,,
Alex Steeves,,,,,,,,,,,,,,,
