Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.012,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.004,,,,,,,,,,
Aaron Volpatti,,,,,,0.004,0.000,,,,,,,,
Aaron Voros,0.012,0.012,0.016,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.004,0.004,,0.004,0.009,0.002,,,,,,,,,
Adam Cracknell,,,,,,,,,0.007,0.004,,,,,
Adam Erne,,,,,,,,,,,,0.009,0.005,0.002,0.009
Adam Gaudette,,,,,,,,,,,,0.006,0.009,0.005,0.008
Adam Hall,0.003,0.005,,0.007,0.008,0.010,0.006,,,,,,,,
Adam Henrique,,,,,0.011,0.005,0.005,0.008,0.003,0.008,0.011,0.011,0.009,0.008,0.011
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.008,0.007,0.005,0.015,0.004,0.003,0.009,0.003
Adam Mair,0.010,0.008,0.006,0.004,,,,,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.008,0.006,0.008,0.007,0.003
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.009,,,,,
Aleksander Barkov,,,,,,,0.013,0.008,0.013,0.017,0.016,0.020,0.015,0.021,0.019
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.021,0.011,,0.021,0.011,0.008,0.010,0.005,0.017,,,,,,
Ales Kotalik,0.002,0.005,0.001,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.008,0.006,0.006,0.005,0.009,0.007,0.003,0.005,0.006
Alex DeBrincat,,,,,,,,,,,0.011,0.008,0.015,0.013,0.008
Alex Formenton,,,,,,,,,,,,,,,0.007
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.022,0.005,0.013,0.010,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.024,0.010,0.011,0.010,0.014,0.010,0.006,0.013,0.013,0.009
Alex Iafallo,,,,,,,,,,,0.008,0.007,0.012,0.008,0.006
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.013,0.006,0.012,0.014,0.007,0.015,0.014,0.010,0.012,0.013
Alex Kovalev,0.010,0.009,0.013,0.010,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.010
Alex Nylander,,,,,,,,,,,,,0.011,,
Alex Ovechkin,0.017,0.013,0.021,0.019,0.007,0.013,0.007,0.011,0.002,0.013,0.009,0.015,0.009,0.010,0.014
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.017,0.015,0.012,0.019,0.017,0.010,,0.010,0.014,,,,,,
Alex Tuch,,,,,,,,,,,0.011,0.011,0.008,0.012,0.019
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.008,0.011
Alexander Barabanov,,,,,,,,,,,,,,,0.013
Alexander Burmistrov,,,,0.006,0.007,0.005,,,0.005,0.011,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.008,0.010,0.013,0.012,0.016
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.019,,,,,,,,,0.015,0.017,0.015,0.011,,0.009
Alexander Semin,0.004,0.020,0.015,0.011,0.015,0.023,0.010,0.007,,,,,,,
Alexander Steen,0.013,0.009,0.011,0.012,0.012,0.012,0.008,0.015,0.008,0.010,0.012,0.007,0.008,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.003,
Alexander Wennberg,,,,,,,,0.008,0.017,0.015,0.014,0.010,0.007,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.011,0.011,0.014,0.005,0.014,0.009,0.005,0.007,0.004,0.009,0.003,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,0.001,0.002,0.006,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.009,0.009,0.013
Alexei Ponikarovsky,0.007,0.019,0.016,0.008,0.007,0.004,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,0.009,0.005
Aliaksei Protas,,,,,,,,,,,,,,,0.011
Anders Bjork,,,,,,,,,,,,,0.007,0.005,0.005
