Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.000,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.007,0.006,0.003,0.008,0.008,0.009,0.005,0.014
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.009,0.004,,0.009,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.008,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.011,,,,,,,,,,
Aaron Rome,,,0.004,0.000,0.005,,,,,,,,,,
Aaron Volpatti,,,,,,0.000,0.000,,,,,,,,
Aaron Voros,0.002,0.004,0.000,,,,,,,,,,,,
Aaron Ward,0.003,0.003,0.008,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.005,0.015,0.006
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.001,0.002,,0.004,0.007,0.002,,,,,,,,,
Adam Clendening,,,,,,,,,,0.014,,,,,
Adam Cracknell,,,,,,,,,0.002,0.004,,,,,
Adam Erne,,,,,,,,,,,,0.011,0.000,0.009,0.004
Adam Foote,0.007,0.008,0.004,0.007,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.008,0.009,0.010
Adam Gaudette,,,,,,,,,,,,0.004,0.011,0.002,0.007
Adam Hall,0.005,0.002,,0.004,0.002,0.003,0.004,,,,,,,,
Adam Henrique,,,,,0.011,0.000,0.006,0.006,0.009,0.005,0.005,0.006,0.004,0.003,0.009
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.005,0.005,,0.009,0.005,0.008,0.006,0.006,0.003,0.004,0.004
Adam Lowry,,,,,,,,0.001,0.005,0.004,0.007,0.005,0.005,0.009,0.001
Adam Mair,0.010,0.006,0.005,0.002,,,,,,,,,,,
Adam McQuaid,,,,0.007,0.006,0.002,,0.004,0.005,0.003,0.006,0.003,,,
Adam Pardy,,0.007,0.004,,0.005,,0.005,0.006,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,0.009,0.007,0.007,0.006,0.005,0.009
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.005,0.007,0.007,0.004,0.006,0.004,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.009,0.006,0.005,0.000,0.005
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.009,,,,,
Alec Martinez,,,,0.006,0.000,,0.005,0.008,0.003,0.008,0.001,0.007,0.007,0.009,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.004,0.008,0.010,0.004,0.013,0.011,0.013,0.005,0.015
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.006,0.005,,0.007,0.006,0.006,0.008,0.011,0.008,,,,,,
Ales Kotalik,0.006,0.006,0.004,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.005,0.005,0.005,0.010,0.001,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.009,0.007,0.001,0.005,0.003,0.001,0.006,0.007,0.002
Alex DeBrincat,,,,,,,,,,,0.007,0.013,0.006,0.005,0.009
Alex Formenton,,,,,,,,,,,,,,,0.006
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.008,0.007,0.007,0.006,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.007,0.004,0.004,0.007,0.007,0.006,0.006,0.005,0.008,0.009
Alex Goligoski,,0.008,0.006,0.007,0.004,0.009,0.007,0.007,0.009,0.008,0.003,0.007,0.011,0.007,0.013
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.005,0.005,0.010,0.007,0.008
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.006,0.010,0.009,0.005,0.002,0.010,0.005,0.010,0.005,0.010
Alex Kovalev,0.005,0.007,0.005,0.004,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.009
Alex Nylander,,,,,,,,,,,,,0.008,,
Alex Ovechkin,0.006,0.008,0.009,0.008,0.006,0.004,0.002,0.003,0.010,0.010,0.009,0.006,0.004,0.004,0.008
Alex Petrovic,,,,,,,,0.006,0.006,0.010,0.006,0.004,,,
Alex Pietrangelo,,,,0.009,0.007,0.009,0.007,0.011,0.005,0.005,0.009,0.007,0.008,0.007,0.004
Alex Plante,,,,,,,,,,,,,,,
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.007,0.008,0.009,0.007,0.005,0.005,,0.008,0.005,,,,,,
Alex Tuch,,,,,,,,,,,0.005,0.016,0.002,0.005,0.010
Alex Turcotte,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.004,0.007
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Barabanov,,,,,,,,,,,,,,,0.008
Alexander Burmistrov,,,,0.009,0.006,0.005,,,0.007,0.005,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Edler,0.003,0.003,0.008,0.006,0.008,0.009,0.005,0.007,0.006,0.006,0.005,0.005,0.012,0.003,0.012
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.006,0.005,0.007,0.007,0.016
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.009,,,,,,,,,0.007,0.004,0.009,0.008,,0.004
Alexander Romanov,,,,,,,,,,,,,,0.002,0.006
Alexander Semin,0.004,0.005,0.008,0.004,0.007,0.011,0.004,0.004,,,,,,,
Alexander Steen,0.007,0.004,0.006,0.008,0.005,0.010,0.009,0.006,0.008,0.010,0.007,0.009,0.006,,
Alexander Sulzer,,,,0.000,,,,,,,,,,,
Alexander True,,,,,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.010,
Alexander Wennberg,,,,,,,,0.007,0.007,0.006,0.011,0.008,0.011,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.007,0.009,0.010,0.016,0.003,0.005,0.003,0.006,0.005,0.006,0.007,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.010
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,0.004,0.006,0.002,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.005,0.007,0.004
Alexei Emelin,,,,,0.001,0.008,0.010,0.007,0.007,0.004,0.003,,,,
Alexei Ponikarovsky,0.006,0.010,0.006,0.005,0.007,0.006,,,,,,,,,
Alexei Semenov,,0.009,,,,,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexei Zhitnik,0.002,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.004,0.008,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,0.004,0.005
Aliaksei Protas,,,,,,,,,,,,,,,0.003
Allan Rourke,,,,,,,,,,,,,,,
Anders Bjork,,,,,,,,,,,,,0.007,0.004,0.000
Anders Eriksson,0.010,,,,,,,,,,,,,,
Anders Lee,,,,,,,,0.008,0.006,0.005,0.004,0.005,0.007,,0.006
Andre Benoit,,,,,,0.009,0.004,0.005,,,,,,,
Andre Burakovsky,,,,,,,,0.010,0.010,0.015,0.007,0.006,0.008,0.004,0.011
Andre Deveaux,,,,,,,,,,,,,,,
Andre Petersson,,,,,,,,,,,,,,,
Andre Roy,0.000,0.000,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.010,0.004,0.006,0.004,0.007,0.005,
Andreas Borgman,,,,,,,,,,,0.008,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Engqvist,,,,,,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,,0.009,0.010,0.003,0.004
Andreas Karlsson,0.002,,,,,,,,,,,,,,
Andreas Lilja,0.003,0.006,,0.007,0.005,,,,,,,,,,
Andreas Martinsen,,,,,,,,,0.005,0.002,,,,,
Andreas Nodl,,0.000,,0.005,0.002,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,0.010,0.002,0.002,0.005,0.010,,,,,,,,,,
Andrei Loktionov,,,,,0.000,,0.003,,,,,,,,
Andrei Markov,0.007,0.006,0.010,,,0.005,0.003,0.005,0.005,0.006,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,,0.009,0.015,0.007,0.006
Andrei Zyuzin,0.005,,,,,,,,,,,,,,
Andrej Meszaros,0.005,0.008,0.002,0.007,0.007,,0.008,0.004,,,,,,,
Andrej Nestrasil,,,,,,,,0.003,0.007,,,,,,
Andrej Sekera,0.002,0.003,0.004,0.010,0.005,0.007,0.010,0.007,0.003,0.004,0.006,,0.001,0.002,0.005
Andrej Sustr,,,,,,,0.008,0.006,0.010,0.005,0.000,,,,0.006
Andrew Agozzino,,,,,,,,,,,,,,,
Andrew Alberts,0.002,0.007,0.004,0.004,0.002,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.002,,,,,,
Andrew Brunette,0.012,0.003,0.008,0.006,0.002,,,,,,,,,,
Andrew Campbell,,,,,,,,0.002,,,,,,,
