Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.007,0.006,0.003,0.008,0.008,0.009,0.005,0.014
Aaron Johnson,,0.009,0.004,,0.009,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.008,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.004,0.000,0.005,,,,,,,,,,
Aaron Ward,0.003,0.003,0.008,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.005,0.015,0.006
Adam Clendening,,,,,,,,,,0.014,,,,,
Adam Foote,0.007,0.008,0.004,0.007,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.008,0.009,0.010
Adam Larsson,,,,,0.005,0.005,,0.009,0.005,0.008,0.006,0.006,0.003,0.004,0.004
Adam McQuaid,,,,0.007,0.006,0.002,,0.004,0.005,0.003,0.006,0.003,,,
Adam Pardy,,0.007,0.004,,0.005,,0.005,0.006,,,,,,,
Adam Pelech,,,,,,,,,,0.009,0.007,0.007,0.006,0.005,0.009
Adrian Aucoin,0.005,0.007,0.007,0.004,0.006,0.004,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.006,0.000,,0.005,0.008,0.003,0.008,0.001,0.007,0.007,0.009,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.005,0.005,0.005,0.010,0.001,,
Alex Goligoski,,0.008,0.006,0.007,0.004,0.009,0.007,0.007,0.009,0.008,0.003,0.007,0.011,0.007,0.013
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.006,0.006,0.010,0.006,0.004,,,
Alex Pietrangelo,,,,0.009,0.007,0.009,0.007,0.011,0.005,0.005,0.009,0.007,0.008,0.007,0.004
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.003,0.003,0.008,0.006,0.008,0.009,0.005,0.007,0.006,0.006,0.005,0.005,0.012,0.003,0.012
Alexander Romanov,,,,,,,,,,,,,,0.002,0.006
Alexander Sulzer,,,,0.000,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.010
Alexandre Picard,,0.004,0.006,0.002,,,,,,,,,,,
Alexei Emelin,,,,,0.001,0.008,0.010,0.007,0.007,0.004,0.003,,,,
Alexei Semenov,,0.009,,,,,,,,,,,,,
Alexei Zhitnik,0.002,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.004,0.008,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.010,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.009,0.004,0.005,,,,,,,
Andreas Borgman,,,,,,,,,,,0.008,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.003,0.006,,0.007,0.005,,,,,,,,,,
Andrei Markov,0.007,0.006,0.010,,,0.005,0.003,0.005,0.005,0.006,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.005,,,,,,,,,,,,,,
Andrej Meszaros,0.005,0.008,0.002,0.007,0.007,,0.008,0.004,,,,,,,
Andrej Sekera,0.002,0.003,0.004,0.010,0.005,0.007,0.010,0.007,0.003,0.004,0.006,,0.001,0.002,0.005
Andrej Sustr,,,,,,,0.008,0.006,0.010,0.005,0.000,,,,0.006
Andrew Alberts,0.002,0.007,0.004,0.004,0.002,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.002,,,,,,
Andrew Campbell,,,,,,,,0.002,,,,,,,
Andrew Ference,0.003,0.008,0.006,0.008,0.008,0.005,0.007,0.008,,,,,,,
Andrew Hutchinson,,0.002,,,,,,,,,,,,,
Andrew MacDonald,,,0.004,0.008,0.007,0.005,0.006,0.004,,0.003,0.010,0.006,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.006
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.001,0.009,0.005,0.006,0.007,0.007,0.006,0.007,0.003,0.003,0.003,0.004,0.004,0.002,0.003
Andy Sutton,0.004,,0.004,0.000,0.005,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.009,,,,,,,,,,,,,,
Anssi Salmela,,,0.008,0.005,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,0.005,0.005,0.008,,
Anthony DeAngelo,,,,,,,,,,0.002,,,,,
Anton Babchuk,,0.008,,0.011,0.008,,,,,,,,,,
Anton Belov,,,,,,,0.004,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.004,,,,
Anton Stralman,0.004,0.013,0.006,0.005,0.009,0.001,0.006,0.007,0.007,0.004,0.005,0.011,0.006,0.006,0.006
Anton Volchenkov,0.006,0.001,0.006,0.003,0.004,0.006,0.001,0.011,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.007,0.007
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.004,0.005,0.006,0.007,0.005,0.004,0.006,0.005,0.003,,,,,,
Ben Chiarot,,,,,,,,0.003,0.007,0.008,0.006,0.004,0.004,0.003,0.004
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,0.000,0.001,,0.006,
Ben Hutton,,,,,,,,,0.005,0.002,0.002,0.006,0.006,0.005,0.005
Ben Lovejoy,,,,0.008,0.005,0.005,0.003,0.007,0.004,0.001,0.004,0.004,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.002,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,0.004,,,
Boris Valabik,,0.002,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.005,0.000,0.001,,0.009
Brad Lukowich,0.004,0.004,,,,,,,,,,,,,
Brad Stuart,0.004,0.006,0.006,0.008,0.006,0.005,0.004,0.004,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,0.008
Brady Austin,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.012,0.006,0.005,0.010,0.004,0.009
Brandon Carlo,,,,,,,,,,0.004,0.002,0.002,0.009,,0.003
Brandon Davidson,,,,,,,,,0.005,0.002,0.000,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,0.005,0.005,0.005,0.002,,,
Brandon Montour,,,,,,,,,,,0.005,0.008,0.006,0.004,0.009
Branislav Mezei,0.003,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.011,0.004,0.003,0.006,0.003,0.003,0.007,0.009
Brayden Pachal,,,,,,,,,,,,,,,
Braydon Coburn,0.009,0.004,0.004,0.003,0.006,0.002,0.005,0.008,0.004,0.003,0.005,0.011,0.006,,
Brendan Bell,,0.004,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,0.000,,,0.000,,,,,,,,,,
Brendan Smith,,,,,,0.009,0.006,0.004,0.006,0.000,0.003,0.003,0.002,0.003,0.003
Brendan Witt,0.002,0.007,0.002,,,,,,,,,,,,
Brenden Dillon,,,,,,0.005,0.004,0.003,0.003,0.006,0.007,0.007,0.006,0.009,0.009
Brendon Nash,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.007,0.006,0.006,0.008,0.005,,0.009,0.007,0.006,0.008,0.009,0.010,0.008,0.004,0.009
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.006,0.005,0.006,0.008,0.010,0.006,0.010,0.003,0.005,0.012,0.005,0.007,0.002,,
Brent Sopel,0.010,,0.004,0.000,,,,,,,,,,,
Bret Hedican,0.009,0.003,,,,,,,,,,,,,
Brett Bellemore,,,,,,,0.004,0.004,,,,,,,
Brett Carson,,,0.007,,,,,,,,,,,,
Brett Clark,0.008,0.003,0.006,0.008,0.003,,,,,,,,,,
Brett Festerling,,0.004,0.006,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,0.004,0.008,0.003,0.003,0.007
Brett Lebda,0.004,0.005,0.001,0.004,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.005,0.006,0.008,0.007,0.004,0.007,0.009
Brett Skinner,,,,,,,,,,,,,,,
