Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.000,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.011,,,,,,,,,,
Aaron Volpatti,,,,,,0.000,0.000,,,,,,,,
Aaron Voros,0.002,0.004,0.000,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.001,0.002,,0.004,0.007,0.002,,,,,,,,,
Adam Cracknell,,,,,,,,,0.002,0.004,,,,,
Adam Erne,,,,,,,,,,,,0.011,0.000,0.009,0.004
Adam Gaudette,,,,,,,,,,,,0.004,0.011,0.002,0.007
Adam Hall,0.005,0.002,,0.004,0.002,0.003,0.004,,,,,,,,
Adam Henrique,,,,,0.011,0.000,0.006,0.006,0.009,0.005,0.005,0.006,0.004,0.003,0.009
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.001,0.005,0.004,0.007,0.005,0.005,0.009,0.001
Adam Mair,0.010,0.006,0.005,0.002,,,,,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.009,0.006,0.005,0.000,0.005
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.009,,,,,
Aleksander Barkov,,,,,,,0.004,0.008,0.010,0.004,0.013,0.011,0.013,0.005,0.015
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.006,0.005,,0.007,0.006,0.006,0.008,0.011,0.008,,,,,,
Ales Kotalik,0.006,0.006,0.004,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.009,0.007,0.001,0.005,0.003,0.001,0.006,0.007,0.002
Alex DeBrincat,,,,,,,,,,,0.007,0.013,0.006,0.005,0.009
Alex Formenton,,,,,,,,,,,,,,,0.006
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.008,0.007,0.007,0.006,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.007,0.004,0.004,0.007,0.007,0.006,0.006,0.005,0.008,0.009
Alex Iafallo,,,,,,,,,,,0.005,0.005,0.010,0.007,0.008
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.006,0.010,0.009,0.005,0.002,0.010,0.005,0.010,0.005,0.010
Alex Kovalev,0.005,0.007,0.005,0.004,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.009
Alex Nylander,,,,,,,,,,,,,0.008,,
Alex Ovechkin,0.006,0.008,0.009,0.008,0.006,0.004,0.002,0.003,0.010,0.010,0.009,0.006,0.004,0.004,0.008
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.007,0.008,0.009,0.007,0.005,0.005,,0.008,0.005,,,,,,
Alex Tuch,,,,,,,,,,,0.005,0.016,0.002,0.005,0.010
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.004,0.007
Alexander Barabanov,,,,,,,,,,,,,,,0.008
Alexander Burmistrov,,,,0.009,0.006,0.005,,,0.007,0.005,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.006,0.005,0.007,0.007,0.016
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.009,,,,,,,,,0.007,0.004,0.009,0.008,,0.004
Alexander Semin,0.004,0.005,0.008,0.004,0.007,0.011,0.004,0.004,,,,,,,
Alexander Steen,0.007,0.004,0.006,0.008,0.005,0.010,0.009,0.006,0.008,0.010,0.007,0.009,0.006,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.010,
Alexander Wennberg,,,,,,,,0.007,0.007,0.006,0.011,0.008,0.011,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.007,0.009,0.010,0.016,0.003,0.005,0.003,0.006,0.005,0.006,0.007,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,0.004,0.006,0.002,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.005,0.007,0.004
Alexei Ponikarovsky,0.006,0.010,0.006,0.005,0.007,0.006,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,0.004,0.005
Aliaksei Protas,,,,,,,,,,,,,,,0.003
Anders Bjork,,,,,,,,,,,,,0.007,0.004,0.000
Anders Lee,,,,,,,,0.008,0.006,0.005,0.004,0.005,0.007,,0.006
Andre Burakovsky,,,,,,,,0.010,0.010,0.015,0.007,0.006,0.008,0.004,0.011
Andre Deveaux,,,,,,,,,,,,,,,
Andre Petersson,,,,,,,,,,,,,,,
Andre Roy,0.000,0.000,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.010,0.004,0.006,0.004,0.007,0.005,
Andreas Engqvist,,,,,,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,,0.009,0.010,0.003,0.004
Andreas Karlsson,0.002,,,,,,,,,,,,,,
Andreas Martinsen,,,,,,,,,0.005,0.002,,,,,
Andreas Nodl,,0.000,,0.005,0.002,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,0.010,0.002,0.002,0.005,0.010,,,,,,,,,,
Andrei Loktionov,,,,,0.000,,0.003,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,,0.009,0.015,0.007,0.006
Andrej Nestrasil,,,,,,,,0.003,0.007,,,,,,
Andrew Agozzino,,,,,,,,,,,,,,,
Andrew Brunette,0.012,0.003,0.008,0.006,0.002,,,,,,,,,,
Andrew Cogliano,0.011,0.008,0.007,0.004,0.004,0.006,0.007,0.002,0.011,0.008,0.007,0.003,0.003,0.003,0.006
Andrew Copp,,,,,,,,,0.004,0.003,0.011,0.009,0.007,0.009,0.011
Andrew Crescenzi,,,,,,,,,,,,,,,
Andrew Desjardins,,,,,0.006,0.000,0.011,0.008,0.001,0.002,,,,,
Andrew Ebbett,,0.012,0.000,0.007,,,,,,,,,,,
Andrew Gordon,,,,,0.003,,,,,,,,,,
Andrew Joudrey,,,,,,,,,,,,,,,
Andrew Ladd,0.009,0.010,0.010,0.006,0.005,0.016,0.009,0.006,0.009,0.001,0.005,,,,0.005
Andrew Mangiapane,,,,,,,,,,,,0.005,0.003,0.000,0.006
Andrew Miller,,,,,,,,,,,,,,,
Andrew Murray,0.007,0.002,0.000,,0.004,,,,,,,,,,
Andrew Peters,0.007,,,,,,,,,,,,,,
Andrew Poturalski,,,,,,,,,,,,,,,
Andrew Shaw,,,,,0.006,0.006,0.009,0.006,0.009,0.008,0.004,0.011,,,
Andy Andreoff,,,,,,,,,0.000,0.000,0.005,,,,
Andy Hilbert,0.004,0.001,,,,,,,,,,,,,
Andy McDonald,0.009,0.009,0.008,0.009,,0.000,,,,,,,,,
Andy Miele,,,,,,,,,,,,,,,
Anthony Angello,,,,,,,,,,,,,,,
Anthony Beauvillier,,,,,,,,,,0.009,0.004,0.005,0.005,0.011,0.004
Anthony Cirelli,,,,,,,,,,,,0.006,0.006,0.010,0.008
Anthony Duclair,,,,,,,,,0.010,0.003,0.006,0.010,0.004,0.012,0.002
Anthony Greco,,,,,,,,,,,,,,,
Anthony Mantha,,,,,,,,,,0.015,0.006,0.006,0.007,0.003,0.004
Anthony Peluso,,,,,,,0.003,0.000,0.014,,,,,,
Anthony Richard,,,,,,,,,,,,,,,
Anthony Stewart,,0.007,,0.009,0.007,,,,,,,,,,
Antoine Roussel,,,,,,0.009,0.006,0.004,0.006,0.004,0.004,0.005,0.005,0.000,0.000
Antoine Vermette,0.007,0.005,0.011,0.008,0.005,0.007,0.003,0.006,0.005,0.005,0.005,,,,
Anton Blidh,,,,,,,,,,,,,,,0.010
Anton Lander,,,,,0.008,,,0.013,0.002,,,,,,
Anton Lundell,,,,,,,,,,,,,,,0.010
Anton Rodin,,,,,,,,,,,,,,,
Anton Slepyshev,,,,,,,,,,0.007,0.002,,,,
Anton Wedin,,,,,,,,,,,,,,,
Antti Miettinen,0.010,0.005,0.001,0.008,0.004,,,,,,,,,,
Antti Pihlstrom,,0.003,,,,,,,,,,,,,
Antti Suomela,,,,,,,,,,,,,,,
Anze Kopitar,0.007,0.006,0.011,0.010,0.010,0.007,0.008,0.009,0.011,0.009,0.009,0.004,0.009,0.003,0.008
Arron Asham,0.000,0.007,0.006,0.005,0.003,,,,,,,,,,
Artem Anisimov,,,0.010,0.008,0.008,0.007,0.006,0.006,0.007,0.010,0.003,0.008,0.002,,
Artemi Panarin,,,,,,,,,0.012,0.008,0.008,0.009,0.015,0.017,0.012
Arthur Kaliyev,,,,,,,,,,,,,,,0.002
Arttu Ruotsalainen,,,,,,,,,,,,,,,
Artturi Lehkonen,,,,,,,,,,0.005,0.002,0.007,0.003,0.006,0.007
Austin Czarnik,,,,,,,,,,0.006,,0.007,,,
Austin Poganski,,,,,,,,,,,,,,,
Austin Wagner,,,,,,,,,,,,0.005,0.004,0.002,
Austin Watson,,,,,,,,,0.006,0.004,0.004,0.006,0.007,0.012,0.001
Auston Matthews,,,,,,,,,,0.003,0.006,0.010,0.006,0.007,0.012
Axel Jonsson-Fjallby,,,,,,,,,,,,,,,
B.J. Crombeen,,0.003,0.004,0.007,0.000,0.005,0.011,0.004,,,,,,,
