Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.079,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.132,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.076,0.064,,,,,,,,
Aaron Voros,F,7/2/1981,0.100,0.099,0.088,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.090,0.161,,0.110,0.112,0.094,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.122,0.130,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.097,0.099,0.114,0.109
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.088,0.095,0.152,0.128
Adam Hall,F,8/14/1980,0.093,0.129,,0.170,0.128,0.112,0.110,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.099,0.100,0.093,0.103,0.097,0.100,0.098,0.087,0.140,0.108,0.147
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,0.101,0.079,0.096,0.107,0.100,0.103,0.105,0.104
Adam Mair,F,2/15/1979,0.098,0.103,0.116,0.114,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.111,0.103,0.120,0.108,0.160
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.112,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.111,0.107,0.137,0.116,0.140,0.116,0.127,0.159,0.160
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.135,0.139,,0.117,0.120,0.136,0.134,0.156,0.173,,,,,,
Ales Kotalik,F,12/23/1978,0.153,0.175,0.173,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,0.097,0.098,0.090,0.100,0.071,0.091,0.102,0.096,0.121
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,0.153,0.146,0.167,0.139,0.148
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,0.136
Alex Foster,F,8/26/1984,,,,,,,,,,,,,,,
Alex Friesen,F,1/30/1991,,,,,,,,,,,,,,,
Alex Frolov,F,6/19/1982,0.116,0.101,0.120,0.129,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,0.143,0.119,0.124,0.147,0.101,0.125,0.110,0.104,0.135,0.111
Alex Iafallo,F,12/21/1993,,,,,,,,,,,0.117,0.095,0.104,0.112,0.146
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,0.136,0.124,0.112,0.105,0.124,0.129,0.144,0.119,0.132,0.122
Alex Kovalev,F,2/24/1973,0.153,0.159,0.145,0.148,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,0.122
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,0.131,,
Alex Ovechkin,F,9/17/1985,0.227,0.260,0.221,0.202,0.177,0.185,0.209,0.201,0.211,0.191,0.199,0.187,0.229,0.202,0.199
Alex Steeves,F,12/10/1999,,,,,,,,,,,,,,,
Alex Tanguay,F,11/21/1979,0.096,0.090,0.082,0.085,0.078,0.076,,0.094,0.091,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,0.139,0.146,0.164,0.161,0.165
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,0.082,0.063
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,0.081
Alexander Burmistrov,F,10/21/1991,,,,0.108,0.107,0.092,,,0.086,0.058,,,,,
Alexander Chmelevski,F,6/9/1999,,,,,,,,,,,,,,,
Alexander Holtz,F,1/23/2002,,,,,,,,,,,,,,,
Alexander Kerfoot,F,8/11/1994,,,,,,,,,,,0.070,0.103,0.089,0.090,0.100
Alexander Nikulin,F,8/25/1985,,,,,,,,,,,,,,,
Alexander Nylander,F,3/2/1998,,,,,,,,,,,,,,,
Alexander Radulov,F,7/5/1986,0.146,,,,,,,,,0.120,0.135,0.159,0.131,,0.112
Alexander Semin,F,3/3/1984,0.158,0.210,0.194,0.168,0.147,0.158,0.159,0.110,,,,,,,
Alexander Steen,F,3/1/1984,0.140,0.119,0.149,0.144,0.180,0.163,0.147,0.148,0.132,0.093,0.137,0.141,0.128,,
Alexander True,F,7/17/1997,,,,,,,,,,,,,,,
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,0.088,
Alexander Wennberg,F,9/22/1994,,,,,,,,0.094,0.077,0.076,0.054,0.056,0.078,,
Alexandre Bolduc,F,6/26/1985,,,,,,,,,,,,,,,
Alexandre Burrows,F,4/11/1981,0.118,0.142,0.158,0.142,0.152,0.176,0.139,0.153,0.139,0.167,0.138,,,,
Alexandre Fortin,F,2/25/1997,,,,,,,,,,,,,,,
Alexandre Giroux,F,6/16/1981,,,,,,,,,,,,,,,
Alexandre Grenier,F,9/5/1991,,,,,,,,,,,,,,,
Alexandre Picard,D,7/5/1985,,0.062,0.067,0.066,,,,,,,,,,,
