Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.073,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,0.101,0.113,0.138,0.103,0.084,0.097,0.095,0.116
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,0.056,0.058,,0.066,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.054,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.133,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.062,0.056,0.062,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.075,0.062,,,,,,,,
Aaron Voros,F,7/2/1981,0.099,0.098,0.086,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.064,0.065,0.055,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.076,0.067,0.074
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.090,0.161,,0.109,0.110,0.091,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,0.077,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.118,0.126,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.098,0.099,0.113,0.108
Adam Foote,D,7/10/1971,0.063,0.052,0.053,0.064,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.091,0.071,0.080
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.089,0.096,0.152,0.127
Adam Hall,F,8/14/1980,0.092,0.127,,0.166,0.124,0.106,0.103,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.100,0.101,0.094,0.103,0.097,0.099,0.097,0.085,0.137,0.104,0.142
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,0.061,0.056,,0.080,0.042,0.057,0.070,0.070,0.069,0.054,0.074
Adam Lowry,F,3/29/1993,,,,,,,,0.102,0.080,0.096,0.107,0.099,0.102,0.104,0.102
Adam Mair,F,2/15/1979,0.096,0.100,0.112,0.110,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,0.052,0.063,0.058,,0.058,0.046,0.055,0.084,0.050,,,
Adam Pardy,D,3/29/1984,,0.045,0.044,,0.051,,0.060,0.046,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.059,0.079,0.082,0.063,0.073,0.070
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,0.078,0.091,0.099,0.093,0.105,0.079,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.112,0.104,0.120,0.109,0.160
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.113,,,,,
Alec Martinez,D,7/26/1987,,,,0.064,0.088,,0.064,0.094,0.066,0.076,0.061,0.065,0.070,0.076,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.112,0.108,0.138,0.117,0.141,0.117,0.127,0.159,0.159
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.135,0.139,,0.116,0.118,0.133,0.130,0.151,0.167,,,,,,
Ales Kotalik,F,12/23/1978,0.150,0.171,0.168,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.078,0.086,0.129,0.133,0.076,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
