Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.059,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.085,0.101,0.130,0.098,0.081,0.096,0.095,0.116
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.056,0.057,,0.064,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.031,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.130,,,,,,,,,,
Aaron Rome,,,0.062,0.055,0.060,,,,,,,,,,
Aaron Volpatti,,,,,,0.074,0.060,,,,,,,,
Aaron Voros,0.099,0.097,0.084,,,,,,,,,,,,
Aaron Ward,0.048,0.046,0.032,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.065,0.060,0.069
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.090,0.161,,0.108,0.108,0.087,,,,,,,,,
Adam Clendening,,,,,,,,,,0.077,,,,,
Adam Cracknell,,,,,,,,,0.112,0.118,,,,,
Adam Erne,,,,,,,,,,,,0.096,0.099,0.113,0.108
Adam Foote,0.041,0.026,0.024,0.031,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.086,0.068,0.079
Adam Gaudette,,,,,,,,,,,,0.086,0.095,0.152,0.127
Adam Hall,0.091,0.125,,0.160,0.116,0.096,0.090,,,,,,,,
Adam Henrique,,,,,0.095,0.098,0.093,0.103,0.097,0.099,0.096,0.083,0.133,0.099,0.134
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.049,0.048,,0.077,0.040,0.056,0.070,0.070,0.068,0.052,0.071
Adam Lowry,,,,,,,,0.097,0.077,0.095,0.107,0.099,0.102,0.103,0.100
Adam Mair,0.094,0.097,0.107,0.102,,,,,,,,,,,
Adam McQuaid,,,,0.052,0.063,0.057,,0.056,0.042,0.049,0.076,0.040,,,
Adam Pardy,,0.045,0.044,,0.050,,0.056,0.041,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,0.056,0.078,0.081,0.063,0.073,0.069
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.062,0.071,0.076,0.067,0.076,0.047,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.107,0.101,0.119,0.108,0.160
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.111,,,,,
Alec Martinez,,,,0.063,0.087,,0.064,0.093,0.064,0.072,0.055,0.057,0.060,0.063,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.096,0.096,0.130,0.112,0.138,0.116,0.127,0.159,0.159
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.135,0.139,,0.115,0.116,0.130,0.124,0.143,0.157,,,,,,
Ales Kotalik,0.146,0.166,0.160,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.077,0.084,0.125,0.127,0.068,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.096,0.098,0.090,0.099,0.069,0.087,0.096,0.087,0.109
Alex DeBrincat,,,,,,,,,,,0.146,0.142,0.165,0.138,0.148
Alex Formenton,,,,,,,,,,,,,,,0.133
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.116,0.101,0.118,0.125,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.128,0.108,0.117,0.143,0.099,0.124,0.110,0.104,0.134,0.108
Alex Goligoski,,0.062,0.062,0.083,0.079,0.078,0.061,0.069,0.067,0.063,0.068,0.064,0.066,0.062,0.061
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.117,0.095,0.104,0.110,0.142
