Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.085,0.101,0.130,0.098,0.081,0.096,0.095,0.116
Aaron Johnson,,0.056,0.057,,0.064,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.031,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.062,0.055,0.060,,,,,,,,,,
Aaron Ward,0.048,0.046,0.032,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.065,0.060,0.069
Adam Clendening,,,,,,,,,,0.077,,,,,
Adam Foote,0.041,0.026,0.024,0.031,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.086,0.068,0.079
Adam Larsson,,,,,0.049,0.048,,0.077,0.040,0.056,0.070,0.070,0.068,0.052,0.071
Adam McQuaid,,,,0.052,0.063,0.057,,0.056,0.042,0.049,0.076,0.040,,,
Adam Pardy,,0.045,0.044,,0.050,,0.056,0.041,,,,,,,
Adam Pelech,,,,,,,,,,0.056,0.078,0.081,0.063,0.073,0.069
Adrian Aucoin,0.062,0.071,0.076,0.067,0.076,0.047,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.063,0.087,,0.064,0.093,0.064,0.072,0.055,0.057,0.060,0.063,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.077,0.084,0.125,0.127,0.068,,
Alex Goligoski,,0.062,0.062,0.083,0.079,0.078,0.061,0.069,0.067,0.063,0.068,0.064,0.066,0.062,0.061
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.055,0.054,0.065,0.063,0.083,,,
Alex Pietrangelo,,,,0.090,0.098,0.077,0.079,0.092,0.100,0.087,0.094,0.096,0.124,0.132,0.111
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.063,0.073,0.088,0.088,0.102,0.089,0.118,0.093,0.083,0.083,0.098,0.082,0.093,0.099,0.075
Alexander Romanov,,,,,,,,,,,,,,0.079,0.075
Alexander Sulzer,,,,0.048,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.062
Alexandre Picard,,0.061,0.067,0.066,,,,,,,,,,,
Alexei Emelin,,,,,0.052,0.050,0.052,0.034,0.052,0.058,0.048,,,,
Alexei Semenov,,0.048,,,,,,,,,,,,,
Alexei Zhitnik,0.067,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.041,0.057,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.039,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.083,0.062,0.040,,,,,,,
Andreas Borgman,,,,,,,,,,,0.070,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.058,0.071,,0.042,0.058,,,,,,,,,,
Andrei Markov,0.056,0.063,0.069,,,0.051,0.056,0.066,0.053,0.075,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.054,,,,,,,,,,,,,,
