Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,0.050,0.056,0.073,0.069,0.049,0.040,0.067,0.045
Aaron Johnson,D,4/30/1983,,0.088,0.064,,0.038,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.037,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.057,0.062,0.097,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.057,0.052,0.063,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.040,0.055,0.043
Adam Clendening,D,10/26/1992,,,,,,,,,,0.060,,,,,
Adam Foote,D,7/10/1971,0.070,0.053,0.058,0.037,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.054,0.041,0.042
Adam Larsson,D,11/12/1992,,,,,0.045,0.048,,0.056,0.076,0.059,0.051,0.050,0.053,0.048,0.052
Adam McQuaid,D,10/12/1986,,,,0.089,0.122,0.149,,0.099,0.110,0.077,0.142,0.077,,,
Adam Pardy,D,3/29/1984,,0.088,0.081,,0.049,,0.070,0.068,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.036,0.048,0.044,0.054,0.042,0.050
Adrian Aucoin,D,7/3/1973,0.037,0.045,0.043,0.046,0.050,0.041,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,0.049,0.038,,0.042,0.033,0.049,0.038,0.044,0.028,0.040,0.029,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.049,0.064,0.074,0.054,0.054,,
Alex Goligoski,D,7/30/1985,,0.048,0.040,0.048,0.037,0.043,0.039,0.037,0.042,0.037,0.032,0.030,0.036,0.030,0.041
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,0.071,0.113,0.115,0.107,0.074,,,
Alex Pietrangelo,D,1/18/1990,,,,0.036,0.044,0.034,0.038,0.041,0.036,0.036,0.034,0.038,0.035,0.032,0.045
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,0.051,0.065,0.055,0.047,0.041,0.056,0.057,0.056,0.064,0.047,0.065,0.066,0.073,0.076,0.068
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.054,0.065
Alexander Sulzer,D,5/30/1984,,,,0.044,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,0.059
Alexandre Picard,D,7/5/1985,,0.035,0.053,0.046,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,0.052,0.067,0.075,0.055,0.074,0.069,0.056,,,,
Alexei Semenov,D,4/10/1981,,0.105,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,0.068,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,0.035,0.045,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,0.054,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,0.040,0.037,0.044,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,0.071,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,0.076,0.072,,0.053,0.070,,,,,,,,,,
Andrei Markov,D,12/20/1978,0.053,0.042,0.055,,,0.030,0.036,0.036,0.038,0.026,,,,,
Andrei Mironov,D,7/29/1994,,,,,,,,,,,,,,,
Andrei Zyuzin,D,1/21/1978,0.104,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,0.056,0.057,0.053,0.049,0.059,,0.055,0.055,,,,,,,
Andrej Sekera,D,6/8/1986,0.051,0.045,0.034,0.040,0.037,0.031,0.039,0.031,0.031,0.035,0.033,,0.035,0.025,0.056
