Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.299,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,0.050,0.056,0.073,0.069,0.049,0.040,0.067,0.045
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,0.088,0.064,,0.038,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.037,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.055,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.057,0.062,0.097,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.153,0.187,,,,,,,,
Aaron Voros,F,7/2/1981,0.178,0.169,0.276,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.057,0.052,0.063,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.040,0.055,0.043
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.238,0.099,,0.067,0.115,0.077,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,0.060,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.052,0.036,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.090,0.072,0.072,0.060
Adam Foote,D,7/10/1971,0.070,0.053,0.058,0.037,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.054,0.041,0.042
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.061,0.082,0.051,0.054
Adam Hall,F,8/14/1980,0.068,0.055,,0.048,0.050,0.081,0.058,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.033,0.048,0.042,0.045,0.043,0.059,0.037,0.046,0.039,0.040,0.035
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,0.045,0.048,,0.056,0.076,0.059,0.051,0.050,0.053,0.048,0.052
Adam Lowry,F,3/29/1993,,,,,,,,0.072,0.088,0.069,0.037,0.060,0.062,0.045,0.085
Adam Mair,F,2/15/1979,0.096,0.110,0.093,0.073,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,0.089,0.122,0.149,,0.099,0.110,0.077,0.142,0.077,,,
Adam Pardy,D,3/29/1984,,0.088,0.081,,0.049,,0.070,0.068,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.036,0.048,0.044,0.054,0.042,0.050
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,0.037,0.045,0.043,0.046,0.050,0.041,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.071,0.070,0.055,0.060,0.060
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.038,,,,,
Alec Martinez,D,7/26/1987,,,,0.049,0.038,,0.042,0.033,0.049,0.038,0.044,0.028,0.040,0.029,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
