Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.280,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.019,0.026,0.045,0.041,0.022,0.014,0.041,0.019
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.063,0.039,,0.015,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.022,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.028,,,,,,,,,,
Aaron Rome,,,0.032,0.038,0.073,,,,,,,,,,
Aaron Volpatti,,,,,,0.129,0.163,,,,,,,,
Aaron Voros,0.153,0.145,0.252,,,,,,,,,,,,
Aaron Ward,0.039,0.036,0.047,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.011,0.026,0.015
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.212,0.073,,0.043,0.091,0.054,,,,,,,,,
Adam Clendening,,,,,,,,,,0.034,,,,,
Adam Cracknell,,,,,,,,,0.030,0.015,,,,,
Adam Erne,,,,,,,,,,,,0.063,0.046,0.047,0.035
Adam Foote,0.054,0.039,0.045,0.026,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.026,0.014,0.015
Adam Gaudette,,,,,,,,,,,,0.034,0.055,0.025,0.029
Adam Hall,0.044,0.032,,0.026,0.029,0.061,0.039,,,,,,,,
Adam Henrique,,,,,0.005,0.021,0.015,0.019,0.018,0.034,0.013,0.022,0.016,0.018,0.014
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.015,0.019,,0.029,0.049,0.033,0.026,0.025,0.029,0.025,0.029
Adam Lowry,,,,,,,,0.044,0.061,0.042,0.011,0.035,0.038,0.021,0.061
Adam Mair,0.072,0.088,0.072,0.052,,,,,,,,,,,
Adam McQuaid,,,,0.063,0.097,0.124,,0.076,0.087,0.055,0.121,0.057,,,
Adam Pardy,,0.062,0.056,,0.025,,0.047,0.047,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,0.009,0.022,0.018,0.029,0.017,0.026
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.019,0.028,0.028,0.031,0.037,0.030,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.043,0.043,0.029,0.034,0.034
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.012,,,,,
Alec Martinez,,,,0.022,0.012,,0.017,0.009,0.026,0.016,0.022,0.007,0.020,0.010,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.010,0.010,0.006,0.009,0.007,0.004,0.018,0.015,0.018
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.026,0.027,,0.024,0.039,0.032,0.020,0.014,0.023,,,,,,
Ales Kotalik,0.048,0.025,0.067,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.025,0.041,0.051,0.032,0.034,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.041,0.055,0.046,0.046,0.045,0.032,0.060,0.078,0.037
Alex DeBrincat,,,,,,,,,,,0.006,0.013,0.015,0.012,0.006
Alex Formenton,,,,,,,,,,,,,,,0.057
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.017,0.022,0.018,0.012,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.033,0.030,0.031,0.014,0.022,0.018,0.031,0.022,0.050,0.038
Alex Goligoski,,0.022,0.014,0.023,0.012,0.019,0.016,0.014,0.020,0.016,0.012,0.011,0.018,0.013,0.025
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.011,0.016,0.010,0.002,0.005
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.023,0.043,0.030,0.030,0.051,0.038,0.039,0.020,0.027,0.045
Alex Kovalev,0.045,0.047,0.041,0.042,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.012
Alex Nylander,,,,,,,,,,,,,0.011,,
Alex Ovechkin,0.018,0.041,0.046,0.020,0.019,0.044,0.032,0.037,0.039,0.038,0.020,0.027,0.023,0.015,0.013
Alex Petrovic,,,,,,,,0.044,0.087,0.089,0.082,0.049,,,
Alex Pietrangelo,,,,0.007,0.016,0.007,0.012,0.015,0.011,0.011,0.010,0.015,0.012,0.010,0.024
Alex Plante,,,,,,,,,,,,,,,
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.031,0.040,0.024,0.017,0.022,0.030,,0.026,0.033,,,,,,
Alex Tuch,,,,,,,,,,,0.023,0.006,0.011,0.026,0.014
Alex Turcotte,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.005,0.020
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Barabanov,,,,,,,,,,,,,,,0.011
Alexander Burmistrov,,,,0.021,0.035,0.021,,,0.026,0.018,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Edler,0.023,0.037,0.029,0.021,0.016,0.032,0.033,0.032,0.041,0.025,0.044,0.046,0.054,0.058,0.051
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.032,0.032,0.037,0.015,0.016
