Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.019,0.026,0.045,0.041,0.022,0.014,0.041,0.019
Aaron Johnson,,0.063,0.039,,0.015,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.022,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.032,0.038,0.073,,,,,,,,,,
Aaron Ward,0.039,0.036,0.047,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.011,0.026,0.015
Adam Clendening,,,,,,,,,,0.034,,,,,
Adam Foote,0.054,0.039,0.045,0.026,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.026,0.014,0.015
Adam Larsson,,,,,0.015,0.019,,0.029,0.049,0.033,0.026,0.025,0.029,0.025,0.029
Adam McQuaid,,,,0.063,0.097,0.124,,0.076,0.087,0.055,0.121,0.057,,,
Adam Pardy,,0.062,0.056,,0.025,,0.047,0.047,,,,,,,
Adam Pelech,,,,,,,,,,0.009,0.022,0.018,0.029,0.017,0.026
Adrian Aucoin,0.019,0.028,0.028,0.031,0.037,0.030,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.022,0.012,,0.017,0.009,0.026,0.016,0.022,0.007,0.020,0.010,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.025,0.041,0.051,0.032,0.034,,
Alex Goligoski,,0.022,0.014,0.023,0.012,0.019,0.016,0.014,0.020,0.016,0.012,0.011,0.018,0.013,0.025
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.044,0.087,0.089,0.082,0.049,,,
Alex Pietrangelo,,,,0.007,0.016,0.007,0.012,0.015,0.011,0.011,0.010,0.015,0.012,0.010,0.024
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.023,0.037,0.029,0.021,0.016,0.032,0.033,0.032,0.041,0.025,0.044,0.046,0.054,0.058,0.051
Alexander Romanov,,,,,,,,,,,,,,0.025,0.037
Alexander Sulzer,,,,0.020,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.033
Alexandre Picard,,0.009,0.027,0.020,,,,,,,,,,,
Alexei Emelin,,,,,0.026,0.043,0.051,0.032,0.052,0.047,0.035,,,,
Alexei Semenov,,0.081,,,,,,,,,,,,,
Alexei Zhitnik,0.051,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.008,0.019,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.034,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.017,0.014,0.022,,,,,,,
Andreas Borgman,,,,,,,,,,,0.043,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.056,0.053,,0.036,0.055,,,,,,,,,,
Andrei Markov,0.030,0.021,0.034,,,0.012,0.019,0.021,0.024,0.013,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.081,,,,,,,,,,,,,,
Andrej Meszaros,0.029,0.030,0.028,0.024,0.035,,0.032,0.032,,,,,,,
Andrej Sekera,0.023,0.017,0.008,0.014,0.012,0.006,0.015,0.007,0.008,0.013,0.012,,0.016,0.007,0.039
Andrej Sustr,,,,,,,0.026,0.028,0.024,0.033,0.029,,,,0.031
Andrew Alberts,0.059,0.040,0.051,0.057,0.070,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.031,,,,,,
Andrew Campbell,,,,,,,,0.017,,,,,,,
Andrew Ference,0.034,0.037,0.016,0.039,0.028,0.040,0.044,0.030,,,,,,,
Andrew Hutchinson,,0.023,,,,,,,,,,,,,
Andrew MacDonald,,,0.018,0.024,0.013,0.020,0.030,0.040,,0.019,0.025,0.018,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.039
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.024,0.020,0.005,0.014,0.014,0.018,0.020,0.012,0.014,0.007,0.015,0.010,0.014,0.007,0.009
Andy Sutton,0.072,,0.049,0.119,0.093,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.087,,,,,,,,,,,,,,
Anssi Salmela,,,0.045,0.017,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,0.064,0.028,0.046,,
Anthony DeAngelo,,,,,,,,,,0.065,,,,,
Anton Babchuk,,0.014,,0.028,0.016,,,,,,,,,,
Anton Belov,,,,,,,0.038,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.025,,,,
Anton Stralman,0.029,0.043,0.022,0.014,0.017,0.021,0.018,0.017,0.013,0.013,0.010,0.007,0.010,0.013,0.009
Anton Volchenkov,0.038,0.030,0.029,0.035,0.030,0.077,0.025,0.025,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.032,0.038
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.048,0.051,0.055,0.040,0.038,0.043,0.066,0.037,0.078,,,,,,
Ben Chiarot,,,,,,,,0.034,0.032,0.037,0.035,0.047,0.043,0.060,0.032
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,0.035,0.044,,0.035,
Ben Hutton,,,,,,,,,0.011,0.024,0.024,0.028,0.013,0.018,0.038
Ben Lovejoy,,,,0.059,0.030,0.050,0.026,0.024,0.028,0.020,0.027,0.038,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.008,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,0.027,,,
Boris Valabik,,0.139,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.009,0.015,0.005,,0.017
Brad Lukowich,0.017,0.014,,,,,,,,,,,,,
Brad Stuart,0.025,0.018,0.013,0.028,0.015,0.022,0.034,0.012,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,0.014
Brady Austin,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.030,0.023,0.029,0.036,0.028,0.029
Brandon Carlo,,,,,,,,,,0.036,0.033,0.036,0.027,,0.019
Brandon Davidson,,,,,,,,,0.022,0.036,0.030,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,0.076,0.079,0.053,0.049,,,
Brandon Montour,,,,,,,,,,,0.028,0.032,0.029,0.040,0.037
Branislav Mezei,0.071,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.052,0.062,0.076,0.036,0.036,0.034,0.020,0.032
Brayden Pachal,,,,,,,,,,,,,,,
Braydon Coburn,0.050,0.060,0.035,0.027,0.034,0.060,0.036,0.034,0.046,0.038,0.038,0.031,0.031,,
Brendan Bell,,0.029,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,0.034,,,0.025,,,,,,,,,,
Brendan Smith,,,,,,0.052,0.055,0.050,0.056,0.066,0.090,0.078,0.111,0.102,0.059
Brendan Witt,0.033,0.067,0.059,,,,,,,,,,,,
Brenden Dillon,,,,,,0.059,0.044,0.047,0.050,0.046,0.045,0.045,0.074,0.044,0.050
Brendon Nash,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.037,0.041,0.030,0.046,0.019,,0.032,0.039,0.028,0.025,0.021,0.018,0.023,0.030,0.024
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.046,0.031,0.027,0.022,0.013,0.019,0.011,0.014,0.018,0.016,0.026,0.033,0.016,,
Brent Sopel,0.016,,0.027,0.013,,,,,,,,,,,
Bret Hedican,0.055,0.049,,,,,,,,,,,,,
Brett Bellemore,,,,,,,0.044,0.036,,,,,,,
Brett Carson,,,0.010,,,,,,,,,,,,
Brett Clark,0.021,0.017,0.021,0.008,0.015,,,,,,,,,,
Brett Festerling,,0.028,0.026,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,0.030,0.031,0.013,0.025,0.037
Brett Lebda,0.038,0.055,0.026,0.030,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
