Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,2.651,6.592,1.558,5.795,4.791,2.811,6.919,8.012
Aaron Johnson,D,4/30/1983,,10.462,8.352,,2.973,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,3.296,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,-1.028,1.145,7.383,,,,,,,,,,
Aaron Ward,D,1/17/1973,9.118,3.459,2.146,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,9.012,2.098,13.365
Adam Clendening,D,10/26/1992,,,,,,,,,,1.799,,,,,
Adam Foote,D,7/10/1971,-0.554,5.398,-0.407,-0.330,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,5.485,1.581,7.401
Adam Larsson,D,11/12/1992,,,,,1.592,-1.602,,2.171,3.541,3.739,3.572,1.652,0.685,7.053,6.170
Adam McQuaid,D,10/12/1986,,,,5.379,2.092,2.972,,0.773,1.470,2.457,1.728,9.922,,,
Adam Pardy,D,3/29/1984,,1.559,4.482,,-0.985,,-0.910,-0.873,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,6.371,1.751,3.529,1.192,2.922,1.985
Adrian Aucoin,D,7/3/1973,6.458,7.429,6.176,2.888,0.773,-0.330,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,6.621,4.119,,14.352,4.895,6.193,4.970,7.987,5.618,4.572,8.942,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,-0.985,-0.947,0.370,1.397,-0.832,,
Alex Goligoski,D,7/30/1985,,3.781,7.559,4.952,5.772,3.565,2.353,2.900,2.827,3.288,7.952,1.642,1.618,3.929,2.186
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,-1.319,2.551,0.749,2.252,-1.028,,,
Alex Pietrangelo,D,1/18/1990,,,,4.188,2.605,2.971,3.701,2.889,2.872,4.772,7.015,6.683,5.080,5.727,4.228
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,3.745,4.061,1.371,2.519,2.212,3.082,1.235,1.413,2.840,2.727,3.078,6.192,3.262,-0.682,5.379
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,-0.082,1.435
Alexander Sulzer,D,5/30/1984,,,,2.422,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,1.362
Alexandre Picard,D,7/5/1985,,-1.219,4.309,1.302,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,2.562,8.062,2.865,6.553,-0.910,1.567,0.958,,,,
Alexei Semenov,D,4/10/1981,,2.715,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,3.489,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,3.781,1.719,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,-0.788,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,4.183,6.680,-0.873,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,5.351,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,2.072,2.712,,2.709,-0.554,,,,,,,,,,
Andrei Markov,D,12/20/1978,5.670,5.377,2.738,,,4.078,4.199,5.276,0.798,5.763,,,,,
Andrei Mironov,D,7/29/1994,,,,,,,,,,,,,,,
Andrei Zyuzin,D,1/21/1978,4.090,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,0.531,0.391,2.599,3.592,4.592,,7.053,11.330,,,,,,,
Andrej Sekera,D,6/8/1986,6.885,1.621,7.111,3.409,1.662,6.112,5.075,1.523,2.760,6.107,-0.832,,0.982,10.028,3.379
