Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,1.260,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,2.961,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,5.018,11.188,,,,,,,,
Aaron Voros,F,7/2/1981,16.670,10.018,9.598,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,4.832,7.810,,9.658,7.968,0.187,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,7.812,11.830,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,8.354,3.402,12.720,5.710
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,11.131,13.484,8.272,4.020
Adam Hall,F,8/14/1980,5.728,5.138,,4.842,3.970,0.880,5.340,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,12.042,10.791,15.464,10.162,18.600,11.010,16.058,11.318,15.457,18.992,11.600
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,10.702,10.711,10.794,12.142,11.600,4.840,13.868,10.498
Adam Mair,F,2/15/1979,8.848,10.857,9.312,2.330,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,14.682,11.911,6.954,11.762,14.790
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,4.154,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,7.676,13.590,14.715,17.702,9.451,13.994,10.152,14.650,14.740
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,8.352,13.310,,15.598,7.398,6.437,9.152,8.450,9.770,,,,,,
Ales Kotalik,F,12/23/1978,8.097,7.402,5.380,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Broadhurst,F,3/7/1993,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,8.394,10.202,6.600,11.580,17.518,15.018,7.647,11.162,10.440
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,15.115,17.162,5.231,19.454,13.572
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,9.961
Alex Foster,F,8/26/1984,,,,,,,,,,,,,,,
Alex Friesen,F,1/30/1991,,,,,,,,,,,,,,,
Alex Frolov,F,6/19/1982,14.650,16.510,9.948,10.848,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,13.956,12.210,13.425,13.522,13.671,7.564,10.172,9.250,7.550,7.518
Alex Iafallo,F,12/21/1993,,,,,,,,,,,7.332,11.320,10.190,9.908,8.308
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,8.604,9.472,11.630,9.320,10.018,10.738,11.727,18.912,12.070,16.850
Alex Kovalev,F,2/24/1973,13.812,12.306,13.842,12.574,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,10.645
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,11.502,,
Alex Ovechkin,F,9/17/1985,13.781,10.714,13.652,9.040,11.260,11.288,11.008,10.997,12.512,8.060,14.330,16.060,17.792,14.806,19.172
Alex Steeves,F,12/10/1999,,,,,,,,,,,,,,,
Alex Tanguay,F,11/21/1979,13.078,22.187,9.212,22.930,18.420,24.790,,27.306,15.952,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,8.542,11.441,5.904,12.972,7.780
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,20.970,12.348
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,9.538
Alexander Burmistrov,F,10/21/1991,,,,7.780,11.125,8.232,,,7.682,3.150,,,,,
