Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.00,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,4.69,8.39,3.16,7.24,6.11,4.03,8.06,9.09
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,11.54,9.38,,3.92,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,3.85,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,2.70,,,,,,,,,,
Aaron Rome,,,0.00,2.13,8.33,,,,,,,,,,
Aaron Volpatti,,,,,,5.00,11.11,,,,,,,,
Aaron Voros,16.67,10.00,9.52,,,,,,,,,,,,
Aaron Ward,9.80,4.08,2.70,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,10.81,3.70,14.81
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,4.76,7.79,,9.64,7.89,0.00,,,,,,,,,
Adam Clendening,,,,,,,,,,2.94,,,,,
Adam Cracknell,,,,,,,,,7.46,11.25,,,,,
Adam Erne,,,,,,,,,,,,8.20,3.33,12.70,5.71
Adam Foote,0.00,5.88,0.00,0.00,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,6.93,2.90,8.62
Adam Gaudette,,,,,,,,,,,,10.87,13.33,8.20,4.00
Adam Hall,5.71,5.06,,4.49,3.39,0.00,4.08,,,,,,,,
Adam Henrique,,,,,11.65,10.53,15.31,10.09,18.58,11.01,16.04,11.24,15.27,18.64,11.02
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,3.39,0.00,,3.49,4.76,4.88,4.65,2.68,1.67,8.00,7.08
Adam Lowry,,,,,,,,10.31,10.45,10.64,12.07,11.58,4.84,13.85,10.42
Adam Mair,8.77,10.67,8.96,1.75,,,,,,,,,,,
Adam McQuaid,,,,6.52,3.17,4.00,,1.72,2.38,3.33,2.56,10.71,,,
Adam Pardy,,2.70,5.56,,0.00,,0.00,0.00,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,7.69,2.97,4.67,2.27,3.95,2.97
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,7.14,8.05,6.73,3.37,1.18,0.00,,,,,,,,,
Adrian Kempe,,,,,,,,,,,14.29,11.65,6.80,11.69,14.77
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,4.00,,,,,
Alec Martinez,,,,7.84,5.26,,15.38,5.88,7.14,5.88,8.86,6.45,5.36,9.68,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,6.76,12.87,14.17,17.31,9.19,13.84,10.08,14.63,14.74
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,8.28,13.29,,15.58,7.32,6.25,8.80,7.87,8.89,,,,,,
Ales Kotalik,7.91,7.05,4.80,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.00,0.00,1.28,2.27,0.00,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,8.24,10.13,6.58,11.58,17.50,14.94,7.46,10.81,9.86
Alex DeBrincat,,,,,,,,,,,14.57,16.77,4.97,19.30,13.50
Alex Formenton,,,,,,,,,,,,,,,9.70
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,14.63,16.51,9.93,10.77,,,,,,,,,,,
Alex Galchenyuk,,,,,,13.04,11.49,12.88,13.13,13.41,7.41,10.10,9.23,7.55,7.50
Alex Goligoski,,5.00,8.70,6.03,6.80,4.55,3.30,3.81,3.70,4.12,8.74,2.38,2.30,4.55,2.74
