Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,4.69,8.39,3.16,7.24,6.11,4.03,8.06,9.09
Aaron Johnson,,11.54,9.38,,3.92,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,3.85,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.00,2.13,8.33,,,,,,,,,,
Aaron Ward,9.80,4.08,2.70,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,10.81,3.70,14.81
Adam Clendening,,,,,,,,,,2.94,,,,,
Adam Foote,0.00,5.88,0.00,0.00,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,6.93,2.90,8.62
Adam Larsson,,,,,3.39,0.00,,3.49,4.76,4.88,4.65,2.68,1.67,8.00,7.08
Adam McQuaid,,,,6.52,3.17,4.00,,1.72,2.38,3.33,2.56,10.71,,,
Adam Pardy,,2.70,5.56,,0.00,,0.00,0.00,,,,,,,
Adam Pelech,,,,,,,,,,7.69,2.97,4.67,2.27,3.95,2.97
Adrian Aucoin,7.14,8.05,6.73,3.37,1.18,0.00,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,7.84,5.26,,15.38,5.88,7.14,5.88,8.86,6.45,5.36,9.68,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.00,0.00,1.28,2.27,0.00,,
Alex Goligoski,,5.00,8.70,6.03,6.80,4.55,3.30,3.81,3.70,4.12,8.74,2.38,2.30,4.55,2.74
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.00,3.77,1.89,3.33,0.00,,,
Alex Pietrangelo,,,,5.79,4.05,4.29,4.92,4.03,3.95,5.80,8.00,7.63,5.99,6.60,5.06
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,5.19,5.38,2.59,3.66,3.29,4.11,2.22,2.36,3.75,3.60,3.91,6.98,4.00,0.00,6.00
Alexander Romanov,,,,,,,,,,,,,,1.52,2.88
Alexander Sulzer,,,,3.45,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,2.44
Alexandre Picard,,0.00,5.45,2.38,,,,,,,,,,,
Alexei Emelin,,,,,3.64,9.09,3.85,7.50,0.00,2.44,1.79,,,,
Alexei Semenov,,3.70,,,,,,,,,,,,,
Alexei Zhitnik,4.11,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,5.00,2.86,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.00,,,,,,,,,,,,,,
Andre Benoit,,,,,,5.13,7.59,0.00,,,,,,,
Andreas Borgman,,,,,,,,,,,6.67,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,2.86,3.45,,3.33,0.00,,,,,,,,,,
Andrei Markov,6.58,6.25,3.57,,,4.76,4.82,5.83,1.28,6.17,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,5.00,,,,,,,,,,,,,,
Andrej Meszaros,1.85,1.61,3.74,4.67,5.62,,8.00,12.24,,,,,,,
Andrej Sekera,8.33,2.94,8.33,4.55,2.74,7.14,6.06,2.47,3.67,6.98,0.00,,1.72,10.71,4.00
Andrej Sustr,,,,,,,2.56,0.00,6.15,3.26,4.44,,,,3.57
Andrew Alberts,0.00,2.22,6.12,4.76,10.53,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.00,,,,,,
Andrew Campbell,,,,,,,,0.00,,,,,,,
Andrew Ference,1.85,0.00,0.00,4.17,6.52,6.25,3.95,5.36,,,,,,,
Andrew Hutchinson,,3.77,,,,,,,,,,,,,
Andrew MacDonald,,,3.03,6.12,6.78,5.88,3.45,2.33,,3.23,7.89,0.00,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,2.94
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.00,6.67,3.39,3.95,2.04,2.13,5.00,3.90,5.08,1.39,3.41,5.43,3.92,2.22,4.08
Andy Sutton,2.22,,7.14,0.00,7.32,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,6.45,,,,,,,,,,,,,,
Anssi Salmela,,,2.70,1.79,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,4.00,0.00,0.00,,
Anthony DeAngelo,,,,,,,,,,6.67,,,,,
Anton Babchuk,,7.95,,4.60,3.33,,,,,,,,,,
Anton Belov,,,,,,,2.38,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.00,,,,
Anton Stralman,9.68,3.13,2.70,0.00,4.08,6.90,1.02,5.74,7.41,3.45,3.10,3.70,5.81,9.38,8.51
Anton Volchenkov,1.47,2.82,5.97,0.00,3.33,2.70,0.00,0.00,,,,,,,
Artem Zub,,,,,,,,,,,,,,8.33,6.90
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,1.54,2.53,1.49,0.00,1.27,7.89,3.90,2.47,1.56,,,,,,
Ben Chiarot,,,,,,,,5.41,1.33,4.35,3.57,4.67,7.44,0.00,5.51
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,0.00,2.13,,0.00,
Ben Hutton,,,,,,,,,1.28,1.89,0.00,4.21,3.67,2.08,3.85
Ben Lovejoy,,,,5.08,2.17,0.00,4.95,2.50,4.60,1.25,2.94,2.27,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,4.44,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,0.00,,,
Boris Valabik,,0.00,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,1.75,1.96,6.49,,5.00
Brad Lukowich,4.00,0.00,,,,,,,,,,,,,
Brad Stuart,4.82,1.11,2.54,2.74,4.65,0.00,4.92,5.08,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,8.00
Brady Austin,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,4.39,2.24,6.61,6.25,2.97,5.20
Brandon Carlo,,,,,,,,,,6.02,0.00,1.82,4.00,,4.35
Brandon Davidson,,,,,,,,,3.64,0.00,6.78,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,1.59,2.50,6.60,6.45,,,
Brandon Montour,,,,,,,,,,,2.34,4.38,6.33,5.88,7.19
