Player,Model I,Model II,2021-22 Actual Score
Morgan Rielly,0.0865,0.0830,0.1157
Brent Burns,0.0975,0.0958,0.0859
Mark Giordano,0.1073,0.1081,0.0902
Roman Josi,0.1175,0.1182,0.1250
Ryan McDonagh,0.0712,0.0713,0.0615
Thomas Chabot,0.1013,0.0993,0.1174
John Carlson,0.1029,0.1007,0.1063
Duncan Keith,0.0764,0.0774,0.0650
Kris Letang,0.1054,0.1062,0.1103
Ryan Ellis,0.0852,0.0848,0.0673
Mattias Ekholm,0.0978,0.0990,0.0869
Jeff Petry,0.0896,0.0877,0.0824
Tyson Barrie,0.1200,0.1191,0.0987
Seth Jones,0.1022,0.0997,0.0977
Colin White,0.0987,0.1065,0.0986
Dougie Hamilton,0.1457,0.1423,0.1479
Jake Muzzin,0.0870,0.0849,0.0823
Jared Spurgeon,0.0764,0.0764,0.0917
Darnell Nurse,0.1129,0.1120,0.1176
Ryan Suter,0.0563,0.0587,0.0551
Travis Sanheim,0.0871,0.0865,0.0695
TJ Brodie,0.0430,0.0426,0.0429
Jacob Trouba,0.0957,0.0931,0.1136
Brandon Montour,0.0934,0.0926,0.1080
Zach Werenski,0.1091,0.1051,0.1158
Victor Hedman,0.0986,0.1019,0.1029
Dmitry Orlov,0.0722,0.0712,0.0794
Ryan Murray,0.0417,0.0408,0.0543
Ryan Pulock,0.1003,0.0973,0.1038
Shea Theodore,0.1263,0.1261,0.1154
Brett Pesce,0.0821,0.0867,0.1046
Aaron Ekblad,0.0962,0.0978,0.1161
Vince Dunn,0.0980,0.0976,0.0740
Damon Severson,0.0703,0.0734,0.0783
Rasmus Ristolainen,0.0754,0.0762,0.0667
Noah Hanifin,0.0953,0.0966,0.1125
Mikhail Sergachev,0.0853,0.0832,0.0828
Alex Pietrangelo,0.1222,0.1246,0.1115
Erik Karlsson,0.0919,0.0902,0.1032
Justin Faulk,0.0935,0.0921,0.1030
John Klingberg,0.0796,0.0785,0.0716
Cody Ceci,0.0629,0.0601,0.0690
Charlie McAvoy,0.0788,0.0783,0.0936
Marc-Edouard Vlasic,0.0437,0.0438,0.0570
David Savard,0.0693,0.0678,0.0552
Brady Skjei,0.1056,0.1051,0.1139
Ivan Provorov,0.0855,0.0851,0.0894
Miro Heiskanen,0.0962,0.0959,0.0855
Rasmus Dahlin,0.0823,0.0810,0.0861
Keith Yandle,0.0849,0.0852,0.0728
Torey Krug,0.0951,0.0915,0.0785
Esa Lindell,0.0720,0.0713,0.0835
Shayne Gostisbehere,0.0809,0.0838,0.0748
Tyler Myers,0.0922,0.0906,0.0780
Jordie Benn,0.0753,0.0757,0.0605
Oliver Ekman-Larsson,0.0829,0.0809,0.0904
Jaccob Slavin,0.0903,0.0896,0.0931
Nate Schmidt,0.0768,0.0760,0.0678
Kevin Shattenkirk,0.0777,0.0767,0.0871
Brenden Dillon,0.0475,0.0491,0.0582
Adam Pelech,0.0728,0.0735,0.0692
P.K. Subban,0.0921,0.0943,0.0834
Drew Doughty,0.0488,0.0508,0.0861
Radko Gudas,0.0943,0.0922,0.0769
Danny DeKeyser,0.0518,0.0516,0.0568
Robert Hagg,0.0621,0.0627,0.0634
Troy Stecher,0.0743,0.0737,0.1082
Andy Greene,0.0502,0.0550,0.0455
Brian Dumoulin,0.0601,0.0581,0.0560
Ben Chiarot,0.0932,0.0926,0.0915
Nick Jensen,0.0636,0.0623,0.0660
Adam Larsson,0.0586,0.0594,0.0706
Mike Matheson,0.0988,0.0989,0.0986
Colton Parayko,0.0999,0.0985,0.0725
Josh Morrissey,0.0843,0.0849,0.0827
Marcus Pettersson,0.0626,0.0588,0.0750
Alex Goligoski,0.0588,0.0594,0.0613
Dylan DeMelo,0.0611,0.0602,0.0625
Scott Mayfield,0.0797,0.0765,0.0727
Samuel Girard,0.0761,0.0750,0.0577
Zach Bogosian,0.0561,0.0597,0.0827
Rasmus Andersson,0.0780,0.0780,0.0742
Travis Dermott,0.0688,0.0673,0.0512
Filip Hronek,0.0862,0.0825,0.0735
Alexander Edler,0.0905,0.0887,0.0753
Anton Stralman,0.0533,0.0533,0.0696
Alec Martinez,0.0570,0.0590,0.0648
Travis Hamonic,0.1052,0.1027,0.1075
Nick Leddy,0.0566,0.0552,0.0432
Cam Fowler,0.0624,0.0631,0.0605
Jonas Brodin,0.0735,0.0742,0.0777
Colin Miller,0.0755,0.0737,0.0593
Brett Kulak,0.0903,0.0881,0.0728
Kris Russell,0.0572,0.0593,0.0756
Ian Cole,0.0521,0.0495,0.0694
Justin Braun,0.0634,0.0633,0.0594
Brayden McNabb,0.0544,0.0571,0.0707
Matthew Benning,0.0670,0.0666,0.0657
Erik Cernak,0.1111,0.1132,0.0941
Calvin de Haan,0.0783,0.0745,0.0860
Jon Merrill,0.0497,0.0483,0.0547
Derek Forbort,0.0578,0.0598,0.0529
MacKenzie Weegar,0.0907,0.0896,0.1159
Nikita Zadorov,0.0640,0.0625,0.0874
Devon Toews,0.0927,0.0914,0.0988
Nikita Zaitsev,0.0576,0.0555,0.0631
Marc Staal,0.0496,0.0489,0.0662
Connor Murphy,0.0865,0.0869,0.0621
Jordan Oesterle,0.0592,0.0565,0.0803
Brendan Smith,0.0711,0.0705,0.1058
Marco Scandella,0.0660,0.0661,0.0622
Christopher Tanev,0.0495,0.0487,0.0567
Jamie Oleksiak,0.0731,0.0706,0.0735
Matt Grzelcyk,0.1033,0.0988,0.0900
Jakob Chychrun,0.1134,0.1113,0.1277
Neal Pionk,0.0869,0.0866,0.0800
Zdeno Chara,0.0757,0.0824,0.0650
Joel Edmundson,0.0801,0.0823,0.0708
Ben Hutton,0.0848,0.0819,0.0915
Henri Jokiharju,0.0742,0.0713,0.0631
Michael Del Zotto,0.0716,0.0673,0.0704
Mark Pysyk,0.1094,0.1069,0.0599
Mike Reilly,0.0949,0.0917,0.1002
Matt Dumba,0.0851,0.0816,0.0866
Olli Maatta,0.0720,0.0683,0.0556
Robert Bortuzzo,0.0691,0.0716,0.0545
Justin Schultz,0.0727,0.0724,0.0683
Patrik Nemeth,0.0637,0.0631,0.0551
Erik Gudbranson,0.0791,0.0798,0.1025
Gustav Forsling,0.1160,0.1137,0.1057
Radim Simek,0.0500,0.0491,0.0519
Sean Walker,0.1094,0.1060,0.1590
Jan Rutta,0.0850,0.0890,0.0739
Dmitry Kulikov,0.0566,0.0561,0.0537
Matt Roy,0.0822,0.0819,0.1169
Ben Harpur,0.0649,0.0625,0.0554
Ryan Graves,0.1137,0.1154,0.0785
Caleb Jones,0.0601,0.0598,0.0640
Jacob Larsson,0.0633,0.0631,0.0553
Dean Kukan,0.0683,0.0667,0.0611
Ilya Lyubushkin,0.0564,0.0543,0.0437
Andrej Sekera,0.0492,0.0502,0.0611
Juuso Valimaki,0.1046,0.1038,0.0756
Luke Schenn,0.1062,0.1063,0.0745
Philippe Myers,0.0971,0.0957,0.0724
Justin Holl,0.0606,0.0594,0.0519
Connor Clifton,0.0595,0.0577,0.0907
Haydn Fleury,0.1029,0.1007,0.0939
Jeremy Lauzon,0.0720,0.0713,0.0725
Libor Hajek,0.0539,0.0536,0.0505
Dante Fabbro,0.0819,0.0800,0.0728
Jacob MacDonald,0.1034,0.1032,0.2288
Quinn Hughes,0.0682,0.0658,0.0654
Joel Hanley,0.0604,0.0603,0.0364
Jakub Zboril,0.0557,0.0548,0.0801
Ryan Lindgren,0.0680,0.0680,0.0519
Jake Bean,0.0895,0.0886,0.0660
Cale Makar,0.0845,0.0848,0.1145
Adam Fox,0.0785,0.0767,0.0790
John Marino,0.0586,0.0568,0.0558
Ethan Bear,0.0734,0.0734,0.1042
Vladislav Gavrikov,0.0568,0.0559,0.0636
Tucker Poolman,0.0705,0.0691,0.0752
Carson Soucy,0.0669,0.0661,0.0857
Adam Boqvist,0.0667,0.0644,0.0691
Mario Ferraro,0.0564,0.0545,0.0348
Nicolas Hague,0.0945,0.0925,0.1199
Noah Dobson,0.0928,0.0903,0.1072
Jani Hakanpaa,0.0566,0.0566,0.0568
Mikey Anderson,0.0538,0.0526,0.0564
Zach Whitecloud,0.0652,0.0645,0.0915
Conor Timmins,0.0811,0.0801,0.0522
Tobias Bjornfot,0.0638,0.0625,0.0478
Ty Smith,0.0658,0.0636,0.0689
Artem Zub,0.0490,0.0486,0.0568
K'Andre Miller,0.0621,0.0605,0.0613
Ian Mitchell,0.0415,0.0399,0.0229
Jacob Bryson,0.0412,0.0400,0.0321
Alexander Romanov,0.0834,0.0812,0.0746
Logan Stanley,0.1359,0.1350,0.0970
Cal Foote,0.0972,0.0965,0.0681
