Player,Model I,Model II,2021-22 Actual Score
Connor McDavid,0.1372,0.1377,0.1630
Patrick Kane,0.1420,0.1399,0.1420
Leon Draisaitl,0.0988,0.0991,0.1212
Johnny Gaudreau,0.1121,0.1096,0.1437
Mitchell Marner,0.1264,0.1268,0.1307
Sidney Crosby,0.1188,0.1176,0.1373
John Tavares,0.1434,0.1413,0.1406
Artemi Panarin,0.0997,0.1004,0.1078
Jake Guentzel,0.1248,0.1238,0.1624
Aleksander Barkov,0.1395,0.1395,0.1589
Nathan MacKinnon,0.1813,0.1850,0.1974
Alex Ovechkin,0.1696,0.1705,0.1677
Claude Giroux,0.1158,0.1135,0.1306
Max Domi,0.1230,0.1207,0.0988
Brad Marchand,0.1284,0.1253,0.1793
Sean Monahan,0.1143,0.1127,0.1080
Jonathan Huberdeau,0.1090,0.1062,0.1431
Mark Scheifele,0.0849,0.0834,0.1039
Sean Couturier,0.1300,0.1301,0.1431
Tomas Hertl,0.1128,0.1123,0.1221
Brayden Point,0.1107,0.1103,0.1149
Steven Stamkos,0.1064,0.1047,0.1180
Matt Duchene,0.1135,0.1161,0.1341
Blake Wheeler,0.1193,0.1151,0.1362
Dylan Larkin,0.1505,0.1484,0.1500
Timo Meier,0.1739,0.1780,0.2098
Mikko Rantanen,0.1294,0.1328,0.1279
Sebastian Aho,0.1284,0.1278,0.1404
Matthew Tkachuk,0.1318,0.1334,0.1473
Auston Matthews,0.1804,0.1786,0.2147
Evgenii Dadonov,0.1054,0.1050,0.1414
Ryan O'Reilly,0.0993,0.0959,0.1064
Mark Stone,0.1002,0.0983,0.1029
Alex DeBrincat,0.1473,0.1464,0.1475
Pierre-Luc Dubois,0.1109,0.1106,0.1379
Cam Atkinson,0.1497,0.1474,0.1549
Tomas Tatar,0.1143,0.1122,0.1177
Sam Reinhart,0.1120,0.1108,0.1352
Nicklas Backstrom,0.0811,0.0798,0.0698
Logan Couture,0.0954,0.0953,0.1282
Evgeny Kuznetsov,0.0966,0.0961,0.1117
Mika Zibanejad,0.1174,0.1172,0.1183
Jakub Voracek,0.1009,0.1013,0.0964
Gabriel Landeskog,0.1270,0.1286,0.1314
Elias Lindholm,0.1072,0.1055,0.1497
David Pastrnak,0.1808,0.1826,0.2083
Jeff Skinner,0.1526,0.1519,0.1894
Phillip Danault,0.0923,0.0945,0.1402
Evgeni Malkin,0.1029,0.1006,0.1426
Phil Kessel,0.1071,0.1058,0.1262
Ryan Johansen,0.0750,0.0747,0.0714
Alex Tuch,0.1577,0.1578,0.1654
Kyle Connor,0.1358,0.1383,0.1666
Patrice Bergeron,0.1630,0.1604,0.2188
Brendan Gallagher,0.2134,0.2107,0.1652
Ryan Dzingel,0.0868,0.0873,0.0687
Brock Nelson,0.1055,0.1068,0.1182
Mathew Barzal,0.1255,0.1251,0.1186
Zach Parise,0.1263,0.1212,0.1085
Mikael Backlund,0.1383,0.1368,0.1483
Evander Kane,0.1660,0.1657,0.1781
Jakub Vrana,0.1460,0.1478,0.1408
Joe Pavelski,0.0996,0.0998,0.1331
Jamie Benn,0.1223,0.1214,0.1331
Brayden Schenn,0.0895,0.0886,0.0901
Jonathan Marchessault,0.1551,0.1595,0.1782
Josh Bailey,0.0677,0.0661,0.0705
Kevin Hayes,0.1234,0.1230,0.1429
Andreas Athanasiou,0.1310,0.1307,0.1588
Viktor Arvidsson,0.1634,0.1612,0.2056
Travis Konecny,0.1326,0.1362,0.1551
Dylan Strome,0.1058,0.1066,0.1057
Brock Boeser,0.1239,0.1239,0.1285
Chris Kreider,0.1022,0.1015,0.1565
