Player,Model I,Model II,2021-22 Actual Score
Connor McDavid,0.137,0.138,0.163
Patrick Kane,0.142,0.140,0.142
Leon Draisaitl,0.099,0.099,0.121
Johnny Gaudreau,0.112,0.110,0.144
Mitchell Marner,0.126,0.127,0.131
Sidney Crosby,0.119,0.118,0.137
John Tavares,0.143,0.141,0.141
Artemi Panarin,0.100,0.100,0.108
Jake Guentzel,0.125,0.124,0.162
Aleksander Barkov,0.139,0.139,0.159
Nathan MacKinnon,0.181,0.185,0.197
Alex Ovechkin,0.170,0.171,0.168
Claude Giroux,0.116,0.113,0.131
Max Domi,0.123,0.121,0.099
Brad Marchand,0.128,0.125,0.179
Sean Monahan,0.114,0.113,0.108
Jonathan Huberdeau,0.109,0.106,0.143
Mark Scheifele,0.085,0.083,0.104
Sean Couturier,0.130,0.130,0.143
Tomas Hertl,0.113,0.112,0.122
Brayden Point,0.111,0.110,0.115
Steven Stamkos,0.106,0.105,0.118
Matt Duchene,0.113,0.116,0.134
Blake Wheeler,0.119,0.115,0.136
Dylan Larkin,0.151,0.148,0.150
Timo Meier,0.174,0.178,0.210
Mikko Rantanen,0.129,0.133,0.128
Sebastian Aho,0.128,0.128,0.140
Matthew Tkachuk,0.132,0.133,0.147
Auston Matthews,0.180,0.179,0.215
Evgenii Dadonov,0.105,0.105,0.141
Ryan O'Reilly,0.099,0.096,0.106
Mark Stone,0.100,0.098,0.103
Alex DeBrincat,0.147,0.146,0.148
Pierre-Luc Dubois,0.111,0.111,0.138
Morgan Rielly,0.086,0.083,0.116
Brent Burns,0.097,0.096,0.086
Cam Atkinson,0.150,0.147,0.155
Tomas Tatar,0.114,0.112,0.118
Sam Reinhart,0.112,0.111,0.135
Nicklas Backstrom,0.081,0.080,0.070
Logan Couture,0.095,0.095,0.128
Evgeny Kuznetsov,0.097,0.096,0.112
Mika Zibanejad,0.117,0.117,0.118
Jakub Voracek,0.101,0.101,0.096
Gabriel Landeskog,0.127,0.129,0.131
Elias Lindholm,0.107,0.106,0.150
David Pastrnak,0.181,0.183,0.208
Mark Giordano,0.107,0.108,0.090
Jeff Skinner,0.153,0.152,0.189
Phillip Danault,0.092,0.095,0.140
Evgeni Malkin,0.103,0.101,0.143
Phil Kessel,0.107,0.106,0.126
Ryan Johansen,0.075,0.075,0.071
Alex Tuch,0.158,0.158,0.165
Kyle Connor,0.136,0.138,0.167
Patrice Bergeron,0.163,0.160,0.219
Brendan Gallagher,0.213,0.211,0.165
Ryan Dzingel,0.087,0.087,0.069
Brock Nelson,0.106,0.107,0.118
Mathew Barzal,0.126,0.125,0.119
Zach Parise,0.126,0.121,0.109
Mikael Backlund,0.138,0.137,0.148
Roman Josi,0.117,0.118,0.125
Evander Kane,0.166,0.166,0.178
Jakub Vrana,0.146,0.148,0.141
Joe Pavelski,0.100,0.100,0.133
Jamie Benn,0.122,0.121,0.133
Brayden Schenn,0.090,0.089,0.090
Jonathan Marchessault,0.155,0.160,0.178
Josh Bailey,0.068,0.066,0.071
Kevin Hayes,0.123,0.123,0.143
Andreas Athanasiou,0.131,0.131,0.159
Viktor Arvidsson,0.163,0.161,0.206
Travis Konecny,0.133,0.136,0.155
Dylan Strome,0.106,0.107,0.106
Brock Boeser,0.124,0.124,0.128
Ryan McDonagh,0.071,0.071,0.062
Chris Kreider,0.102,0.101,0.156
Zach Hyman,0.121,0.120,0.150
Ryan Nugent-Hopkins,0.115,0.114,0.108
Bo Horvat,0.114,0.113,0.128
Anze Kopitar,0.084,0.083,0.117
T.J. Oshie,0.086,0.084,0.093
William Karlsson,0.100,0.099,0.121
Kasperi Kapanen,0.122,0.121,0.114
Tyler Johnson,0.102,0.099,0.087
Nino Niederreiter,0.127,0.126,0.126
Brandon Saad,0.125,0.126,0.105
Filip Forsberg,0.162,0.159,0.165
Chris Tierney,0.071,0.069,0.078
Thomas Chabot,0.101,0.099,0.117
Dustin Brown,0.129,0.128,0.150
Ryan Getzlaf,0.079,0.079,0.089
John Carlson,0.103,0.101,0.106
Yanni Gourde,0.111,0.110,0.096
Josh Anderson,0.149,0.149,0.129
Andreas Johnsson,0.104,0.103,0.114
Joe Thornton,0.060,0.056,0.060
Duncan Keith,0.076,0.077,0.065
Paul Stastny,0.095,0.092,0.116
Jonathan Drouin,0.117,0.115,0.109
Kevin Labanc,0.128,0.128,0.105
Kris Letang,0.105,0.106,0.110
James van Riemsdyk,0.122,0.119,0.130
Mike Hoffman,0.116,0.113,0.113
Ryan Ellis,0.085,0.085,0.067
Reilly Smith,0.116,0.117,0.140
Mattias Ekholm,0.098,0.099,0.087
Anthony Mantha,0.127,0.126,0.151
Brady Tkachuk,0.201,0.200,0.163
Jeff Petry,0.090,0.088,0.082
Tyson Barrie,0.120,0.119,0.099
Cody Eakin,0.075,0.073,0.076
Joonas Donskoi,0.100,0.100,0.078
Boone Jenner,0.124,0.124,0.129
Alex Killorn,0.111,0.112,0.106
Tom Wilson,0.106,0.105,0.099
Oliver Bjorkstrand,0.146,0.145,0.139
Seth Jones,0.102,0.100,0.098
Colin White,0.099,0.106,0.099
David Perron,0.099,0.100,0.126
Max Pacioretty,0.170,0.169,0.190
Kyle Palmieri,0.119,0.121,0.144
Mikael Granlund,0.089,0.088,0.069
Dougie Hamilton,0.146,0.142,0.148
Anthony Cirelli,0.097,0.096,0.106
Andrei Svechnikov,0.155,0.158,0.163
Nick Foligno,0.096,0.094,0.129
Nick Bonino,0.079,0.078,0.101
Jake Muzzin,0.087,0.085,0.082
Jared Spurgeon,0.076,0.076,0.092
Nazem Kadri,0.150,0.152,0.163
Jaden Schwartz,0.108,0.107,0.146
Bryan Rust,0.123,0.122,0.147
Jimmy Vesey,0.099,0.098,0.118
Artturi Lehkonen,0.136,0.135,0.152
Darnell Nurse,0.113,0.112,0.118
Frank Vatrano,0.180,0.181,0.169
Jake DeBrusk,0.150,0.148,0.156
Ryan Suter,0.056,0.059,0.055
Lars Eller,0.106,0.106,0.103
Antoine Roussel,0.075,0.074,0.102
Tyler Bozak,0.078,0.075,0.078
Richard Panik,0.100,0.099,0.086
Craig Smith,0.166,0.169,0.172
Casey Cizikas,0.098,0.096,0.089
Rickard Rakell,0.139,0.140,0.139
Scott Laughton,0.106,0.105,0.102
Nikolaj Ehlers,0.162,0.164,0.207
Travis Sanheim,0.087,0.087,0.070
Oskar Lindblom,0.105,0.105,0.121
TJ Brodie,0.043,0.043,0.043
Jakob Silfverberg,0.112,0.114,0.135
Tyler Toffoli,0.165,0.165,0.152
Charlie Coyle,0.108,0.106,0.093
Jacob Trouba,0.096,0.093,0.114
Brandon Montour,0.093,0.093,0.108
Zach Werenski,0.109,0.105,0.116
Nolan Patrick,0.085,0.085,0.118
Jesperi Kotkaniemi,0.111,0.113,0.104
