Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.485,0.591,0.560,0.481,0.541,0.551,0.504,0.584
Aaron Johnson,,0.464,0.427,,0.526,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.400,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.385,0.465,0.375,,,,,,,,,,
Aaron Ward,0.429,0.412,0.339,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.446,0.458,0.500
Adam Clendening,,,,,,,,,,0.442,,,,,
Adam Foote,0.467,0.415,0.338,0.550,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.515,0.548,0.577
Adam Larsson,,,,,0.472,0.448,,0.500,0.417,0.414,0.460,0.469,0.476,0.394,0.448
Adam McQuaid,,,,0.374,0.409,0.403,,0.446,0.404,0.458,0.527,0.384,,,
Adam Pardy,,0.416,0.383,,0.519,,0.459,0.368,,,,,,,
Adam Pelech,,,,,,,,,,0.443,0.468,0.498,0.400,0.444,0.468
Adrian Aucoin,0.389,0.414,0.477,0.424,0.455,0.391,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.383,0.463,,0.327,0.475,0.370,0.438,0.473,0.453,0.397,0.425,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.535,0.481,0.527,0.489,0.422,,
Alex Goligoski,,0.440,0.426,0.431,0.406,0.410,0.444,0.434,0.424,0.478,0.438,0.433,0.468,0.449,0.456
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.491,0.465,0.491,0.408,0.419,,,
Alex Pietrangelo,,,,0.471,0.435,0.440,0.377,0.509,0.561,0.509,0.482,0.478,0.537,0.477,0.485
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.450,0.429,0.450,0.434,0.456,0.445,0.450,0.510,0.479,0.470,0.498,0.475,0.441,0.564,0.435
Alexander Romanov,,,,,,,,,,,,,,0.365,0.435
Alexander Sulzer,,,,0.392,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.491
Alexandre Picard,,0.434,0.482,0.412,,,,,,,,,,,
Alexei Emelin,,,,,0.414,0.324,0.423,0.348,0.354,0.412,0.424,,,,
Alexei Semenov,,0.422,,,,,,,,,,,,,
Alexei Zhitnik,0.448,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.374,0.449,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.402,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.386,0.439,0.416,,,,,,,
Andreas Borgman,,,,,,,,,,,0.388,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.547,0.496,,0.517,0.630,,,,,,,,,,
Andrei Markov,0.406,0.442,0.479,,,0.393,0.459,0.401,0.355,0.445,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.444,,,,,,,,,,,,,,
Andrej Meszaros,0.441,0.453,0.507,0.444,0.454,,0.457,0.467,,,,,,,
Andrej Sekera,0.393,0.428,0.511,0.369,0.456,0.418,0.444,0.373,0.410,0.376,0.410,,0.475,0.406,0.490
Andrej Sustr,,,,,,,0.527,0.417,0.468,0.568,0.479,,,,0.452
Andrew Alberts,0.393,0.381,0.383,0.396,0.311,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.273,,,,,,
Andrew Campbell,,,,,,,,0.450,,,,,,,
Andrew Ference,0.391,0.446,0.415,0.434,0.447,0.413,0.535,0.344,,,,,,,
Andrew Hutchinson,,0.525,,,,,,,,,,,,,
Andrew MacDonald,,,0.407,0.386,0.371,0.370,0.337,0.358,,0.400,0.406,0.392,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.422
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.400,0.357,0.391,0.450,0.441,0.376,0.391,0.381,0.421,0.439,0.461,0.484,0.443,0.378,0.402
Andy Sutton,0.446,,0.496,0.592,0.526,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
