Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.682,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.529,,,,,,,,,,
Aaron Volpatti,,,,,,0.488,0.462,,,,,,,,
Aaron Voros,0.600,0.588,0.583,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.778,0.794,,0.624,0.589,0.521,,,,,,,,,
Adam Cracknell,,,,,,,,,0.563,0.503,,,,,
Adam Erne,,,,,,,,,,,,0.492,0.588,0.649,0.610
Adam Gaudette,,,,,,,,,,,,0.500,0.480,0.616,0.547
Adam Hall,0.648,0.608,,0.664,0.711,0.638,0.570,,,,,,,,
Adam Henrique,,,,,0.701,0.564,0.583,0.580,0.617,0.562,0.544,0.546,0.582,0.573,0.599
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.574,0.588,0.595,0.652,0.569,0.614,0.580,0.571
Adam Mair,0.620,0.577,0.644,0.640,,,,,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.574,0.554,0.563,0.542,0.577
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.652,,,,,
Aleksander Barkov,,,,,,,0.667,0.605,0.672,0.630,0.683,0.644,0.655,0.691,0.661
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.533,0.550,,0.558,0.544,0.627,0.598,0.567,0.582,,,,,,
Ales Kotalik,0.632,0.622,0.592,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.452,0.572,0.608,0.633,0.563,0.558,0.573,0.617,0.657
Alex DeBrincat,,,,,,,,,,,0.519,0.549,0.579,0.588,0.590
Alex Formenton,,,,,,,,,,,,,,,0.635
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.569,0.548,0.585,0.625,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.548,0.565,0.545,0.578,0.519,0.534,0.516,0.602,0.631,0.602
Alex Iafallo,,,,,,,,,,,0.559,0.605,0.600,0.607,0.612
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.587,0.567,0.586,0.515,0.579,0.555,0.524,0.606,0.565,0.578
Alex Kovalev,0.578,0.545,0.498,0.516,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.572
Alex Nylander,,,,,,,,,,,,,0.625,,
Alex Ovechkin,0.490,0.495,0.464,0.487,0.488,0.490,0.489,0.464,0.508,0.518,0.502,0.506,0.533,0.500,0.505
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.606,0.538,0.506,0.603,0.504,0.507,,0.633,0.563,,,,,,
Alex Tuch,,,,,,,,,,,0.577,0.539,0.596,0.585,0.641
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.579,0.646
Alexander Barabanov,,,,,,,,,,,,,,,0.627
Alexander Burmistrov,,,,0.535,0.525,0.486,,,0.495,0.451,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.577,0.626,0.571,0.581,0.611
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.652,,,,,,,,,0.514,0.537,0.574,0.610,,0.467
Alexander Semin,0.488,0.543,0.512,0.439,0.479,0.457,0.438,0.451,,,,,,,
Alexander Steen,0.524,0.558,0.575,0.491,0.514,0.553,0.491,0.560,0.604,0.531,0.554,0.615,0.618,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.708,
Alexander Wennberg,,,,,,,,0.593,0.528,0.614,0.560,0.610,0.667,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.562,0.593,0.637,0.568,0.587,0.651,0.494,0.606,0.600,0.596,0.558,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,0.434,0.482,0.412,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.576,0.524,0.565
Alexei Ponikarovsky,0.529,0.553,0.567,0.589,0.582,0.500,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,0.600,0.577
Aliaksei Protas,,,,,,,,,,,,,,,0.542
Anders Bjork,,,,,,,,,,,,,0.500,0.467,0.544
Anders Lee,,,,,,,,0.647,0.627,0.654,0.623,0.588,0.647,,0.577
Andre Burakovsky,,,,,,,,0.455,0.518,0.492,0.474,0.557,0.551,0.549,0.475
Andre Deveaux,,,,,,,,,,,,,,,
Andre Petersson,,,,,,,,,,,,,,,
Andre Roy,0.522,0.578,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.634,0.522,0.546,0.562,0.609,0.576,
Andreas Engqvist,,,,,,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,,0.597,0.621,0.639,0.641
Andreas Karlsson,0.491,,,,,,,,,,,,,,
Andreas Martinsen,,,,,,,,,0.568,0.547,,,,,
Andreas Nodl,,0.541,,0.662,0.508,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,0.537,0.556,0.517,0.545,0.526,,,,,,,,,,
Andrei Loktionov,,,,,0.538,,0.481,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,,0.638,0.576,0.560,0.519
Andrej Nestrasil,,,,,,,,0.554,0.525,,,,,,
Andrew Agozzino,,,,,,,,,,,,,,,
Andrew Brunette,0.637,0.674,0.636,0.721,0.652,,,,,,,,,,
Andrew Cogliano,0.645,0.576,0.577,0.497,0.545,0.556,0.588,0.521,0.578,0.596,0.565,0.609,0.626,0.559,0.558
Andrew Copp,,,,,,,,,0.627,0.614,0.521,0.588,0.587,0.680,0.652
Andrew Crescenzi,,,,,,,,,,,,,,,
Andrew Desjardins,,,,,0.612,0.581,0.584,0.565,0.529,0.538,,,,,
Andrew Ebbett,,0.639,0.556,0.512,,,,,,,,,,,
Andrew Gordon,,,,,0.529,,,,,,,,,,
Andrew Joudrey,,,,,,,,,,,,,,,
Andrew Ladd,0.667,0.674,0.592,0.568,0.618,0.516,0.546,0.578,0.511,0.526,0.481,,,,0.500
Andrew Mangiapane,,,,,,,,,,,,0.663,0.523,0.556,0.590
Andrew Miller,,,,,,,,,,,,,,,
Andrew Murray,0.661,0.635,0.720,,0.647,,,,,,,,,,
Andrew Peters,0.630,,,,,,,,,,,,,,
Andrew Poturalski,,,,,,,,,,,,,,,
Andrew Shaw,,,,,0.556,0.564,0.620,0.627,0.544,0.585,0.603,0.580,,,
Andy Andreoff,,,,,,,,,0.517,0.475,0.566,,,,
Andy Hilbert,0.624,0.565,,,,,,,,,,,,,
Andy McDonald,0.622,0.570,0.633,0.629,,0.625,,,,,,,,,
Andy Miele,,,,,,,,,,,,,,,
Anthony Angello,,,,,,,,,,,,,,,
