Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,0.0210,0.0481,0.0165,0.0338,0.0322,0.0216,0.0402,0.0529
Aaron Johnson,D,4/30/1983,,0.0533,0.0400,,0.0209,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.0175,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.0000,0.0100,0.0316,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.0436,0.0186,0.0113,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.0467,0.0157,0.0731
Adam Clendening,D,10/26/1992,,,,,,,,,,0.0126,,,,,
Adam Foote,D,7/10/1971,0.0021,0.0268,0.0028,0.0032,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.0347,0.0151,0.0491
Adam Larsson,D,11/12/1992,,,,,0.0145,-0.0012,,0.0166,0.0193,0.0198,0.0212,0.0125,0.0081,0.0318,0.0322
Adam McQuaid,D,10/12/1986,,,,0.0240,0.0128,0.0161,,0.0080,0.0101,0.0160,0.0144,0.0422,,,
Adam Pardy,D,3/29/1984,,0.0108,0.0211,,0.0001,,0.0005,0.0007,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.0333,0.0133,0.0228,0.0089,0.0175,0.0140
Adrian Aucoin,D,7/3/1973,0.0293,0.0351,0.0342,0.0167,0.0081,0.0032,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,0.0295,0.0240,,0.0503,0.0281,0.0268,0.0263,0.0426,0.0301,0.0224,0.0424,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.0001,0.0003,0.0073,0.0118,0.0009,,
Alex Goligoski,D,7/30/1985,,0.0214,0.0366,0.0258,0.0275,0.0188,0.0150,0.0170,0.0164,0.0206,0.0394,0.0116,0.0123,0.0222,0.0146
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,-0.0008,0.0169,0.0088,0.0134,0.0000,,,
Alex Pietrangelo,D,1/18/1990,,,,0.0260,0.0166,0.0181,0.0179,0.0201,0.0219,0.0295,0.0387,0.0368,0.0327,0.0322,0.0254
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,0.0224,0.0222,0.0110,0.0155,0.0148,0.0183,0.0101,0.0124,0.0185,0.0176,0.0203,0.0342,0.0189,0.0015,0.0279
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.0043,0.0115
Alexander Sulzer,D,5/30/1984,,,,0.0135,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
