Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.0053,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,0.0237,0.0509,0.0191,0.0360,0.0340,0.0229,0.0410,0.0532
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,0.0537,0.0400,,0.0209,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.0272,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.0152,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.0000,0.0100,0.0315,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.0244,0.0516,,,,,,,,
Aaron Voros,F,7/2/1981,0.1000,0.0589,0.0559,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.0492,0.0262,0.0210,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.0495,0.0183,0.0753
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.0374,0.0620,,0.0602,0.0468,0.0008,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,0.0133,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.0435,0.0591,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.0410,0.0199,0.0826,0.0349
Adam Foote,D,7/10/1971,0.0118,0.0389,0.0174,0.0206,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.0369,0.0168,0.0504
