Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.000,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.023,0.050,0.018,0.035,0.033,0.022,0.041,0.053
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.054,0.040,,0.021,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.015,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.014,,,,,,,,,,
Aaron Rome,,,0.000,0.010,0.031,,,,,,,,,,
Aaron Volpatti,,,,,,0.024,0.051,,,,,,,,
Aaron Voros,0.100,0.059,0.056,,,,,,,,,,,,
Aaron Ward,0.042,0.017,0.009,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.048,0.017,0.074
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.037,0.062,,0.060,0.047,0.000,,,,,,,,,
Adam Clendening,,,,,,,,,,0.013,,,,,
Adam Cracknell,,,,,,,,,0.042,0.057,,,,,
Adam Erne,,,,,,,,,,,,0.040,0.020,0.082,0.035
Adam Foote,0.000,0.024,0.000,0.000,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.036,0.016,0.050
Adam Gaudette,,,,,,,,,,,,0.054,0.064,0.051,0.022
Adam Hall,0.037,0.031,,0.030,0.024,0.000,0.023,,,,,,,,
Adam Henrique,,,,,0.082,0.059,0.089,0.059,0.115,0.062,0.087,0.061,0.089,0.107,0.066
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.016,0.000,,0.017,0.020,0.020,0.021,0.013,0.008,0.031,0.032
Adam Lowry,,,,,,,,0.059,0.061,0.063,0.079,0.066,0.030,0.080,0.060
Adam Mair,0.054,0.062,0.058,0.011,,,,,,,,,,,
Adam McQuaid,,,,0.024,0.013,0.016,,0.008,0.010,0.015,0.014,0.041,,,
Adam Pardy,,0.011,0.021,,0.000,,0.000,0.000,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,0.034,0.014,0.023,0.009,0.018,0.014
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.028,0.033,0.032,0.014,0.005,0.000,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.082,0.065,0.038,0.063,0.085
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.026,,,,,
Alec Martinez,,,,0.030,0.024,,0.050,0.028,0.026,0.026,0.042,0.029,0.021,0.041,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.045,0.078,0.095,0.109,0.063,0.089,0.066,0.101,0.097
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.044,0.073,,0.087,0.040,0.039,0.053,0.045,0.052,,,,,,
Ales Kotalik,0.050,0.044,0.028,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.000,0.000,0.007,0.011,0.000,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.037,0.058,0.040,0.073,0.099,0.083,0.043,0.067,0.065
Alex DeBrincat,,,,,,,,,,,0.076,0.092,0.029,0.113,0.080
Alex Formenton,,,,,,,,,,,,,,,0.062
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.083,0.090,0.058,0.067,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.071,0.065,0.070,0.076,0.070,0.040,0.052,0.056,0.048,0.045
Alex Goligoski,,0.022,0.037,0.026,0.028,0.019,0.015,0.017,0.016,0.020,0.038,0.010,0.011,0.020,0.013
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.041,0.068,0.061,0.060,0.050
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.050,0.053,0.068,0.048,0.058,0.059,0.060,0.113,0.065,0.092
Alex Kovalev,0.070,0.054,0.054,0.045,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.058
Alex Nylander,,,,,,,,,,,,,0.069,,
Alex Ovechkin,0.066,0.052,0.063,0.044,0.055,0.055,0.053,0.050,0.062,0.039,0.068,0.075,0.086,0.063,0.082
Alex Petrovic,,,,,,,,0.000,0.018,0.009,0.014,0.000,,,
Alex Pietrangelo,,,,0.027,0.018,0.019,0.019,0.020,0.022,0.030,0.039,0.036,0.032,0.032,0.025
Alex Plante,,,,,,,,,,,,,,,
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.079,0.118,0.045,0.135,0.088,0.119,,0.158,0.073,,,,,,
Alex Tuch,,,,,,,,,,,0.047,0.060,0.034,0.075,0.050
Alex Turcotte,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.121,0.080
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Barabanov,,,,,,,,,,,,,,,0.060
Alexander Burmistrov,,,,0.038,0.056,0.038,,,0.038,0.014,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Edler,0.023,0.023,0.012,0.016,0.015,0.018,0.010,0.012,0.018,0.017,0.019,0.033,0.018,0.000,0.026
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.135,0.067,0.060,0.067,0.074
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.094,,,,,,,,,0.047,0.064,0.076,0.052,,0.020
Alexander Romanov,,,,,,,,,,,,,,0.006,0.013
Alexander Semin,0.063,0.079,0.074,0.061,0.054,0.037,0.042,0.033,,,,,,,
Alexander Steen,0.045,0.018,0.068,0.052,0.054,0.029,0.082,0.059,0.068,0.081,0.043,0.045,0.069,,
Alexander Sulzer,,,,0.014,,,,,,,,,,,
Alexander True,,,,,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.146,
Alexander Wennberg,,,,,,,,0.024,0.049,0.076,0.055,0.000,0.046,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.040,0.093,0.094,0.102,0.082,0.072,0.018,0.069,0.034,0.063,0.031,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.012
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,0.000,0.026,0.010,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.071,0.032,0.109
Alexei Emelin,,,,,0.015,0.029,0.016,0.026,0.000,0.010,0.008,,,,
Alexei Ponikarovsky,0.070,0.065,0.058,0.028,0.042,0.040,,,,,,,,,
Alexei Semenov,,0.016,,,,,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexei Zhitnik,0.018,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.019,0.013,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,0.109,0.113
Aliaksei Protas,,,,,,,,,,,,,,,0.051
Allan Rourke,,,,,,,,,,,,,,,
Anders Bjork,,,,,,,,,,,,,0.063,0.067,0.056
Anders Eriksson,0.000,,,,,,,,,,,,,,
Anders Lee,,,,,,,,0.078,0.031,0.110,0.113,0.073,0.070,,0.089
Andre Benoit,,,,,,0.020,0.033,0.000,,,,,,,
Andre Burakovsky,,,,,,,,0.053,0.075,0.045,0.064,0.063,0.122,0.106,0.071
Andre Deveaux,,,,,,,,,,,,,,,
Andre Petersson,,,,,,,,,,,,,,,
Andre Roy,0.060,0.067,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.098,0.081,0.055,0.079,0.047,0.076,
Andreas Borgman,,,,,,,,,,,0.026,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Engqvist,,,,,,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,,0.097,0.039,0.041,0.072
Andreas Karlsson,0.038,,,,,,,,,,,,,,
Andreas Lilja,0.016,0.017,,0.017,0.000,,,,,,,,,,
Andreas Martinsen,,,,,,,,,0.045,0.023,,,,,
Andreas Nodl,,0.016,,0.065,0.024,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,0.065,0.068,0.043,0.048,0.052,,,,,,,,,,
Andrei Loktionov,,,,,0.019,,0.037,,,,,,,,
Andrei Markov,0.027,0.028,0.017,,,0.019,0.022,0.023,0.005,0.027,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,,0.075,0.080,0.053,0.060
Andrei Zyuzin,0.022,,,,,,,,,,,,,,
Andrej Meszaros,0.008,0.007,0.019,0.021,0.026,,0.037,0.057,,,,,,,
Andrej Nestrasil,,,,,,,,0.038,0.040,,,,,,
Andrej Sekera,0.033,0.013,0.043,0.017,0.013,0.030,0.027,0.009,0.015,0.026,0.000,,0.008,0.043,0.020
Andrej Sustr,,,,,,,0.014,0.000,0.029,0.019,0.021,,,,0.016
Andrew Agozzino,,,,,,,,,,,,,,,
Andrew Alberts,0.000,0.008,0.023,0.019,0.033,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.000,,,,,,
Andrew Brunette,0.082,0.101,0.101,0.090,0.087,,,,,,,,,,
Andrew Campbell,,,,,,,,0.000,,,,,,,
