Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,D,2/7/1996,,,,,,,,0.199,0.192,0.250,0.217,0.161,0.181,0.192,0.201
Aaron Johnson,D,4/30/1983,,0.124,0.136,,0.121,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.096,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.162,0.119,0.160,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.122,0.126,0.113,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.166,0.147,0.152
Adam Clendening,D,10/26/1992,,,,,,,,,,0.179,,,,,
Adam Foote,D,7/10/1971,0.105,0.082,0.093,0.082,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.182,0.135,0.144
Adam Larsson,D,11/12/1992,,,,,0.125,0.125,,0.164,0.104,0.141,0.155,0.150,0.144,0.132,0.158
Adam McQuaid,D,10/12/1986,,,,0.143,0.157,0.143,,0.125,0.105,0.109,0.147,0.110,,,
Adam Pardy,D,3/29/1984,,0.112,0.117,,0.097,,0.123,0.112,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,0.137,0.173,0.168,0.161,0.165,0.148
Adrian Aucoin,D,7/3/1973,0.170,0.186,0.177,0.178,0.189,0.145,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alec Martinez,D,7/26/1987,,,,0.172,0.193,,0.198,0.196,0.172,0.165,0.119,0.128,0.156,0.156,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,0.145,0.174,0.238,0.261,0.165,,
Alex Goligoski,D,7/30/1985,,0.149,0.151,0.195,0.196,0.190,0.137,0.160,0.161,0.136,0.161,0.155,0.153,0.152,0.152
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Petrovic,D,3/3/1992,,,,,,,,0.123,0.122,0.137,0.157,0.199,,,
Alex Pietrangelo,D,1/18/1990,,,,0.209,0.239,0.186,0.216,0.187,0.181,0.172,0.196,0.200,0.232,0.277,0.233
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alexander Alexeyev,D,11/15/1999,,,,,,,,,,,,,,,
Alexander Edler,D,4/21/1986,0.154,0.180,0.203,0.208,0.227,0.200,0.262,0.182,0.173,0.178,0.199,0.178,0.220,0.187,0.188
Alexander Romanov,D,1/6/2000,,,,,,,,,,,,,,0.233,0.185
Alexander Sulzer,D,5/30/1984,,,,0.123,,,,,,,,,,,
Alexander Urbom,D,12/20/1990,,,,,,,,,,,,,,,
Alexander Yelesin,D,2/7/1996,,,,,,,,,,,,,,,
Alexandre Carrier,D,10/8/1996,,,,,,,,,,,,,,,0.130
Alexandre Picard,D,7/5/1985,,0.149,0.144,0.163,,,,,,,,,,,
Alexei Emelin,D,4/25/1986,,,,,0.128,0.156,0.124,0.097,0.146,0.142,0.117,,,,
Alexei Semenov,D,4/10/1981,,0.113,,,,,,,,,,,,,
Alexei Zhitnik,D,10/10/1972,0.164,,,,,,,,,,,,,,
Alexey Marchenko,D,1/2/1992,,,,,,,,,0.118,0.131,,,,,
Allan Rourke,D,3/6/1980,,,,,,,,,,,,,,,
Anders Eriksson,D,1/9/1975,0.104,,,,,,,,,,,,,,
Andre Benoit,D,1/6/1984,,,,,,0.216,0.143,0.098,,,,,,,
Andreas Borgman,D,6/18/1995,,,,,,,,,,,0.190,,,,
Andreas Englund,D,1/21/1996,,,,,,,,,,,,,,,
Andreas Lilja,D,7/13/1975,0.112,0.152,,0.095,0.110,,,,,,,,,,
Andrei Markov,D,12/20/1978,0.138,0.145,0.147,,,0.142,0.136,0.183,0.169,0.191,,,,,
Andrei Mironov,D,7/29/1994,,,,,,,,,,,,,,,
Andrei Zyuzin,D,1/21/1978,0.122,,,,,,,,,,,,,,
Andrej Meszaros,D,10/13/1985,0.195,0.155,0.166,0.181,0.189,,0.199,0.113,,,,,,,
Andrej Sekera,D,6/8/1986,0.113,0.148,0.132,0.142,0.138,0.100,0.164,0.162,0.184,0.167,0.167,,0.146,0.128,0.139
Andrej Sustr,D,11/29/1990,,,,,,,0.126,0.118,0.124,0.132,0.173,,,,0.123
Andrew Alberts,D,6/30/1981,0.099,0.114,0.125,0.094,0.108,,,,,,,,,,
Andrew Bodnarchuk,D,7/11/1988,,,,,,,,,0.074,,,,,,
Andrew Campbell,D,2/4/1988,,,,,,,,0.126,,,,,,,
Andrew Ference,D,3/17/1979,0.135,0.142,0.152,0.154,0.181,0.198,0.124,0.152,,,,,,,
Andrew Hutchinson,D,3/24/1980,,0.191,,,,,,,,,,,,,
Andrew MacDonald,D,9/7/1986,,,0.110,0.123,0.110,0.101,0.109,0.122,,0.125,0.162,0.156,,,
Andrew MacWilliam,D,3/25/1990,,,,,,,,,,,,,,,
Andrew Peeke,D,3/17/1998,,,,,,,,,,,,,,,0.116
Andrey Pedan,D,7/3/1993,,,,,,,,,,,,,,,
Andrey Zubarev,D,3/3/1987,,,,,,,,,,,,,,,
Andy Greene,D,10/30/1982,0.084,0.121,0.101,0.110,0.115,0.142,0.171,0.135,0.098,0.153,0.147,0.157,0.134,0.162,0.138
Andy Sutton,D,3/10/1975,0.128,,0.122,0.117,0.118,,,,,,,,,,
Andy Welinski,D,4/27/1993,,,,,,,,,,,,,,,
Andy Wozniewski,D,5/25/1980,0.122,,,,,,,,,,,,,,
Anssi Salmela,D,8/13/1984,,,0.146,0.119,,,,,,,,,,,
Anthony Bitetto,D,7/15/1990,,,,,,,,,,,0.128,0.166,0.156,,
Anthony DeAngelo,D,10/24/1995,,,,,,,,,,0.164,,,,,
Anton Babchuk,D,5/6/1984,,0.194,,0.201,0.204,,,,,,,,,,
Anton Belov,D,7/29/1986,,,,,,,0.122,,,,,,,,
Anton Lindholm,D,11/29/1994,,,,,,,,,,,0.119,,,,
Anton Stralman,D,8/1/1986,0.128,0.168,0.123,0.143,0.121,0.177,0.132,0.171,0.167,0.166,0.163,0.148,0.138,0.122,0.145
Anton Volchenkov,D,2/25/1982,0.154,0.149,0.147,0.140,0.134,0.155,0.156,0.146,,,,,,,
Artem Zub,D,10/3/1995,,,,,,,,,,,,,,0.111,0.121
