Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.122,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.250,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.155,0.137,,,,,,,,
Aaron Voros,F,7/2/1981,0.166,0.168,0.151,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.116,0.203,,0.177,0.190,0.178,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.216,0.256,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.198,0.168,0.175,0.178
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.177,0.199,0.246,0.233
Adam Hall,F,8/14/1980,0.143,0.213,,0.257,0.185,0.178,0.193,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.145,0.179,0.161,0.178,0.157,0.177,0.179,0.159,0.240,0.188,0.246
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,0.178,0.136,0.161,0.164,0.175,0.167,0.180,0.181
Adam Mair,F,2/15/1979,0.158,0.178,0.182,0.181,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.196,0.187,0.213,0.200,0.277
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.173,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.177,0.182,0.209,0.187,0.208,0.181,0.194,0.230,0.241
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.253,0.252,,0.209,0.219,0.217,0.224,0.275,0.298,,,,,,
Ales Kotalik,F,12/23/1978,0.242,0.282,0.292,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
