Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.111,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,0.206,0.194,0.248,0.213,0.156,0.177,0.188,0.199
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,0.121,0.135,,0.125,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,0.120,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.251,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.161,0.120,0.164,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.153,0.133,,,,,,,,
Aaron Voros,F,7/2/1981,0.165,0.166,0.148,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,0.141,0.148,0.137,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,0.168,0.146,0.148
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,0.117,0.203,,0.175,0.187,0.174,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,0.175,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.210,0.249,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.199,0.169,0.175,0.177
Adam Foote,D,7/10/1971,0.129,0.109,0.123,0.116,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.178,0.131,0.140
