Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.087,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.175,0.171,0.232,0.203,0.150,0.174,0.188,0.199
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.121,0.134,,0.121,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.078,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.246,,,,,,,,,,
Aaron Rome,,,0.160,0.119,0.160,,,,,,,,,,
Aaron Volpatti,,,,,,0.151,0.130,,,,,,,,
Aaron Voros,0.165,0.165,0.144,,,,,,,,,,,,
Aaron Ward,0.111,0.111,0.095,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.145,0.130,0.138
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.116,0.203,,0.173,0.184,0.167,,,,,,,,,
Adam Clendening,,,,,,,,,,0.174,,,,,
Adam Cracknell,,,,,,,,,0.200,0.234,,,,,
Adam Erne,,,,,,,,,,,,0.196,0.168,0.175,0.177
Adam Foote,0.087,0.062,0.070,0.057,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.168,0.125,0.137
Adam Gaudette,,,,,,,,,,,,0.172,0.197,0.246,0.233
Adam Hall,0.140,0.206,,0.241,0.163,0.150,0.158,,,,,,,,
Adam Henrique,,,,,0.135,0.174,0.159,0.177,0.157,0.176,0.176,0.153,0.229,0.172,0.224
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.104,0.108,,0.154,0.097,0.136,0.153,0.149,0.144,0.132,0.158
Adam Lowry,,,,,,,,0.168,0.131,0.160,0.164,0.175,0.166,0.177,0.174
Adam Mair,0.151,0.168,0.166,0.159,,,,,,,,,,,
Adam McQuaid,,,,0.138,0.154,0.142,,0.125,0.104,0.108,0.144,0.104,,,
Adam Pardy,,0.108,0.114,,0.096,,0.122,0.111,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,0.127,0.166,0.163,0.159,0.164,0.148
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.159,0.172,0.160,0.157,0.166,0.120,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.186,0.182,0.211,0.200,0.277
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.171,,,,,
Alec Martinez,,,,0.165,0.188,,0.197,0.195,0.172,0.165,0.117,0.125,0.151,0.148,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.144,0.159,0.194,0.178,0.203,0.180,0.194,0.230,0.240
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.253,0.252,,0.206,0.212,0.207,0.208,0.253,0.269,,,,,,
Ales Kotalik,0.232,0.267,0.270,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.144,0.174,0.237,0.260,0.162,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.212,0.171,0.147,0.157,0.123,0.156,0.167,0.141,0.166
Alex DeBrincat,,,,,,,,,,,0.281,0.259,0.285,0.235,0.250
Alex Formenton,,,,,,,,,,,,,,,0.210
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.203,0.184,0.202,0.200,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.234,0.192,0.214,0.248,0.190,0.232,0.213,0.173,0.212,0.180
Alex Goligoski,,0.142,0.146,0.192,0.195,0.190,0.137,0.159,0.159,0.133,0.156,0.147,0.142,0.138,0.134
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,0.209,0.157,0.173,0.181,0.232
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.231,0.218,0.191,0.202,0.211,0.225,0.262,0.181,0.211,0.184
Alex Kovalev,0.224,0.242,0.228,0.219,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.202
Alex Nylander,,,,,,,,,,,,,0.203,,
Alex Ovechkin,0.459,0.523,0.476,0.413,0.362,0.373,0.419,0.418,0.397,0.344,0.364,0.330,0.384,0.348,0.332
Alex Petrovic,,,,,,,,0.113,0.115,0.132,0.154,0.198,,,
Alex Pietrangelo,,,,0.192,0.226,0.176,0.209,0.182,0.178,0.171,0.196,0.200,0.231,0.276,0.230
Alex Plante,,,,,,,,,,,,,,,
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.151,0.156,0.144,0.120,0.122,0.111,,0.105,0.106,,,,,,
Alex Tuch,,,,,,,,,,,0.233,0.268,0.275,0.275,0.258
Alex Turcotte,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.140,0.095
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Barabanov,,,,,,,,,,,,,,,0.126
Alexander Burmistrov,,,,0.183,0.191,0.180,,,0.174,0.128,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Edler,0.141,0.169,0.195,0.203,0.224,0.199,0.262,0.182,0.172,0.176,0.196,0.172,0.212,0.175,0.173
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.120,0.164,0.155,0.153,0.160
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.218,,,,,,,,,0.216,0.228,0.248,0.182,,0.180
Alexander Romanov,,,,,,,,,,,,,,0.216,0.171
Alexander Semin,0.323,0.387,0.379,0.381,0.303,0.337,0.349,0.224,,,,,,,
