Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.175,0.171,0.232,0.203,0.150,0.174,0.188,0.199
Aaron Johnson,,0.121,0.134,,0.121,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.078,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.160,0.119,0.160,,,,,,,,,,
Aaron Ward,0.111,0.111,0.095,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.145,0.130,0.138
Adam Clendening,,,,,,,,,,0.174,,,,,
Adam Foote,0.087,0.062,0.070,0.057,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.168,0.125,0.137
Adam Larsson,,,,,0.104,0.108,,0.154,0.097,0.136,0.153,0.149,0.144,0.132,0.158
Adam McQuaid,,,,0.138,0.154,0.142,,0.125,0.104,0.108,0.144,0.104,,,
Adam Pardy,,0.108,0.114,,0.096,,0.122,0.111,,,,,,,
Adam Pelech,,,,,,,,,,0.127,0.166,0.163,0.159,0.164,0.148
Adrian Aucoin,0.159,0.172,0.160,0.157,0.166,0.120,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.165,0.188,,0.197,0.195,0.172,0.165,0.117,0.125,0.151,0.148,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.144,0.174,0.237,0.260,0.162,,
Alex Goligoski,,0.142,0.146,0.192,0.195,0.190,0.137,0.159,0.159,0.133,0.156,0.147,0.142,0.138,0.134
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.113,0.115,0.132,0.154,0.198,,,
Alex Pietrangelo,,,,0.192,0.226,0.176,0.209,0.182,0.178,0.171,0.196,0.200,0.231,0.276,0.230
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.141,0.169,0.195,0.203,0.224,0.199,0.262,0.182,0.172,0.176,0.196,0.172,0.212,0.175,0.173
Alexander Romanov,,,,,,,,,,,,,,0.216,0.171
Alexander Sulzer,,,,0.122,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.127
Alexandre Picard,,0.142,0.139,0.160,,,,,,,,,,,
Alexei Emelin,,,,,0.126,0.155,0.123,0.097,0.145,0.140,0.114,,,,
Alexei Semenov,,0.113,,,,,,,,,,,,,
Alexei Zhitnik,0.150,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.110,0.126,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.098,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.216,0.142,0.097,,,,,,,
Andreas Borgman,,,,,,,,,,,0.179,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.107,0.143,,0.080,0.092,,,,,,,,,,
Andrei Markov,0.137,0.143,0.144,,,0.130,0.122,0.166,0.148,0.168,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.122,,,,,,,,,,,,,,
Andrej Meszaros,0.185,0.148,0.162,0.179,0.188,,0.199,0.113,,,,,,,
Andrej Sekera,0.099,0.138,0.124,0.137,0.136,0.099,0.164,0.162,0.184,0.166,0.164,,0.137,0.117,0.125
Andrej Sustr,,,,,,,0.119,0.114,0.121,0.131,0.173,,,,0.120
Andrew Alberts,0.098,0.114,0.125,0.094,0.106,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.074,,,,,,
Andrew Campbell,,,,,,,,0.125,,,,,,,
Andrew Ference,0.135,0.142,0.151,0.150,0.175,0.189,0.112,0.138,,,,,,,
Andrew Hutchinson,,0.191,,,,,,,,,,,,,
Andrew MacDonald,,,0.103,0.118,0.107,0.100,0.108,0.122,,0.124,0.158,0.150,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.108
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.082,0.120,0.101,0.110,0.115,0.141,0.168,0.129,0.089,0.142,0.132,0.139,0.113,0.139,0.113
Andy Sutton,0.123,,0.111,0.102,0.101,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.121,,,,,,,,,,,,,,
Anssi Salmela,,,0.143,0.118,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,0.128,0.166,0.155,,
Anthony DeAngelo,,,,,,,,,,0.150,,,,,
Anton Babchuk,,0.189,,0.200,0.204,,,,,,,,,,
Anton Belov,,,,,,,0.121,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.112,,,,
Anton Stralman,0.114,0.158,0.116,0.139,0.119,0.176,0.132,0.171,0.167,0.164,0.160,0.142,0.130,0.111,0.130
Anton Volchenkov,0.151,0.148,0.147,0.140,0.134,0.153,0.153,0.141,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.108,0.120
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.094,0.104,0.126,0.138,0.126,0.109,0.127,0.131,0.136,,,,,,
Ben Chiarot,,,,,,,,0.137,0.172,0.125,0.164,0.171,0.204,0.199,0.175
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,0.128,0.123,,0.112,
Ben Hutton,,,,,,,,,0.143,0.174,0.180,0.171,0.203,0.154,0.194
Ben Lovejoy,,,,0.207,0.227,0.158,0.157,0.160,0.157,0.102,0.172,0.181,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.184,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,0.091,,,
Boris Valabik,,0.073,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.180,0.193,0.174,,0.163
Brad Lukowich,0.078,0.108,,,,,,,,,,,,,
Brad Stuart,0.141,0.162,0.176,0.128,0.137,0.152,0.154,0.105,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,0.102
Brady Austin,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.159,0.165,0.152,0.187,0.189,0.210
Brandon Carlo,,,,,,,,,,0.117,0.112,0.162,0.145,,0.152
Brandon Davidson,,,,,,,,,0.186,0.160,0.157,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,0.170,0.176,0.210,0.140,,,
Brandon Montour,,,,,,,,,,,0.190,0.208,0.145,0.177,0.210
Branislav Mezei,0.117,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.168,0.163,0.176,0.137,0.130,0.140,0.154,0.164
Brayden Pachal,,,,,,,,,,,,,,,
Braydon Coburn,0.137,0.130,0.165,0.153,0.162,0.153,0.165,0.154,0.162,0.181,0.160,0.201,0.173,,
Brendan Bell,,0.134,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,0.086,,,0.144,,,,,,,,,,
Brendan Smith,,,,,,0.124,0.154,0.143,0.156,0.139,0.165,0.162,0.146,0.153,0.217
Brendan Witt,0.112,0.101,0.099,,,,,,,,,,,,
Brenden Dillon,,,,,,0.168,0.133,0.178,0.172,0.159,0.155,0.132,0.117,0.141,0.145
Brendon Nash,,,,,,,,,,,,,,,
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.169,0.214,0.182,0.179,0.244,,0.374,0.280,0.341,0.364,0.370,0.329,0.283,0.192,0.198
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.149,0.144,0.150,0.146,0.144,0.124,0.155,0.186,0.172,0.162,0.174,0.197,0.132,,
Brent Sopel,0.109,,0.114,0.107,,,,,,,,,,,
Bret Hedican,0.132,0.113,,,,,,,,,,,,,
Brett Bellemore,,,,,,,0.106,0.081,,,,,,,
Brett Carson,,,0.105,,,,,,,,,,,,
Brett Clark,0.108,0.114,0.114,0.124,0.119,,,,,,,,,,
Brett Festerling,,0.083,0.120,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,0.187,0.201,0.198,0.154,0.144
Brett Lebda,0.165,0.169,0.148,0.189,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.131,0.162,0.163,0.147,0.188,0.203,0.223
Brett Skinner,,,,,,,,,,,,,,,
Brian Campbell,0.125,0.111,0.143,0.117,0.108,0.095,0.112,0.099,0.100,0.102,,,,,
Brian Dumoulin,,,,,,,,,0.146,0.134,0.144,0.154,,0.123,0.119
Brian Fahey,,,,,,,,,,,,,,,
Brian Lashoff,,,,,,0.095,0.109,,,,,,,,
Brian Lee,,0.115,,0.113,0.108,,,,,,,,,,
Brian Pothier,0.179,,0.143,,,,,,,,,,,,
Brian Rafalski,0.165,0.124,0.127,0.128,,,,,,,,,,,
Brian Salcido,,,,,,,,,,,,,,,
Brian Strait,,,,,,,0.109,0.130,0.153,,,,,,
Brinson Pasichnuk,,,,,,,,,,,,,,,
Brogan Rafferty,,,,,,,,,,,,,,,
Brooks Orpik,0.104,0.080,0.096,0.118,0.085,0.082,0.095,0.112,0.110,0.146,0.100,0.136,,,
Bruno Gervais,0.104,0.137,0.137,0.142,0.160,0.187,,,,,,,,,
Bryan Allen,0.122,,0.126,0.117,0.147,0.130,0.130,,,,,,,,
Bryan Berard,0.146,,,,,,,,,,,,,,
Bryan Helmer,,,,,,,,,,,,,,,
Bryan McCabe,0.141,0.149,0.150,0.157,,,,,,,,,,,
Bryan Rodney,,,,,,,,,,,,,,,
Bryan Young,,,,,,,,,,,,,,,
Bryce Salvador,0.064,0.124,0.080,,0.080,0.117,0.109,,,,,,,,
Cade Fairchild,,,,,,,,,,,,,,,
Cal Foote,,,,,,,,,,,,,,0.183,0.156
Cale Fleury,,,,,,,,,,,,,0.187,,
Cale Makar,,,,,,,,,,,,,0.169,0.182,0.235
Caleb Jones,,,,,,,,,,,,,0.128,0.129,0.116
Calen Addison,,,,,,,,,,,,,,,
Calle Rosen,,,,,,,,,,,,,,,
Calvin de Haan,,,,,,,0.138,0.183,0.150,0.164,0.156,0.227,,0.183,0.184
Cam Barker,0.108,0.134,0.158,0.111,,,,,,,,,,,
Cam Dineen,,,,,,,,,,,,,,,0.221
Cam Fowler,,,,0.120,0.107,0.134,0.111,0.091,0.125,0.150,0.144,0.132,0.134,0.143,0.143
Cam York,,,,,,,,,,,,,,,
Cameron Gaunce,,,,,,,,,,,,,,,
Cameron Schilling,,,,,,,,,,,,,,,
Carl Dahlstrom,,,,,,,,,,,,0.118,,,
Carl Gunnarsson,,,0.122,0.130,0.121,0.085,0.074,0.103,0.104,0.101,0.112,,0.098,,
Carl Sneep,,,,,,,,,,,,,,,
Carlo Colaiacovo,,0.111,0.140,0.152,0.136,,,0.197,0.111,,,,,,
Carson Soucy,,,,,,,,,,,,,0.137,0.113,0.153
Casey Borer,,,,,,,,,,,,,,,
Casey Fitzgerald,,,,,,,,,,,,,,,0.120
Casey Nelson,,,,,,,,,,,0.151,0.152,,,
Chad Billins,,,,,,,,,,,,,,,
Chad Ruhwedel,,,,,,,,,,0.162,0.198,,0.151,,0.169
Charlie McAvoy,,,,,,,,,,,0.128,0.134,0.136,0.159,0.161
Chase Priskie,,,,,,,,,,,,,,,
Chay Genoway,,,,,,,,,,,,,,,
Chris Bigras,,,,,,,,,0.119,,,,,,
Chris Breen,,,,,,,,,,,,,,,
Chris Butler,,0.102,0.120,0.131,0.106,0.113,0.125,0.153,,,,,,,
Chris Campoli,0.109,0.110,0.104,0.121,0.096,,,,,,,,,,
Chris Chelios,0.169,,,,,,,,,,,,,,
Chris Phillips,0.107,0.116,0.106,0.112,0.137,0.172,0.141,0.106,,,,,,,
Chris Pronger,0.175,0.175,0.139,0.188,,,,,,,,,,,
Chris Summers,,,,,,,,,,,,,,,
Chris Wideman,,,,,,,,,0.195,0.236,,,,,0.139
Christian Backman,0.089,0.143,,,,,,,,,,,,,
Christian Djoos,,,,,,,,,,,0.129,0.122,,0.130,
Christian Ehrhoff,0.151,0.181,0.178,0.180,0.157,0.174,0.171,0.203,0.211,,,,,,
Christian Folin,,,,,,,,0.147,,0.132,0.119,0.170,,,
Christian Jaros,,,,,,,,,,,,0.140,,,
Christian Wolanin,,,,,,,,,,,,,,,
Christoph Schubert,0.213,0.156,0.217,,,,,,,,,,,,
Christopher Tanev,,,,,,0.095,0.113,0.090,0.070,0.094,0.071,0.093,0.087,0.114,0.122
Clay Wilson,,,,,,,,,,,,,,,
Clayton Stoner,,,,0.113,0.127,0.117,0.127,0.139,0.104,,,,,,
Cody Ceci,,,,,,,0.207,0.165,0.175,0.166,0.181,0.180,0.115,0.126,0.147
Cody Franson,,,0.207,0.224,0.157,0.124,0.152,0.157,0.155,0.156,,,,,
Cody Goloubef,,,,,,,,0.124,0.155,0.120,,,,,
Colby Cohen,,,,,,,,,,,,,,,
Colby Robak,,,,,,,,,,,,,,,
Colin Miller,,,,,,,,,0.190,0.234,0.227,0.223,0.193,0.155,0.130
Colin White,0.081,0.111,0.083,0.083,0.098,,,,,,,0.184,0.148,0.204,
Colten Teubert,,,,,,,,,,,,,,,
Colton Parayko,,,,,,,,,0.217,0.220,0.211,0.189,0.199,0.185,0.135
Colton White,,,,,,,,,,,,,,,
Connor Carrick,,,,,,,0.131,,,0.196,0.186,0.151,,,
Connor Clifton,,,,,,,,,,,,,0.122,0.138,0.168
Connor Mackey,,,,,,,,,,,,,,,
Connor Murphy,,,,,,,,0.142,0.158,0.139,0.203,0.171,0.215,0.159,0.135
Conor Allen,,,,,,,,,,,,,,,
Conor Timmins,,,,,,,,,,,,,,0.173,
Corey Potter,,,,,0.164,0.149,,,,,,,,,
Corey Schueneman,,,,,,,,,,,,,,,
Cory Murphy,0.144,0.214,,,,,,,,,,,,,
Cory Sarich,0.100,0.131,0.118,0.132,0.109,,0.132,,,,,,,,
Craig Rivet,0.120,0.110,0.104,0.128,,,,,,,,,,,
Dakota Mermis,,,,,,,,,,,,,,,
Dalton Prout,,,,,,,0.141,0.128,0.158,,,,,,
Damon Severson,,,,,,,,0.176,0.139,0.153,0.152,0.117,0.127,0.162,0.161
Dan Boyle,0.128,0.177,0.169,0.152,0.201,0.182,0.146,0.143,0.110,,,,,,
Dan Girardi,0.169,0.162,0.141,0.109,0.114,0.157,0.124,0.111,0.113,0.117,0.139,0.135,,,
Dan Hamhuis,0.151,0.134,0.167,0.174,0.178,0.166,0.179,0.147,0.143,0.136,0.109,0.099,0.133,,
Dan Jancevski,,,,,,,,,,,,,,,
Dan Renouf,,,,,,,,,,,,,,,
Daniel Brickley,,,,,,,,,,,,,,,
Daniel Tjarnqvist,,0.093,,,,,,,,,,,,,
Daniil Miromanov,,,,,,,,,,,,,,,
Danny Biega,,,,,,,,,,,,,,,
Danny DeKeyser,,,,,,,0.127,0.129,0.095,0.106,0.125,0.129,,0.118,0.120
Danny Richmond,,,,,,,,,,,,,,,
Danny Syvret,,,,,,,,,,,,,,,
Dante Fabbro,,,,,,,,,,,,,0.162,0.133,0.158
Darnell Nurse,,,,,,,,,0.191,0.207,0.216,0.205,0.214,0.215,0.246
Darren Dietz,,,,,,,,,,,,,,,
Darren Raddysh,,,,,,,,,,,,,,,
Darryl Sydor,0.085,0.116,0.094,,,,,,,,,,,,
David Farrance,,,,,,,,,,,,,,,
David Hale,0.109,0.086,0.090,,,,,,,,,,,,
David Liffiton,,,,,,,,,,,,,,,
David Musil,,,,,,,,,,,,,,,
David Rundblad,,,,,,,,0.223,,,,,,,
David Savard,,,,,0.128,,0.112,0.136,0.169,0.180,0.189,0.154,0.145,0.125,0.108
David Schlemko,,,,0.128,0.157,,0.166,0.142,0.139,0.229,0.133,,,,
David Tanabe,,,,,,,,,,,,,,,
David Warsofsky,,,,,,,,,,,,,,,
Davis Drewiske,,,0.120,0.141,,,,,,,,,,,
Dean Kukan,,,,,,,,,,,,,0.156,0.100,0.116
Declan Chisholm,,,,,,,,,,,,,,,
Denis Gauthier,,0.127,,,,,,,,,,,,,
Denis Grebeshkov,0.080,0.076,0.097,,,,,,,,,,,,
Dennis Cholowski,,,,,,,,,,,,0.142,0.145,,
Dennis Gilbert,,,,,,,,,,,,,,,
Dennis Seidenberg,0.181,0.148,0.153,0.166,0.175,0.185,0.167,0.128,0.121,0.128,,,,,
Dennis Wideman,0.166,0.180,0.172,0.171,0.161,0.162,0.185,0.163,0.141,0.167,,,,,
Derek Forbort,,,,,,,,,,0.141,0.133,0.119,,0.166,0.113
Derek Joslin,,,,0.131,0.166,,,,,,,,,,
