Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.087,,,,,,,,,,,,,,
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.246,,,,,,,,,,
Aaron Volpatti,,,,,,0.151,0.130,,,,,,,,
Aaron Voros,0.165,0.165,0.144,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.116,0.203,,0.173,0.184,0.167,,,,,,,,,
Adam Cracknell,,,,,,,,,0.200,0.234,,,,,
Adam Erne,,,,,,,,,,,,0.196,0.168,0.175,0.177
Adam Gaudette,,,,,,,,,,,,0.172,0.197,0.246,0.233
Adam Hall,0.140,0.206,,0.241,0.163,0.150,0.158,,,,,,,,
Adam Henrique,,,,,0.135,0.174,0.159,0.177,0.157,0.176,0.176,0.153,0.229,0.172,0.224
Adam Johnson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.168,0.131,0.160,0.164,0.175,0.166,0.177,0.174
Adam Mair,0.151,0.168,0.166,0.159,,,,,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,,0.186,0.182,0.211,0.200,0.277
Akim Aliu,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.171,,,,,
Aleksander Barkov,,,,,,,0.144,0.159,0.194,0.178,0.203,0.180,0.194,0.230,0.240
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,0.253,0.252,,0.206,0.212,0.207,0.208,0.253,0.269,,,,,,
Ales Kotalik,0.232,0.267,0.270,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.212,0.171,0.147,0.157,0.123,0.156,0.167,0.141,0.166
Alex DeBrincat,,,,,,,,,,,0.281,0.259,0.285,0.235,0.250
Alex Formenton,,,,,,,,,,,,,,,0.210
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,0.203,0.184,0.202,0.200,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.234,0.192,0.214,0.248,0.190,0.232,0.213,0.173,0.212,0.180
Alex Iafallo,,,,,,,,,,,0.209,0.157,0.173,0.181,0.232
Alex Khokhlachev,,,,,,,,,,,,,,,
Alex Killorn,,,,,,0.231,0.218,0.191,0.202,0.211,0.225,0.262,0.181,0.211,0.184
Alex Kovalev,0.224,0.242,0.228,0.219,,,,,,,,,,,
Alex Newhook,,,,,,,,,,,,,,,0.202
Alex Nylander,,,,,,,,,,,,,0.203,,
Alex Ovechkin,0.459,0.523,0.476,0.413,0.362,0.373,0.419,0.418,0.397,0.344,0.364,0.330,0.384,0.348,0.332
Alex Steeves,,,,,,,,,,,,,,,
Alex Tanguay,0.151,0.156,0.144,0.120,0.122,0.111,,0.105,0.106,,,,,,
Alex Tuch,,,,,,,,,,,0.233,0.268,0.275,0.275,0.258
Alex Turcotte,,,,,,,,,,,,,,,
Alex Wennberg,,,,,,,,,,,,,,0.140,0.095
Alexander Barabanov,,,,,,,,,,,,,,,0.126
Alexander Burmistrov,,,,0.183,0.191,0.180,,,0.174,0.128,,,,,
Alexander Chmelevski,,,,,,,,,,,,,,,
Alexander Holtz,,,,,,,,,,,,,,,
Alexander Kerfoot,,,,,,,,,,,0.120,0.164,0.155,0.153,0.160
Alexander Nikulin,,,,,,,,,,,,,,,
Alexander Nylander,,,,,,,,,,,,,,,
Alexander Radulov,0.218,,,,,,,,,0.216,0.228,0.248,0.182,,0.180
Alexander Semin,0.323,0.387,0.379,0.381,0.303,0.337,0.349,0.224,,,,,,,
Alexander Steen,0.265,0.213,0.260,0.291,0.346,0.287,0.287,0.247,0.198,0.145,0.211,0.190,0.163,,
Alexander True,,,,,,,,,,,,,,,
Alexander Vasyunov,,,,,,,,,,,,,,,
Alexander Volkov,,,,,,,,,,,,,,0.123,
Alexander Wennberg,,,,,,,,0.146,0.137,0.120,0.095,0.092,0.117,,
Alexandre Bolduc,,,,,,,,,,,,,,,
Alexandre Burrows,0.208,0.236,0.242,0.238,0.243,0.251,0.249,0.220,0.192,0.233,0.191,,,,
Alexandre Fortin,,,,,,,,,,,,,,,
Alexandre Giroux,,,,,,,,,,,,,,,
Alexandre Grenier,,,,,,,,,,,,,,,
Alexandre Picard,,0.142,0.139,0.160,,,,,,,,,,,
Alexandre Texier,,,,,,,,,,,,,0.195,0.188,0.201
Alexei Ponikarovsky,0.278,0.263,0.268,0.216,0.222,0.193,,,,,,,,,
Alexei Toropchenko,,,,,,,,,,,,,,,
Alexis Lafrenière,,,,,,,,,,,,,,0.156,0.167
Aliaksei Protas,,,,,,,,,,,,,,,0.165
Anders Bjork,,,,,,,,,,,,,0.181,0.137,0.136
Anders Lee,,,,,,,,0.276,0.233,0.215,0.199,0.211,0.238,,0.197
Andre Burakovsky,,,,,,,,0.212,0.234,0.264,0.221,0.214,0.200,0.208,0.224
Andre Deveaux,,,,,,,,,,,,,,,
Andre Petersson,,,,,,,,,,,,,,,
Andre Roy,0.199,0.187,,,,,,,,,,,,,
Andreas Athanasiou,,,,,,,,,0.261,0.279,0.291,0.283,0.223,0.215,
Andreas Engqvist,,,,,,,,,,,,,,,
Andreas Johnsson,,,,,,,,,,,,0.199,0.178,0.160,0.178
Andreas Karlsson,0.122,,,,,,,,,,,,,,
Andreas Martinsen,,,,,,,,,0.146,0.223,,,,,
Andreas Nodl,,0.155,,0.167,0.190,,,,,,,,,,
Andreas Thuresson,,,,,,,,,,,,,,,
Andrei Chibisov,,,,,,,,,,,,,,,
Andrei Kostitsyn,0.220,0.275,0.259,0.284,0.219,,,,,,,,,,
Andrei Loktionov,,,,,0.231,,0.172,,,,,,,,
Andrei Svechnikov,,,,,,,,,,,,0.257,0.240,0.258,0.313
