Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,0.005,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,0.004,0.005,0.005,0.006,0.004,0.005,0.004,0.006
Aaron Gagnon,,,,,,,,,,,,,,,
Aaron Johnson,,0.002,0.003,,0.003,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.001,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,0.009,,,,,,,,,,
Aaron Rome,,,0.002,0.003,0.003,,,,,,,,,,
Aaron Volpatti,,,,,,0.006,0.007,,,,,,,,
Aaron Voros,0.010,0.012,0.006,,,,,,,,,,,,
Aaron Ward,0.001,0.002,0.001,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.004,0.003,0.005
Adam Brooks,,,,,,,,,,,,,,,
Adam Burish,0.006,0.013,,0.009,0.009,0.008,,,,,,,,,
Adam Clendening,,,,,,,,,,0.002,,,,,
Adam Cracknell,,,,,,,,,0.010,0.011,,,,,
Adam Erne,,,,,,,,,,,,0.009,0.008,0.012,0.010
Adam Foote,0.001,0.001,0.001,0.001,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.005,0.004,0.004
Adam Gaudette,,,,,,,,,,,,0.008,0.010,0.016,0.010
Adam Hall,0.008,0.010,,0.014,0.010,0.007,0.008,,,,,,,,
Adam Henrique,,,,,0.009,0.012,0.010,0.010,0.011,0.010,0.013,0.011,0.015,0.010,0.017
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,0.002,0.001,,0.003,0.002,0.002,0.004,0.002,0.003,0.002,0.003
Adam Lowry,,,,,,,,0.011,0.009,0.011,0.009,0.012,0.010,0.010,0.015
Adam Mair,0.009,0.009,0.008,0.009,,,,,,,,,,,
Adam McQuaid,,,,0.002,0.002,0.003,,0.001,0.001,0.002,0.002,0.002,,,
Adam Pardy,,0.002,0.001,,0.002,,0.003,0.002,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,0.002,0.004,0.004,0.003,0.004,0.003
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,
Adrian Aucoin,0.003,0.003,0.003,0.002,0.002,0.001,,,,,,,,,
