Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.004,0.005,0.005,0.006,0.004,0.005,0.004,0.006
Aaron Johnson,,0.002,0.003,,0.003,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.001,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.002,0.003,0.003,,,,,,,,,,
Aaron Ward,0.001,0.002,0.001,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,0.004,0.003,0.005
Adam Clendening,,,,,,,,,,0.002,,,,,
Adam Foote,0.001,0.001,0.001,0.001,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,0.005,0.004,0.004
Adam Larsson,,,,,0.002,0.001,,0.003,0.002,0.002,0.004,0.002,0.003,0.002,0.003
Adam McQuaid,,,,0.002,0.002,0.003,,0.001,0.001,0.002,0.002,0.002,,,
Adam Pardy,,0.002,0.001,,0.002,,0.003,0.002,,,,,,,
Adam Pelech,,,,,,,,,,0.002,0.004,0.004,0.003,0.004,0.003
Adrian Aucoin,0.003,0.003,0.003,0.002,0.002,0.001,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,0.003,0.004,,0.005,0.004,0.003,0.004,0.002,0.003,0.002,0.004,
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.002,0.003,0.006,0.004,0.003,,
Alex Goligoski,,0.002,0.003,0.003,0.003,0.005,0.003,0.004,0.003,0.002,0.003,0.002,0.003,0.003,0.002
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,0.002,0.002,0.003,0.002,0.004,,,
Alex Pietrangelo,,,,0.004,0.006,0.004,0.004,0.005,0.005,0.004,0.004,0.005,0.007,0.006,0.006
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Alexeyev,,,,,,,,,,,,,,,
Alexander Edler,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003
Alexander Romanov,,,,,,,,,,,,,,0.003,0.002
Alexander Sulzer,,,,0.002,,,,,,,,,,,
Alexander Urbom,,,,,,,,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,,0.004
Alexandre Picard,,0.002,0.002,0.003,,,,,,,,,,,
Alexei Emelin,,,,,0.002,0.003,0.002,0.001,0.002,0.002,0.002,,,,
Alexei Semenov,,0.002,,,,,,,,,,,,,
Alexei Zhitnik,0.002,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.002,0.003,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.002,,,,,,,,,,,,,,
Andre Benoit,,,,,,0.005,0.003,0.001,,,,,,,
Andreas Borgman,,,,,,,,,,,0.003,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.002,0.002,,0.002,0.002,,,,,,,,,,
Andrei Markov,0.002,0.003,0.003,,,0.002,0.002,0.003,0.003,0.002,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.003,,,,,,,,,,,,,,
Andrej Meszaros,0.004,0.003,0.003,0.004,0.004,,0.004,0.002,,,,,,,
Andrej Sekera,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,,0.002,0.002,0.002
Andrej Sustr,,,,,,,0.002,0.002,0.003,0.003,0.003,,,,0.002
Andrew Alberts,0.001,0.002,0.002,0.001,0.001,,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,0.001,,,,,,
Andrew Campbell,,,,,,,,0.003,,,,,,,
Andrew Ference,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,,,,,,,
Andrew Hutchinson,,0.003,,,,,,,,,,,,,
Andrew MacDonald,,,0.002,0.002,0.002,0.002,0.002,0.002,,0.003,0.003,0.003,,,
Andrew MacWilliam,,,,,,,,,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.002
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.001,0.002,0.002,0.002,0.002,0.002,0.004,0.002,0.003,0.003,0.002,0.004,0.002,0.002,0.002
Andy Sutton,0.002,,0.003,0.002,0.002,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.002,,,,,,,,,,,,,,
Anssi Salmela,,,0.002,0.002,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,0.002,0.004,0.002,,
Anthony DeAngelo,,,,,,,,,,0.003,,,,,
Anton Babchuk,,0.003,,0.002,0.002,,,,,,,,,,
Anton Belov,,,,,,,0.002,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.001,,,,
Anton Stralman,0.002,0.003,0.002,0.002,0.004,0.003,0.003,0.005,0.006,0.005,0.003,0.002,0.003,0.002,0.003
Anton Volchenkov,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.002,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.002,0.002
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.002,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.002,,,,,,
Ben Chiarot,,,,,,,,0.002,0.003,0.002,0.003,0.003,0.004,0.004,0.004
Ben Gleason,,,,,,,,,,,,,,,
Ben Harpur,,,,,,,,,,,0.002,0.003,,0.002,
Ben Hutton,,,,,,,,,0.002,0.003,0.004,0.003,0.004,0.004,0.004
Ben Lovejoy,,,,0.003,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.003,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.004,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,0.001,,,
Boris Valabik,,0.001,,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,0.003,0.005,0.004,,0.003
Brad Lukowich,0.001,0.002,,,,,,,,,,,,,
Brad Stuart,0.002,0.003,0.004,0.003,0.002,0.002,0.002,0.002,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,0.002
Brady Austin,,,,,,,,,,,,,,,
Brady Keeper,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,0.004,0.005,0.004,0.005,0.004,0.005
Brandon Carlo,,,,,,,,,,0.002,0.003,0.004,0.004,,0.003
Brandon Davidson,,,,,,,,,0.003,0.002,0.003,,,,
Brandon Gormley,,,,,,,,,,,,,,,
Brandon Manning,,,,,,,,,0.003,0.003,0.005,0.003,,,
Brandon Montour,,,,,,,,,,,0.004,0.005,0.004,0.005,0.007
Branislav Mezei,0.001,,,,,,,,,,,,,,
Brayden McNabb,,,,,,,,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003
Brayden Pachal,,,,,,,,,,,,,,,
Braydon Coburn,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,,
Brendan Bell,,0.002,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,0.001,,,0.003,,,,,,,,,,
Brendan Smith,,,,,,0.002,0.003,0.003,0.004,0.003,0.005,0.006,0.006,0.004,0.005
Brendan Witt,0.002,0.002,0.001,,,,,,,,,,,,
Brenden Dillon,,,,,,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
Brendon Nash,,,,,,,,,,,,,,,
