Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,0.107,,0.281,,,,,,,,,
Aaron Johnson,D,4/30/1983,,,,,,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,,,,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,,,,,,,,,,
Aaron Voros,F,7/2/1981,,,,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,,,,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,0.099
Adam Burish,F,1/6/1983,0.104,0.070,,0.199,0.163,0.178,0.213,0.192,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,0.283,,,,0.185,0.340,0.190,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,,,,-0.021
Adam Foote,D,7/10/1971,,,,,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,,,
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.297,0.305,0.103,0.055
Adam Hall,F,8/14/1980,0.217,0.160,,0.206,0.246,0.254,0.247,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.323,0.387,0.308,0.131,0.428,0.372,0.333,0.336,0.309,0.302,0.187
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,0.340,0.374,0.424,0.385,0.361,0.359,0.391,0.365
Adam Mair,F,2/15/1979,0.264,0.230,0.097,0.061,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,,,,,,,,,,,,
Adam Pardy,D,3/29/1984,,,,,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,0.355
Adrian Aucoin,D,7/3/1973,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,0.208,0.321,0.297,0.059,-0.013,
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.314,0.199,,,,
Alec Martinez,D,7/26/1987,,,,,,,,,,,,,,,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.367,0.355,0.385,0.394,0.389,0.430,0.360,0.389,0.346
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,,,,,,,,,,,,,,,
Ales Kotalik,F,12/23/1978,0.062,0.006,,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,,,,,,,
