Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,,,,,,,,,,,,,,,
Aaron Downey,,,,,,,,,,,,,,,
Aaron Ekblad,,,,,,,,,,,,,,,
Aaron Gagnon,,,,0.163,,0.331,,,,,,,,,
Aaron Johnson,,,,,,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Palushaj,,,,,,,,,,,,,,,
Aaron Rome,,,,,,,,,,,,,,,
Aaron Volpatti,,,,,,,,,,,,,,,
Aaron Voros,,,,,,,,,,,,,,,
Aaron Ward,,,,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Beckman,,,,,,,,,,,,,,,
Adam Berti,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,,,
Adam Brooks,,,,,,,,,,,,,,,0.152
Adam Burish,0.161,0.124,,0.246,0.207,0.218,0.249,0.224,,,,,,,
Adam Clendening,,,,,,,,,,,,,,,
Adam Cracknell,,,,0.336,,,,0.225,0.376,0.222,,,,,
Adam Erne,,,,,,,,,,,,,,,0.029
Adam Foote,,,,,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,,,
Adam Gaudette,,,,,,,,,,,,0.360,0.365,0.160,0.108
Adam Hall,0.264,0.204,,0.242,0.278,0.282,0.271,,,,,,,,
Adam Henrique,,,,,0.391,0.451,0.368,0.187,0.482,0.422,0.380,0.380,0.349,0.338,0.219
Adam Johnson,,,,,,,,,,,,,,,
Adam Larsson,,,,,,,,,,,,,,,
Adam Lowry,,,,,,,,0.408,0.438,0.484,0.442,0.414,0.409,0.438,0.409
Adam Mair,0.307,0.270,0.133,0.093,,,,,,,,,,,
Adam McQuaid,,,,,,,,,,,,,,,
Adam Pardy,,,,,,,,,,,,,,,
Adam Payerl,,,,,,,,,,,,,,,
Adam Pelech,,,,,,,,,,,,,,,
Adam Pineault,,,,,,,,,,,,,,,
Adam Raska,,,,,,,,,,,,,,,
Adam Ruzicka,,,,,,,,,,,,,,,0.419
Adrian Aucoin,,,,,,,,,,,,,,,
Adrian Kempe,,,,,,,,,,0.281,0.389,0.361,0.119,0.043,
Akim Aliu,,,,,,,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alan Quine,,,,,,,,,,0.374,0.256,,,,
Alec Martinez,,,,,,,,,,,,,,,
Alec Regula,,,,,,,,,,,,,,,
Aleksander Barkov,,,,,,,0.454,0.435,0.458,0.462,0.453,0.490,0.416,0.442,0.396
Aleksi Heponiemi,,,,,,,,,,,,,,,
Aleksi Saarela,,,,,,,,,,,,,,,
Ales Hemsky,,,,,,,,,,,,,,,
Ales Kotalik,0.101,0.042,,,,,,,,,,,,,
Alex Barre-Boulet,,,,,,,,,,,,,,,
Alex Barré-Boulet,,,,,,,,,,,,,,,
Alex Belzile,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,,,,,,,
Alex Broadhurst,,,,,,,,,,,,,,,
Alex Chiasson,,,,,,,0.057,,,,,,,,
Alex DeBrincat,,,,,,,,,,,0.028,,,,0.023
Alex Formenton,,,,,,,,,,,,,,,
Alex Foster,,,,,,,,,,,,,,,
Alex Friesen,,,,,,,,,,,,,,,
Alex Frolov,,,,,,,,,,,,,,,
Alex Galchenyuk,,,,,,0.134,,0.070,0.293,0.379,0.045,0.197,0.088,,0.247
Alex Goligoski,,,,,,,,,,,,,,,
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Iafallo,,,,,,,,,,,,,,,
