Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,0.202,,0.369,,,,,,,,,
Aaron Johnson,D,4/30/1983,,,,,,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,,,,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,,,,,,,,,,
Aaron Voros,F,7/2/1981,,,,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,,,,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Berti,F,7/1/1986,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,0.106
Adam Burish,F,1/6/1983,0.123,0.084,,0.282,0.261,0.252,0.272,0.259,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,0.218,,,,0.119,0.247,0.190,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,,,,0.033
Adam Foote,D,7/10/1971,,,,,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,,,
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.264,0.267,0.125,0.088
Adam Hall,F,8/14/1980,0.267,0.204,,0.297,0.411,0.367,0.406,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,0.402,0.452,0.304,0.209,0.392,0.393,0.353,0.423,0.428,0.422,0.276
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,0.395,0.396,0.511,0.566,0.566,0.477,0.447,0.461
Adam Mair,F,2/15/1979,0.257,0.253,0.148,0.100,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,,,,,,,,,,,,
Adam Pardy,D,3/29/1984,,,,,,,,,,,,,,,
Adam Payerl,F,3/4/1991,,,,,,,,,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,,,,,,
Adam Pineault,F,5/23/1986,,,,,,,,,,,,,,,
Adam Raska,F,9/25/2001,,,,,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,0.379
Adrian Aucoin,D,7/3/1973,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,0.262,0.273,0.287,0.095,0.035,
Akim Aliu,F,4/24/1989,,,,,,,,,,,,,,,
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.357,0.169,,,,
Alec Martinez,D,7/26/1987,,,,,,,,,,,,,,,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,0.516,0.432,0.487,0.431,0.540,0.579,0.501,0.541,0.525
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Aleksi Saarela,F,1/7/1997,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,,,,,,,,,,,,,,,
Ales Kotalik,F,12/23/1978,0.082,0.033,,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Barré-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,,,,,,,
