PLAYER,TEAM,POS,AGE,GP,ATOI,G,A,PTS,PPG,PPA,PPP,SOG,SH%,HIT,BLK,PIM,GWG,+/-,FO%
Connor McDavid,EDM,C,25,82,22.5,47,90,137,12,38,50,313,15.1%,71,29,41,7,26,53.8%
Leon Draisaitl,EDM,"C,LW",26,82,22.5,50,69,119,22,23,45,263,19.0%,48,24,36,8,21,55.0%
Nikita Kucherov,TBL,RW,29,82,19.6,41,70,112,11,31,42,261,15.7%,52,16,39,6,14,--
Nathan MacKinnon,COL,C,27,82,21.0,38,72,110,11,24,35,366,10.5%,76,40,46,6,30,46.1%
Auston Matthews,TOR,C,24,82,21.2,64,45,109,16,12,28,380,16.9%,70,72,17,10,28,56.4%
Mitchell Marner,TOR,RW,25,82,21.6,32,70,103,5,23,28,242,13.4%,67,44,21,5,24,--
Artemi Panarin,NYR,LW,30,82,18.9,28,74,101,6,24,30,191,14.4%,27,18,20,4,25,--
Mikko Rantanen,COL,"C,RW",25,82,20.9,43,56,100,16,19,36,273,15.8%,55,42,51,7,33,49.5%
Kirill Kaprizov,MIN,LW,25,82,19.3,46,51,97,13,13,26,283,16.2%,64,30,30,7,26,--
Jonathan Huberdeau,CGY,LW,29,82,19.1,28,68,96,6,28,34,198,14.0%,88,28,50,4,23,40.3%
David Pastrnak,BOS,RW,26,82,18.8,45,48,93,16,15,32,339,13.2%,64,20,33,7,24,--
Aleksander Barkov,FLA,C,27,82,20.5,38,54,92,12,17,29,253,15.0%,53,52,23,6,28,59.2%
Cale Makar,COL,D,23,82,25.8,22,66,89,7,28,36,237,9.5%,96,100,24,4,32,--
Patrick Kane,CHI,RW,33,82,20.9,25,63,87,7,21,27,279,8.9%,21,27,26,4,-9,--
Kyle Connor,WPG,LW,25,82,21.6,45,42,87,11,12,23,297,15.1%,30,25,16,7,0,--
Jason Robertson,DAL,LW,23,82,18.6,40,47,87,9,10,19,256,15.6%,53,25,25,6,21,--
Jake Guentzel,PIT,LW,27,82,20.1,39,47,87,10,15,24,258,15.3%,75,42,41,6,20,--
Brad Marchand,BOS,LW,34,82,18.2,32,55,87,6,21,27,230,14.0%,88,23,91,5,19,--
Steven Stamkos,TBL,"C,LW",32,82,17.7,38,48,86,17,14,30,219,17.2%,90,34,33,6,19,53.0%
Johnny Gaudreau,CBJ,LW,29,82,18.3,30,55,85,7,16,23,227,13.2%,10,12,20,5,33,--
Matthew Tkachuk,FLA,RW,24,82,18.4,33,52,85,9,17,26,247,13.4%,115,20,76,5,35,--
Mark Scheifele,WPG,C,29,82,20.9,32,52,84,8,15,23,185,17.4%,43,57,27,5,-6,50.4%
Sidney Crosby,PIT,C,35,82,19.0,30,54,84,7,22,29,216,14.0%,62,42,35,5,13,53.1%
Sebastian Aho,CAR,C,25,82,20.0,39,45,84,12,15,27,237,16.4%,84,32,38,6,16,55.2%
Vladimir Tarasenko,STL,RW,30,82,16.5,36,47,83,6,15,21,242,15.0%,87,48,32,6,5,--
J.T. Miller,VAN,"C,LW",29,82,20.7,27,54,82,7,23,30,186,14.8%,156,52,50,4,6,57.2%
