Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.27,,,,,,,,,,,,,,
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.36,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.00,0.02,,,,,,,,
Aaron Voros,F,7/2/1981,0.04,0.05,0.01,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,2.98,1.94,,1.99,1.45,1.30,,,,,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.69,0.63,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.52,0.18,0.07,0.11
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.35,0.23,0.16,0.07
Adam Hall,F,8/14/1980,3.27,2.56,,2.84,2.95,2.15,3.23,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,2.28,2.10,2.42,1.99,2.70,2.30,1.58,1.10,0.62,0.96,0.22
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Lowry,F,3/29/1993,,,,,,,,1.12,2.45,2.46,2.17,2.34,2.22,2.47,2.32
Adam Mair,F,2/15/1979,0.21,0.09,0.13,0.50,,,,,,,,,,,
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.57,0.88,1.13,1.46,1.54
Alan Quine,F,2/25/1993,,,,,,,,,,0.58,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,1.23,1.31,2.45,1.77,2.09,2.30,1.23,1.51,2.15
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.29,0.17,,0.80,0.04,0.09,0.23,0.11,0.18,,,,,,
Ales Kotalik,F,12/23/1978,0.04,0.10,0.16,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Chiasson,F,10/1/1990,,,,,,,0.78,0.97,1.58,0.96,1.67,0.62,0.05,0.07,0.11
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,0.80,0.61,0.40,0.69,0.78
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,2.23
Alex Foster,F,8/26/1984,,,,,,,,,,,,,,,
Alex Frolov,F,6/19/1982,0.26,2.46,1.39,0.05,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,1.13,0.88,0.72,0.52,0.37,0.25,0.15,0.09,0.06,0.01
Alex Iafallo,F,12/21/1993,,,,,,,,,,,0.50,0.46,1.47,1.97,1.64
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,1.36,0.27,0.89,0.49,1.44,1.70,1.97,2.27,1.88,1.94
Alex Kovalev,F,2/24/1973,1.71,2.00,0.73,0.80,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,0.75
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,0.49,,
Alex Ovechkin,F,9/17/1985,0.53,1.15,0.19,0.11,0.05,0.07,0.05,0.05,0.06,0.13,0.21,0.26,0.38,0.48,0.56
Alex Tanguay,F,11/21/1979,1.67,0.41,0.30,1.38,1.53,1.54,,1.88,1.09,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,0.53,0.34,0.35,0.88,1.50
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,2.56,0.78
Alexander Barabanov,F,6/17/1994,,,,,,,,,,,,,,,0.02
Alexander Burmistrov,F,10/21/1991,,,,2.03,2.45,2.00,,,2.14,0.96,,,,,
Alexander Chmelevski,F,6/9/1999,,,,,,,,,,,,,,,
Alexander Holtz,F,1/23/2002,,,,,,,,,,,,,,,
Alexander Kerfoot,F,8/11/1994,,,,,,,,,,,0.23,0.19,0.37,1.54,1.72
Alexander Radulov,F,7/5/1986,0.53,,,,,,,,,0.07,0.14,0.19,0.27,,0.47
Alexander Semin,F,3/3/1984,0.27,1.66,1.05,0.95,0.02,0.81,0.56,0.08,,,,,,,
Alexander Steen,F,3/1/1984,3.19,2.26,1.19,0.98,1.71,1.63,1.92,1.80,1.89,2.03,1.49,2.30,2.77,,
Alexander True,F,7/17/1997,,,,,,,,,,,,,,,
Alexander Vasyunov,F,4/22/1988,,,,,,,,,,,,,,,
Alexander Volkov,F,8/2/1997,,,,,,,,,,,,,,0.84,
Alexander Wennberg,F,9/22/1994,,,,,,,,2.46,1.17,0.97,1.24,1.41,1.56,,
Alexandre Bolduc,F,6/26/1985,,,,,,,,,,,,,,,
Alexandre Burrows,F,4/11/1981,3.03,2.97,2.37,2.29,1.94,2.13,2.04,1.47,2.07,1.62,1.34,,,,
Alexandre Fortin,F,2/25/1997,,,,,,,,,,,,,,,
Alexandre Giroux,F,6/16/1981,,,,,,,,,,,,,,,
Alexandre Picard,D,7/5/1985,,0.77,1.78,0.65,,,,,,,,,,,
Alexandre Texier,F,9/13/1999,,,,,,,,,,,,,0.72,1.59,2.11
Alexei Ponikarovsky,F,4/9/1980,0.73,0.83,0.38,1.03,0.36,0.63,,,,,,,,,
Alexei Toropchenko,F,6/25/1999,,,,,,,,,,,,,,,
Alexis Lafrenière,F,10/11/2001,,,,,,,,,,,,,,0.89,0.70
Aliaksei Protas,F,1/6/2001,,,,,,,,,,,,,,,0.67
Anders Bjork,F,8/5/1996,,,,,,,,,,,,,0.75,1.72,0.65
Anders Lee,F,7/3/1990,,,,,,,,0.18,0.09,0.03,0.02,0.03,0.05,,0.12
Andre Burakovsky,F,2/9/1995,,,,,,,,0.86,0.66,0.51,0.35,0.27,0.18,0.07,0.03
Andre Roy,F,2/8/1975,0.19,0.28,,,,,,,,,,,,,
Andreas Athanasiou,F,8/6/1994,,,,,,,,,0.99,0.86,0.60,0.22,0.10,0.06,
Andreas Engqvist,F,12/23/1987,,,,,,,,,,,,,,,
Andreas Johnsson,F,11/21/1994,,,,,,,,,,,,0.13,0.29,0.43,0.08
Andreas Karlsson,F,8/19/1975,2.04,,,,,,,,,,,,,,
Andreas Martinsen,F,6/13/1990,,,,,,,,,0.09,0.93,,,,,
Andreas Nodl,F,2/28/1987,,1.04,,0.80,0.63,,,,,,,,,,
Andrei Kostitsyn,F,2/3/1985,0.40,0.43,0.16,0.10,0.04,,,,,,,,,,
Andrei Loktionov,F,5/30/1990,,,,,0.50,,0.59,,,,,,,,
Andrei Svechnikov,F,3/26/2000,,,,,,,,,,,,1.11,0.88,0.71,0.50
Andrej Nestrasil,F,2/22/1991,,,,,,,,0.22,0.13,,,,,,
Andrew Agozzino,F,1/3/1991,,,,,,,,,,,,,,,
Andrew Brunette,F,8/24/1973,0.36,0.45,0.58,0.68,0.81,,,,,,,,,,
Andrew Cogliano,F,6/14/1987,1.48,1.06,1.11,2.95,1.73,1.72,1.64,1.67,1.90,1.79,1.77,1.46,1.64,1.70,2.09
Andrew Copp,F,7/8/1994,,,,,,,,,1.29,1.79,2.16,1.49,2.34,2.52,2.31
Andrew Crescenzi,F,7/29/1992,,,,,,,,,,,,,,,
Andrew Desjardins,F,7/27/1986,,,,,0.91,1.18,1.21,1.09,1.82,0.71,,,,,
Andrew Ebbett,F,1/2/1983,,0.16,0.94,0.97,,,,,,,,,,,
Andrew Gordon,F,12/13/1985,,,,,2.07,,,,,,,,,,
Andrew Ladd,F,12/12/1985,0.38,1.18,0.23,1.97,1.58,1.42,2.07,1.83,1.92,0.93,1.42,,,,1.31
Andrew Mangiapane,F,4/4/1996,,,,,,,,,,,,0.38,0.24,1.47,1.34
Andrew Miller,F,9/18/1988,,,,,,,,,,,,,,,
Andrew Murray,F,11/6/1981,0.78,1.38,0.85,,0.43,,,,,,,,,,
Andrew Peters,F,5/5/1980,,,,,,,,,,,,,,,
Andrew Shaw,F,7/20/1991,,,,,0.92,0.56,0.59,0.30,0.15,0.19,0.14,0.74,,,
Andy Andreoff,F,5/17/1991,,,,,,,,,0.17,0.23,0.03,,,,
Andy Hilbert,F,2/6/1981,2.66,2.68,,,,,,,,,,,,,
Andy McDonald,F,8/25/1977,0.44,0.60,1.13,1.18,,1.00,,,,,,,,,
Andy Miele,F,4/15/1988,,,,,,,,,,,,,,,
Anthony Angello,F,3/6/1996,,,,,,,,,,,,,,,
Anthony Beauvillier,F,6/8/1997,,,,,,,,,,0.91,1.41,0.49,0.97,0.62,0.53
Anthony Cirelli,F,7/15/1997,,,,,,,,,,,,3.20,3.14,2.25,2.26
Anthony Duclair,F,8/26/1995,,,,,,,,,0.66,0.49,0.36,0.27,1.03,0.68,0.14
Anthony Mantha,F,9/16/1994,,,,,,,,,,0.35,0.24,0.14,0.08,0.16,0.02
Anthony Peluso,F,4/18/1989,,,,,,,,0.07,,,,,,,
Anthony Stewart,F,1/5/1985,,0.24,,0.55,0.04,,,,,,,,,,
Antoine Roussel,F,11/21/1989,,,,,,0.94,1.81,1.84,1.35,2.00,1.01,0.89,0.07,2.08,1.90
Antoine Vermette,F,7/20/1982,3.71,3.05,2.55,1.46,1.42,1.81,2.35,1.61,1.30,1.26,1.22,,,,
Anton Blidh,F,3/14/1995,,,,,,,,,,,,,,,0.89
Anton Lander,F,4/24/1991,,,,,2.28,,,1.08,2.07,,,,,,
Anton Lundell,F,10/3/2001,,,,,,,,,,,,,,,3.00
Anton Slepyshev,F,5/13/1994,,,,,,,,,,0.35,0.30,,,,
Antti Miettinen,F,7/3/1980,0.06,2.39,1.66,1.31,1.01,,,,,,,,,,
Antti Pihlstrom,F,10/22/1984,,0.50,,,,,,,,,,,,,
Antti Suomela,F,3/17/1994,,,,,,,,,,,,,,,
Anze Kopitar,F,8/24/1987,1.81,1.98,1.97,2.30,2.38,1.56,2.04,1.69,2.16,1.93,2.23,2.07,1.94,2.34,2.05
Arron Asham,F,4/13/1978,0.03,0.08,0.14,0.18,,,,,,,,,,,
Artem Anisimov,F,5/24/1988,,,1.19,1.37,1.27,1.70,2.17,2.03,1.35,0.83,1.48,1.21,0.36,,
Artemi Panarin,F,10/30/1991,,,,,,,,,0.14,0.10,0.04,0.05,0.07,0.09,0.07
