Player,Position,Birthdate,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
A.J. Greer,F,12/14/1996,,,,,,,,,,,,,,,
Aaron Downey,F,8/27/1974,0.30,,,,,,,,,,,,,,
Aaron Ekblad,D,2/7/1996,,,,,,,,1.70,1.75,1.60,2.83,2.74,2.31,2.66,2.84
Aaron Gagnon,F,4/24/1986,,,,,,,,,,,,,,,
Aaron Johnson,D,4/30/1983,,1.70,1.15,,1.35,,,,,,,,,,
Aaron MacKenzie,D,3/7/1981,,,,,,,,,,,,,,,
Aaron Miller,D,8/11/1971,3.18,,,,,,,,,,,,,,
Aaron Ness,D,5/18/1990,,,,,,,,,,,,,,,
Aaron Palushaj,F,9/7/1989,,,,,0.44,,,,,,,,,,
Aaron Rome,D,9/27/1983,,,0.93,1.78,0.73,,,,,,,,,,
Aaron Volpatti,F,5/30/1985,,,,,,0.01,0.02,,,,,,,,
Aaron Voros,F,7/2/1981,0.06,0.05,0.00,,,,,,,,,,,,
Aaron Ward,D,1/17/1973,2.87,2.82,2.84,,,,,,,,,,,,
Adam Almquist,D,2/27/1991,,,,,,,,,,,,,,,
Adam Beckman,F,5/10/2001,,,,,,,,,,,,,,,
Adam Boqvist,D,8/15/2000,,,,,,,,,,,,,1.10,0.91,0.63
Adam Brooks,F,5/6/1996,,,,,,,,,,,,,,,
Adam Burish,F,1/6/1983,3.02,1.97,,1.99,1.45,1.30,,,,,,,,,
Adam Clendening,D,10/26/1992,,,,,,,,,,0.22,,,,,
Adam Cracknell,F,7/15/1985,,,,,,,,,0.68,0.63,,,,,
Adam Erne,F,4/20/1995,,,,,,,,,,,,0.58,0.22,0.10,0.13
Adam Foote,D,7/10/1971,5.16,4.45,3.69,4.02,,,,,,,,,,,
Adam Fox,D,2/17/1998,,,,,,,,,,,,,0.77,3.02,2.41
Adam Gaudette,F,10/3/1996,,,,,,,,,,,,0.43,0.29,0.20,0.10
Adam Hall,F,8/14/1980,3.28,2.56,,2.84,2.96,2.17,3.26,,,,,,,,
Adam Henrique,F,2/6/1990,,,,,2.38,2.19,2.48,2.03,2.73,2.31,1.59,1.10,0.62,0.96,0.22
Adam Johnson,F,6/22/1994,,,,,,,,,,,,,,,
Adam Larsson,D,11/12/1992,,,,,1.45,1.93,,3.58,3.64,1.77,2.51,2.05,1.69,2.33,2.55
Adam Lowry,F,3/29/1993,,,,,,,,1.22,2.53,2.52,2.21,2.37,2.24,2.48,2.32
Adam Mair,F,2/15/1979,0.21,0.09,0.12,0.50,,,,,,,,,,,
Adam McQuaid,D,10/12/1986,,,,1.63,1.13,0.69,,1.89,2.47,2.44,2.26,1.92,,,
Adam Pardy,D,3/29/1984,,1.08,1.22,,0.83,,1.03,2.49,,,,,,,
Adam Pelech,D,8/16/1994,,,,,,,,,,1.40,2.55,1.79,2.88,2.21,2.28
Adam Ruzicka,F,5/11/1999,,,,,,,,,,,,,,,
Adrian Aucoin,D,7/3/1973,2.13,3.48,3.38,3.83,3.10,2.68,,,,,,,,,
Adrian Kempe,F,9/13/1996,,,,,,,,,,,0.67,0.97,1.19,1.51,1.57
Alain Nasreddine,D,7/10/1975,,,,,,,,,,,,,,,
Alan Quine,F,2/25/1993,,,,,,,,,,0.65,,,,,
Alec Martinez,D,7/26/1987,,,,0.36,0.30,,0.47,1.62,2.26,2.23,2.43,2.01,1.88,2.68,
Alec Regula,D,8/6/2000,,,,,,,,,,,,,,,
Aleksander Barkov,F,9/2/1995,,,,,,,1.40,1.45,2.58,1.87,2.17,2.36,1.28,1.53,2.16
Aleksi Heponiemi,F,1/9/1999,,,,,,,,,,,,,,,
Ales Hemsky,F,8/13/1983,0.34,0.20,,0.80,0.04,0.09,0.23,0.12,0.19,,,,,,
Ales Kotalik,F,12/23/1978,0.04,0.10,0.17,,,,,,,,,,,,
Alex Barre-Boulet,F,5/21/1997,,,,,,,,,,,,,,,
Alex Belzile,F,8/31/1991,,,,,,,,,,,,,,,
Alex Biega,D,4/4/1988,,,,,,,,,1.07,0.64,0.80,0.74,1.78,,
Alex Chiasson,F,10/1/1990,,,,,,,0.84,1.02,1.60,0.98,1.67,0.61,0.04,0.07,0.11
Alex DeBrincat,F,12/18/1997,,,,,,,,,,,0.92,0.71,0.48,0.75,0.82
Alex Formenton,F,9/13/1999,,,,,,,,,,,,,,,2.31
Alex Foster,F,8/26/1984,,,,,,,,,,,,,,,
Alex Frolov,F,6/19/1982,0.29,2.48,1.40,0.04,,,,,,,,,,,
Alex Galchenyuk,F,2/12/1994,,,,,,1.29,1.03,0.84,0.62,0.45,0.31,0.19,0.11,0.07,0.01
Alex Goligoski,D,7/30/1985,,0.36,1.72,1.44,1.33,1.48,2.48,2.96,2.39,2.60,2.10,1.86,2.77,3.46,1.82
Alex Grant,D,1/20/1989,,,,,,,,,,,,,,,
Alex Henry,D,10/18/1979,,,,,,,,,,,,,,,
Alex Iafallo,F,12/21/1993,,,,,,,,,,,0.54,0.49,1.48,1.98,1.64
Alex Khokhlachev,F,9/9/1993,,,,,,,,,,,,,,,
Alex Killorn,F,9/14/1989,,,,,,1.42,0.31,0.92,0.51,1.45,1.70,1.96,2.27,1.88,1.96
Alex Kovalev,F,2/24/1973,1.77,2.08,0.84,0.96,,,,,,,,,,,
Alex Newhook,F,1/28/2001,,,,,,,,,,,,,,,0.87
Alex Nylander,F,3/2/1998,,,,,,,,,,,,,0.60,,
Alex Ovechkin,F,9/17/1985,0.61,1.21,0.24,0.14,0.07,0.08,0.05,0.04,0.06,0.13,0.23,0.29,0.44,0.56,0.68
Alex Petrovic,D,3/3/1992,,,,,,,,1.21,2.07,1.49,0.51,1.33,,,
Alex Pietrangelo,D,1/18/1990,,,,2.77,3.80,3.45,3.65,3.25,3.27,3.06,2.36,2.06,1.83,2.18,2.57
Alex Plante,D,5/9/1989,,,,,,,,,,,,,,,
Alex Tanguay,F,11/21/1979,1.67,0.41,0.29,1.39,1.54,1.58,,1.96,1.20,,,,,,
Alex Tuch,F,5/10/1996,,,,,,,,,,,0.63,0.43,0.42,0.92,1.53
Alex Turcotte,F,2/26/2001,,,,,,,,,,,,,,,
Alex Vlasic,D,6/5/2001,,,,,,,,,,,,,,,
Alex Wennberg,F,9/22/1994,,,,,,,,,,,,,,2.57,0.78
