Player,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22
Aaron Ekblad,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.018
Aaron Johnson,,0.000,0.000,,0.000,,,,,,,,,,
Aaron MacKenzie,,,,,,,,,,,,,,,
Aaron Miller,0.000,,,,,,,,,,,,,,
Aaron Ness,,,,,,,,,,,,,,,
Aaron Rome,,,0.000,0.000,0.000,0.000,,,,,,,,,
Aaron Ward,0.000,0.000,0.012,,,,,,,,,,,,
Adam Almquist,,,,,,,,,,,,,,,
Adam Boqvist,,,,,,,,,,,,,,,
Adam Clendening,,,,,,,,,,,,,,,
Adam Foote,0.003,0.000,0.006,0.000,,,,,,,,,,,
Adam Fox,,,,,,,,,,,,,,0.007,0.006
Adam Larsson,,,,,,0.000,,0.015,0.004,0.000,0.000,0.006,0.000,0.000,0.000
Adam McQuaid,,,,0.000,0.000,,0.000,0.000,0.000,0.005,0.000,0.012,,,
Adam Pardy,,0.000,0.000,,,,0.000,0.007,0.018,,,,,,
Adam Pelech,,,,,,,,,,0.000,0.006,0.000,0.019,0.008,0.011
Adrian Aucoin,0.000,0.004,0.000,0.000,0.000,0.000,,,,,,,,,
Alain Nasreddine,,,,,,,,,,,,,,,
Alec Martinez,,,,,,,,0.000,0.006,0.000,0.005,0.000,0.000,0.000,0.000
Alec Regula,,,,,,,,,,,,,,,
Alex Biega,,,,,,,,,0.000,,0.029,,0.000,,
Alex Goligoski,,,0.000,0.000,0.011,0.014,0.000,0.008,0.005,0.005,0.000,0.017,0.000,0.000,0.000
Alex Grant,,,,,,,,,,,,,,,
Alex Henry,,,,,,,,,,,,,,,
Alex Petrovic,,,,,,,,,0.008,0.000,,0.000,,,
Alex Pietrangelo,,,,0.006,0.004,0.007,0.004,0.000,0.004,0.000,0.005,0.007,0.008,0.011,0.015
Alex Plante,,,,,,,,,,,,,,,
Alex Vlasic,,,,,,,,,,,,,,,
Alexander Edler,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.013
Alexander Romanov,,,,,,,,,,,,,,0.000,0.000
Alexander Sulzer,,,,0.000,,,0.022,,,,,,,,
Alexander Urbom,,,,,,,0.026,,,,,,,,
Alexander Yelesin,,,,,,,,,,,,,,,
Alexandre Carrier,,,,,,,,,,,,,,0.000,0.004
Alexandre Picard,0.000,,0.000,,,,,,,,,,,,
Alexei Emelin,,,,,0.011,0.000,0.000,0.000,0.000,0.000,0.000,,,,
Alexei Semenov,,0.000,,,,,,,,,,,,,
Alexei Zhitnik,0.012,,,,,,,,,,,,,,
Alexey Marchenko,,,,,,,,,0.007,0.014,,,,,
Allan Rourke,,,,,,,,,,,,,,,
Anders Eriksson,0.000,,,,,,,,,,,,,,
Andre Benoit,,,,,,,0.007,0.000,,,,,,,
Andreas Borgman,,,,,,,,,,,,,,,
Andreas Englund,,,,,,,,,,,,,,,
Andreas Lilja,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
Andrei Markov,0.008,0.004,0.010,,,0.000,0.000,0.005,0.000,0.009,,,,,
Andrei Mironov,,,,,,,,,,,,,,,
Andrei Zyuzin,0.000,,,,,,,,,,,,,,
Andrej Meszaros,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,,,,,,,
Andrej Sekera,0.000,0.000,,0.000,0.000,0.014,0.000,0.008,0.008,0.000,0.000,0.000,0.000,0.000,
Andrej Sustr,,,,,,,0.039,0.000,0.000,0.000,,,,,0.000
Andrew Alberts,0.000,0.005,0.000,0.000,0.000,0.000,,,,,,,,,
Andrew Bodnarchuk,,,,,,,,,,,,,,,
Andrew Campbell,,,,,,,,0.000,,,,,,,
Andrew Ference,0.006,0.000,0.000,0.008,0.007,0.009,0.000,0.008,,,,,,,
Andrew Hutchinson,,,,,,,,,,,,,,,
Andrew MacDonald,,,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.005,0.008,0.022,,,
Andrew MacWilliam,,,,,,,,0.000,,,,,,,
Andrew Peeke,,,,,,,,,,,,,,,0.000
Andrey Pedan,,,,,,,,,,,,,,,
Andrey Zubarev,,,,,,,,,,,,,,,
Andy Greene,0.009,,0.007,0.000,0.000,0.000,0.007,0.003,0.000,0.000,0.000,0.012,0.010,0.000,0.000
Andy Sutton,0.000,0.000,0.000,0.021,0.000,,,,,,,,,,
Andy Welinski,,,,,,,,,,,,,,,
Andy Wozniewski,0.000,,,,,,,,,,,,,,
Anssi Salmela,,,,,,,,,,,,,,,
Anthony Bitetto,,,,,,,,,,,,,0.009,,
Anthony DeAngelo,,,,,,,,,,,,,,,
Anton Babchuk,,0.000,,0.024,,,,,,,,,,,
Anton Belov,,,,,,,,,,,,,,,
Anton Lindholm,,,,,,,,,,,0.000,,,,
Anton Stralman,,,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000
Anton Volchenkov,0.010,0.008,0.004,0.000,0.004,0.000,0.005,0.000,,,,,,,
Artem Zub,,,,,,,,,,,,,,0.000,0.000
Artemi Kniazev,,,,,,,,,,,,,,,
Arturs Kulda,,,,,,,,,,,,,,,
Ashton Sautner,,,,,,,,,,,,,,,
Austin Strand,,,,,,,,,,,,,,,
Barret Jackman,0.004,0.003,0.000,0.018,0.000,0.000,0.000,0.006,0.000,,,,,,
Ben Chiarot,,,,,,,,0.000,0.000,0.000,0.000,0.007,0.000,0.000,0.005
Ben Harpur,,,,,,,,,,,0.000,0.000,,0.020,
Ben Hutton,,,,,,,,,0.000,0.000,0.010,0.006,0.000,0.000,0.000
Ben Lovejoy,,,,0.024,,,0.000,0.017,0.006,0.000,0.006,0.000,,,
Ben Thomas,,,,,,,,,,,,,,,
Blake Hillman,,,,,,,,,,,,,,,
Bobby Allen,,,,,,,,,,,,,,,
Bobby Sanguinetti,,,,,,0.000,,,,,,,,,
Bogdan Kiselevich,,,,,,,,,,,,,,,
Boris Valabik,,0.000,0.000,,,,,,,,,,,,
Bowen Byram,,,,,,,,,,,,,,,
Brad Hunt,,,,,,,,,,,,,,,
Brad Lukowich,0.007,0.000,,,,,,,,,,,,,
Brad Stuart,0.000,0.000,0.000,0.004,0.000,0.008,0.000,0.000,,,,,,,
Braden Schneider,,,,,,,,,,,,,,,
Brady Austin,,,,,,,,,,,,,,,
Brady Skjei,,,,,,,,,,,0.000,0.006,0.012,0.007,0.000
Brandon Carlo,,,,,,,,,,0.000,0.005,0.010,0.000,0.000,0.000
Brandon Davidson,,,,,,,,,0.007,0.000,0.011,,,,
Brandon Gormley,,,,,,,,0.000,,,,,,,
Brandon Manning,,,,,,,,,0.000,0.000,0.000,0.000,,,
Brandon Montour,,,,,,,,,,,0.010,0.000,0.000,0.000,0.000
Branislav Mezei,0.000,,,,,,,,,,,,,,
Brayden McNabb,,,,,0.000,,,0.000,0.007,,0.000,0.004,0.000,0.000,0.006
Braydon Coburn,0.006,0.006,0.000,0.005,0.007,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.021,
Brendan Bell,,,,,,,,,,,,,,,
Brendan Guhle,,,,,,,,,,,,,,,
Brendan Mikkelson,,,,0.000,,,,,,,,,,,
Brendan Smith,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.008,0.000,0.000
Brendan Witt,0.004,0.004,0.000,,,,,,,,,,,,
Brenden Dillon,,,,,,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.007,0.010,0.000
Brennan Menell,,,,,,,,,,,,,,,
Brent Burns,0.005,0.000,0.000,0.005,0.000,,,0.000,0.006,0.007,0.008,0.024,0.006,0.006,0.004
Brent Regner,,,,,,,,,,,,,,,
Brent Seabrook,0.004,0.000,0.009,0.009,0.005,0.000,0.000,0.007,0.000,0.000,0.000,0.006,0.000,,
Brent Sopel,0.016,0.000,0.000,0.000,,,,,,,,,,,
Bret Hedican,0.000,0.000,,,,,,,,,,,,,
Brett Bellemore,,,,,,,0.000,0.000,,,,,,,
Brett Carson,,,0.000,,,,,,,,,,,,
Brett Clark,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,
Brett Festerling,,0.000,,,,,,,,,,,,,
Brett Kulak,,,,,,,,,,,,,,,0.012
Brett Lebda,,,,,,,,,,,,,,,
Brett Lernout,,,,,,,,,,,,,,,
Brett Pesce,,,,,,,,,0.000,0.000,0.000,0.011,0.010,0.000,0.000
Brett Skinner,,,,,,,,,,,,,,,
Brian Campbell,0.000,,0.024,0.000,0.000,0.000,0.012,0.000,0.000,,,,,,
Brian Dumoulin,,,,,,,,,0.000,0.000,0.000,0.022,0.000,0.009,0.000
Brian Fahey,,,,,,,,,,,,,,,
Brian Lashoff,,,,,,0.000,0.000,,,,,,,,
Brian Lee,,0.000,,0.000,0.000,,,,,,,,,,
Brian Pothier,0.000,,0.000,,,,,,,,,,,,
Brian Rafalski,0.000,0.000,0.000,,,,,,,,,,,,
Brian Salcido,,,,,,,,,,,,,,,
Brian Strait,,,,,,0.000,0.008,0.011,0.012,,,,,,
Brogan Rafferty,,,,,,,,,,,,,,,
Brooks Orpik,0.010,0.000,0.005,0.013,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,
Bruno Gervais,0.000,0.005,0.006,0.000,0.000,0.000,,,,,,,,,
Bryan Allen,0.004,,0.006,0.000,0.005,0.000,0.006,,,,,,,,
Bryan Berard,,,,,,,,,,,,,,,
Bryan Helmer,,,,,,,,,,,,,,,
Bryan McCabe,0.000,0.000,0.000,0.000,,,,,,,,,,,
Bryan Rodney,,,,,,,,,,,,,,,
Bryan Young,,,,,,,,,,,,,,,
Bryce Salvador,0.005,0.008,0.007,,0.004,0.000,0.000,0.000,,,,,,,
Cade Fairchild,,,,,,,,,,,,,,,
Cal Foote,,,,,,,,,,,,,,,
Cale Fleury,,,,,,,,,,,,,0.000,,
Cale Makar,,,,,,,,,,,,,,0.000,0.000
Caleb Jones,,,,,,,,,,,,,,,
Calle Rosen,,,,,,,,,,,,,,,
Calvin de Haan,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Cam Barker,0.000,0.012,0.000,0.000,,,,,,,,,,,
Cam Dineen,,,,,,,,,,,,,,,0.000
Cam Fowler,,,,0.000,0.000,,0.000,0.007,0.000,0.005,0.006,0.011,0.000,0.000,0.000
Cam York,,,,,,,,,,,,,,,
Cameron Gaunce,,,,,,,,,,,,,,,
Cameron Schilling,,,,,,,,,,,,,,,
Carl Dahlstrom,,,,,,,,,,,,0.014,,,
